Date,Site,TreeID,BranchID,Li600_1,Li600_2,Li600_3,Dark_Li600,jPAM_start,jPAM_end,Hour,jpam_directory
7/11/22,Garcia,E,1,1,2,3,10,15:47:43,15:50:37,,
7/11/22,Garcia,E,2,4,5,6,11,15:51:48,15:54:31,,
7/11/22,Garcia,E,3,7,8,9,12,15:56:57,15:59:42,,
7/11/22,Garcia,H,1,1,2,3,1,17:01:45,17:04:30,,
7/11/22,Garcia,H,2,4,5,6,2,17:06:14,17:08:56,,
7/11/22,Garcia,H,3,7,8,9,3,17:10:48,17:13:32,,
7/11/22,Garcia,G,1,1,2,3,1,13:45:44,13:52:29,,
7/11/22,Garcia,G,2,4,5,6,2,13:55:42,13:58:25,,
7/11/22,Garcia,G,3,7,8,9,3,14:01:19,14:04:04,,
7/27/22,Garcia,E,1,1,2,3,12,11:09:57,11:12:42,,07_27_GarciaE
7/27/22,Garcia,E,2,4,5,6,13,11:13:57,11:16:42,,07_27_GarciaE
7/27/22,Garcia,E,3,7,8,9,14,11:19:05,11:21:49,,07_27_GarciaE
7/27/22,Garcia,G,1,1,2,4,12,10:17:23,10:20:08,,07_27_GarciaG
7/27/22,Garcia,G,2,6,7,8,13,10:25:06,10:27:51,,07_27_GarciaG
7/27/22,Garcia,G,3,9,10,11,14,10:30:05,10:32:50,,07_27_GarciaG
7/27/22,Garcia,H,1,1,2,3,10,12:04:43,12:07:28,,07_27_GarciaH
7/27/22,Garcia,H,2,4,5,6,11,12:09:39,12:12:24,,07_27_GarciaH
7/27/22,Garcia,H,3,7,8,9,12,12:14:35,12:17:20,,07_27_GarciaH
8/10/22,Garcia,E,1,1,2,3,11,11:38:33,11:41:17,,08_10_GarciaE
8/10/22,Garcia,E,2,4,5,7,12,11:45:38,11:48:21,,08_10_GarciaE
8/10/22,Garcia,E,3,8,9,10,13,11:49:32,11:52:16,,08_10_GarciaE
8/10/22,Garcia,G,1,1,2,3,11,10:52:44,10:55:27,,08_10_GarciaG
8/10/22,Garcia,G,2,4,5,6,12,10:57:43,11:00:26,,08_10_GarciaG
8/10/22,Garcia,G,3,8,9,10,13,11:02:45,11:05:29,,08_10_GarciaG
8/10/22,Garcia,H,1,1,3,4,17,12:27:46,12:30:30,,08_10_GarciaH
8/10/22,Garcia,H,2,8,9,10,18,12:31:50,12:34:33,,08_10_GarciaH
8/10/22,Garcia,H,3,13,14,16,19,12:35:45,12:38:30,,08_10_GarciaH
9/8/22,Garcia,E,1,1,2,3,13,12:10:26,12:13:11,,0908_GarciaE
9/8/22,Garcia,E,2,6,8,9,14,12:16:02,12:18:46,,0908_GarciaE
9/8/22,Garcia,E,3,10,11,12,15,12:20:52,12:23:36,,0908_GarciaE
9/8/22,Garcia,G,1,1,2,3,11,11:02:47,11:05:32,,0908_GarciaG
9/8/22,Garcia,G,2,5,6,7,12,11:10:17,11:12:57,,0908_GarciaG
9/8/22,Garcia,G,3,8,9,10,13,11:21:20,11:24:04,,0908_GarciaG
9/8/22,Garcia,H,1,1,2,3,14,12:59:21,13:02:05,,0908_GarciaH
9/8/22,Garcia,H,2,7,8,9,15,13:03:22,13:06:07,,0908_GarciaH
9/8/22,Garcia,H,3,10,11,12,17,13:07:04,13:09:48,,0908_GarciaH
9/23/22,Garcia,G,1,6,7,8,17,10:42:53,10:45:38,,09_23_GarciaG
9/23/22,Garcia,G,2,9,10,11,16,10:47:54,10:50:39,,09_23_GarciaG
9/23/22,Garcia,G,3,12,13,14,15,10:54:08,10:56:53,,09_23_GarciaG
9/23/22,Garcia,E,1,1,2,3,11,11:35:35,11:38:20,,09_23_GarciaE
9/23/22,Garcia,E,2,4,5,6,12,11:39:44,11:42:29,,09_23_GarciaE
