,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
LightDark,Site,TreeID,Hour,Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,,,,,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
L,Garcia,G,,1,10:57:03,10/23/22,Manual gsw+F,LI-COR Default,,1,,,0.169119,2.921393,0.159864,0.993548,0.805936,0.778704,1.40812,0.602184,7.945982,8.223856,14.368608,0.441786,PSF-00232_20221023105703,0,0,0,123.994949,470.25705,0.736325,0.5,0.8,3.901206,47.3,45.7,14.93,12.01,98,156.7,-11.4,107.3,13,3.89,10:56:08,10/23/22,0.02,-0.002,-0.01,-0.038,1.446,12.296,33.656,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,470.25705,25,10.853483,472.52298,485.809113,-13.286133,2.479008,2.489865,1.644652,0.582023,0.408553,-0.029232,0.061924,0.118113,123.994949,0.000647,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105703,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,2,10:57:24,10/23/22,Manual gsw+F,LI-COR Default,,2,,,0.162765,2.922409,0.154178,1.079624,0.821887,0.792323,1.500035,0.678148,8.084517,8.386173,15.305696,0.441786,PSF-00232_20221023105724,0,0,0,149.999863,539.2771,0.72185,0.5,0.8,3.613698,48.4,46.66,14.88,12.97,98,156.8,-10.5,106.7,13,3.889,10:56:08,10/23/22,0.02,-0.001,0.001,-0.004,0.305,0.879,2.182,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,539.2771,25,5.459389,539.242737,547.099915,-7.857178,2.480433,2.491499,1.64572,0.583699,0.40943,-0.018667,0.064285,0.117505,149.999863,0.00065,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105724,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,3,10:57:55,10/23/22,Manual gsw+F,LI-COR Default,,3,,,0.123131,2.921905,0.118152,0.839719,0.812314,0.789308,1.500632,0.688317,8.053694,8.288435,15.311669,0.441786,PSF-00232_20221023105755,0,0,0,135.954742,548.4245,0.752099,0.5,0.8,4.242761,48.06,46.69,14.81,12.97,98.01,156.7,-8.5,105.4,14,3.888,10:56:08,10/23/22,0.02,-0.006,-0.009,-9999,0.734,2.075,-9999,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,548.4245,25,6.801564,548.851868,558.170532,-9.318665,2.480499,2.491008,1.64519,0.587073,0.41059,-0.017847,0.067898,0.118828,135.954742,0.000632,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105755,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,4,10:58:13,10/23/22,Manual gsw+F,LI-COR Default,,4,,,0.150655,2.922749,0.14327,0.778779,0.798016,0.776695,1.324895,0.526879,7.926264,8.143855,13.520716,0.441786,PSF-00232_20221023105813,0,0,0,190.922134,620.565918,0.692342,0.5,0.8,7.103047,47.34,46.08,14.76,11.08,97.99,156.8,-11.6,107.4,26,3.886,10:56:08,10/23/22,0.02,-0.008,-0.011,-9999,1.473,3.266,-9999,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,620.565918,25,3.783484,620.0849,625.987305,-5.902405,2.479605,2.489971,1.646078,0.581789,0.411319,-0.036893,0.069878,0.128453,190.060257,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105813,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,5,10:58:45,10/23/22,Manual gsw+F,LI-COR Default,,5,,,0.122426,2.923068,0.117504,0.831913,0.805565,0.782794,1.49123,0.685666,7.988024,8.220384,15.217257,0.441786,PSF-00232_20221023105845,0,0,0,104.832527,440.416931,0.76197,0.5,0.8,9.011511,48.06,46.7,14.68,12.88,98,156.9,-9.6,106.1,30,3.886,10:56:08,10/23/22,0.02,-0.003,-0.003,0.002,0.113,-0.063,0.08,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,440.416931,25,2.372386,440.714844,443.816345,-3.101501,2.480538,2.491042,1.646414,0.585099,0.41274,-0.017452,0.073416,0.13172,104.832527,0.000638,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105845,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,6,10:59:05,10/23/22,Manual gsw+F,LI-COR Default,,6,,,0.245997,2.921875,0.226895,1.117105,0.822514,0.791913,1.299777,0.477263,8.080935,8.393191,13.26333,0.441786,PSF-00232_20221023105905,0,0,0,122.702477,512.902039,0.760768,0.5,0.8,9.720633,49.23,47.4,14.63,10.8,98,156.7,-12.1,107.7,32,3.884,10:56:08,10/23/22,0.02,0.019,0.022,-9999,0.016,0.017,-9999,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,512.902039,25,3.830641,512.285828,518.390991,-6.105164,2.481573,2.492772,1.645159,0.580964,0.413574,-0.03838,0.075649,0.133701,122.702477,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105905,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,7,10:59:23,10/23/22,Manual gsw+F,LI-COR Default,,7,,,0.139849,2.923247,0.133464,0.803304,0.794556,0.772573,1.377765,0.583208,7.884826,8.109189,14.061371,0.441786,PSF-00232_20221023105923,0,0,0,99.951622,445.538879,0.775661,0.5,0.8,9.36829,47.7,46.38,14.58,11.68,97.98,156.9,-10.9,107,30,3.884,10:56:08,10/23/22,0.02,-0.001,0.004,-9999,0.327,0.639,-9999,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,445.538879,25,1.32041,445.234528,447.430908,-2.196381,2.480088,2.490535,1.646603,0.582891,0.414343,-0.028884,0.077549,0.132243,99.951622,0.000649,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105923,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,,8,10:59:33,10/23/22,Manual gsw+F,LI-COR Default,,8,,,0.094535,2.921356,0.091572,0.552071,0.782489,0.767356,1.366745,0.584256,7.8314,7.985844,13.94858,0.441786,PSF-00232_20221023105933,0,0,0,99.953415,444.252136,0.775007,0.5,0.8,7.883327,47.06,46.15,14.55,11.55,97.98,156.7,-10.6,106.8,25,3.884,10:56:08,10/23/22,0.02,-0.006,-0.007,-9999,0.323,0.675,-9999,0,150,-9999,-9999,0,mpf,7000,500,-9999,-9999,300,300,300,444.252136,25,3.859661,444.653046,449.782684,-5.129639,2.47976,2.489603,1.644614,0.583454,0.414823,-0.029825,0.078635,0.128271,99.953415,0.000653,2.40043,-0.000041,1,2.408421,-0.000039,1,0.601914,0.601784,0.107071,0,PSF-00232_20221023105933,PFA-00245,PSA-00257,PSF-00232,RHS-00222,2.0.0,2021-01-19T12:57:14.097Z
