flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808103101_b85,10:31:01,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,476.147247,119.007828,0.750061,21.052870

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,288.062805,6978.810547,1
0.010000,407.385712,6978.810547,1
0.020000,432.240845,6978.810547,1
0.030000,441.549194,6978.810547,1
0.040000,446.890717,6978.810547,1
0.050000,450.982330,6978.810547,1
0.060000,454.427002,6978.810547,1
0.070000,457.349182,6978.810547,1
0.080000,459.767090,6978.810547,1
0.090000,461.683990,6978.810547,1
0.100000,463.225372,6978.810547,1
0.110000,464.361908,6978.810547,1
0.120000,465.233093,6978.810547,1
0.130000,465.921173,6978.810547,1
0.140000,466.396820,6978.810547,1
0.150000,466.754089,6978.810547,1
0.160000,467.014069,6978.810547,1
0.170000,467.202179,6978.810547,1
0.180000,467.348816,6978.810547,1
0.190000,467.428558,6978.810547,1
0.200000,467.516174,6978.810547,1
0.210000,467.525116,6978.810547,1
0.220000,467.524048,6978.810547,1
0.230000,467.510834,6978.810547,1
0.240000,467.494354,6978.810547,1
0.250000,467.460388,6978.810547,1
0.260000,467.417847,6978.810547,1
0.270000,467.355255,6978.810547,1
0.280000,467.303040,6978.810547,1
0.290000,467.225800,6978.810547,1
0.300000,467.200043,6920.658203,2
0.310000,467.121002,6862.506348,2
0.320000,467.038757,6804.354004,2
0.330000,466.992615,6746.202148,2
0.340000,466.904999,6688.049805,2
0.350000,466.847076,6629.897949,2
0.360000,466.758728,6571.745605,2
0.370000,466.676819,6513.593750,2
0.380000,466.576691,6455.441406,2
0.390000,466.483704,6397.289551,2
0.400000,466.407898,6339.137207,2
0.410000,466.267334,6280.985352,2
0.420000,466.178650,6222.833008,2
0.430000,466.073151,6164.681152,2
0.440000,465.964081,6106.528809,2
0.450000,465.846405,6048.376953,2
0.460000,465.738403,5990.225098,2
0.470000,465.642578,5932.072754,2
0.480000,465.512024,5873.920898,2
0.490000,465.410126,5815.768555,2
0.500000,465.317474,5757.616699,2
0.510000,465.176239,5699.464355,2
0.520000,465.115784,5641.312500,2
0.530000,465.012085,5583.160156,2
0.540000,464.892273,5525.008301,2
0.550000,464.788544,5466.855957,2
0.560000,464.729919,5408.704102,2
0.570000,464.630829,5350.551758,2
0.580000,464.536774,5292.399902,2
0.590000,464.432373,5234.247559,2
0.600000,464.738129,6978.810547,3
0.610000,464.977386,6978.810547,3
0.620000,464.995270,6978.810547,3
0.630000,464.962708,6978.810547,3
0.640000,464.917297,6978.810547,3
0.650000,464.850067,6978.810547,3
0.660000,464.814667,6978.810547,3
0.670000,464.780334,6978.810547,3
0.680000,464.772095,6978.810547,3
0.690000,464.743866,6978.810547,3
0.700000,464.775696,6978.810547,3
0.710000,464.719177,6978.810547,3
0.720000,464.703094,6978.810547,3
0.730000,464.706665,6978.810547,3
0.740000,464.708801,6978.810547,3
0.750000,464.704529,6978.810547,3
0.760000,464.685913,6978.810547,3
0.770000,464.698792,6978.810547,3
0.780000,464.688416,6978.810547,3
0.790000,464.698090,6978.810547,3
0.800000,464.733124,6978.810547,3
0.810000,464.722748,6978.810547,3
0.820000,464.732056,6978.810547,3
0.830000,464.751709,6978.810547,3
0.839999,464.782471,6978.810547,3
0.849999,464.801788,6978.810547,3
0.859999,464.826111,6978.810547,3
0.869999,464.839691,6978.810547,3
0.879999,464.847565,6978.810547,3
0.889999,464.883331,6978.810547,3
