flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808103742_e97,10:37:42,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,341.224457,107.341293,0.685423,12.655157

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,240.414978,6978.810547,1
0.010000,311.996338,6978.810547,1
0.020000,321.067566,6978.810547,1
0.030000,324.960693,6978.810547,1
0.040000,327.484497,6978.810547,1
0.050000,329.374908,6978.810547,1
0.060000,330.870514,6978.810547,1
0.070000,332.079285,6978.810547,1
0.080000,333.041321,6978.810547,1
0.090000,333.813416,6978.810547,1
0.100000,334.463959,6978.810547,1
0.110000,334.921356,6978.810547,1
0.120000,335.306152,6978.810547,1
0.130000,335.604431,6978.810547,1
0.140000,335.833313,6978.810547,1
0.150000,336.016418,6978.810547,1
0.160000,336.150177,6978.810547,1
0.170000,336.264252,6978.810547,1
0.180000,336.341156,6978.810547,1
0.190000,336.390839,6978.810547,1
0.200000,336.447723,6978.810547,1
0.210000,336.456665,6978.810547,1
0.220000,336.476318,6978.810547,1
0.230000,336.467377,6978.810547,1
0.240000,336.453796,6978.810547,1
0.250000,336.450928,6978.810547,1
0.260000,336.421600,6978.810547,1
0.270000,336.378326,6978.810547,1
0.280000,336.337219,6978.810547,1
0.290000,336.298218,6978.810547,1
0.300000,336.270325,6920.658203,2
0.310000,336.282837,6862.506348,2
0.320000,336.221344,6804.354004,2
0.330000,336.250305,6746.202148,2
0.340000,336.196289,6688.049805,2
0.350000,336.203827,6629.897949,2
0.360000,336.140869,6571.745605,2
0.370000,336.122620,6513.593750,2
0.380000,336.046814,6455.441406,2
0.390000,336.030365,6397.289551,2
0.400000,336.035370,6339.137207,2
0.410000,335.932739,6280.985352,2
0.420000,335.902344,6222.833008,2
0.430000,335.824738,6164.681152,2
0.440000,335.800049,6106.528809,2
0.450000,335.756409,6048.376953,2
0.460000,335.677734,5990.225098,2
0.470000,335.626587,5932.072754,2
0.480000,335.556854,5873.920898,2
0.490000,335.467468,5815.768555,2
0.500000,335.433472,5757.616699,2
0.510000,335.364471,5699.464355,2
0.520000,335.281128,5641.312500,2
0.530000,335.222473,5583.160156,2
0.540000,335.153107,5525.008301,2
0.550000,335.089813,5466.855957,2
0.560000,334.997894,5408.704102,2
0.570000,334.932434,5350.551758,2
0.580000,334.870941,5292.399902,2
0.590000,334.798340,5234.247559,2
0.600000,333.942902,6978.810547,3
0.610000,333.899628,6978.810547,3
0.620000,333.819519,6978.810547,3
0.630000,333.740479,6978.810547,3
0.640000,333.680389,6978.810547,3
0.650000,333.622101,6978.810547,3
0.660000,333.565948,6978.810547,3
0.670000,333.513733,6978.810547,3
0.680000,333.456146,6978.810547,3
0.690000,333.404297,6978.810547,3
0.700000,333.374268,6978.810547,3
0.710000,333.295227,6978.810547,3
0.720000,333.238007,6978.810547,3
0.730000,333.202606,6978.810547,3
0.740000,333.161102,6978.810547,3
0.750000,333.125702,6978.810547,3
0.760000,333.076721,6978.810547,3
0.770000,333.052032,6978.810547,3
0.780000,333.018433,6978.810547,3
0.790000,332.994812,6978.810547,3
0.800000,332.983032,6978.810547,3
0.810000,332.940094,6978.810547,3
0.820000,332.912201,6978.810547,3
0.830000,332.868927,6978.810547,3
0.839999,332.826721,6978.810547,3
0.849999,332.786316,6978.810547,3
0.859999,332.743774,6978.810547,3
0.869999,332.710510,6978.810547,3
0.879999,332.680817,6978.810547,3
0.889999,332.656158,6978.810547,3
