flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808113618_4d1,11:36:18,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,510.612183,125.219467,0.754766,29.020742

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,313.773743,6978.810547,1
0.010000,455.703369,6978.810547,1
0.020000,488.288635,6978.810547,1
0.030000,499.406219,6978.810547,1
0.040000,503.710266,6978.810547,1
0.050000,505.727295,6978.810547,1
0.060000,506.863831,6978.810547,1
0.070000,507.594452,6978.810547,1
0.080000,508.150940,6978.810547,1
0.090000,508.539307,6978.810547,1
0.100000,508.911621,6978.810547,1
0.110000,509.161591,6978.810547,1
0.120000,509.380829,6978.810547,1
0.130000,509.540314,6978.810547,1
0.140000,509.705536,6978.810547,1
0.150000,509.812836,6978.810547,1
0.160000,509.906525,6978.810547,1
0.170000,509.989502,6978.810547,1
0.180000,510.024536,6978.810547,1
0.190000,510.044220,6978.810547,1
0.200000,510.078918,6978.810547,1
0.210000,510.086426,6978.810547,1
0.220000,510.082855,6978.810547,1
0.230000,510.078186,6978.810547,1
0.240000,510.061737,6978.810547,1
0.250000,510.032776,6978.810547,1
0.260000,510.025970,6978.810547,1
0.270000,510.024200,6978.810547,1
0.280000,509.969818,6978.810547,1
0.290000,509.944794,6978.810547,1
0.300000,509.950867,6920.658203,2
0.310000,509.975922,6862.506348,2
0.320000,509.936218,6804.354004,2
0.330000,510.019196,6746.202148,2
0.340000,509.958038,6688.049805,2
0.350000,510.025635,6629.897949,2
0.360000,509.999878,6571.745605,2
0.370000,510.013092,6513.593750,2
0.380000,509.977356,6455.441406,2
0.390000,510.008820,6397.289551,2
0.400000,510.052429,6339.137207,2
0.410000,509.994507,6280.985352,2
0.420000,510.040985,6222.833008,2
0.430000,509.990936,6164.681152,2
0.440000,510.027039,6106.528809,2
0.450000,510.030975,6048.376953,2
0.460000,509.979492,5990.225098,2
0.470000,509.972321,5932.072754,2
0.480000,509.960175,5873.920898,2
0.490000,509.911194,5815.768555,2
0.500000,509.972687,5757.616699,2
0.510000,509.940491,5699.464355,2
0.520000,509.907257,5641.312500,2
0.530000,509.889374,5583.160156,2
0.540000,509.878265,5525.008301,2
0.550000,509.869324,5466.855957,2
0.560000,509.833221,5408.704102,2
0.570000,509.845367,5350.551758,2
0.580000,509.800323,5292.399902,2
0.590000,509.770264,5234.247559,2
0.600000,508.925201,6978.810547,3
0.610000,509.045715,6978.810547,3
0.620000,509.019623,6978.810547,3
0.630000,508.962402,6978.810547,3
0.640000,508.913757,6978.810547,3
0.650000,508.850098,6978.810547,3
0.660000,508.759247,6978.810547,3
0.670000,508.729218,6978.810547,3
0.680000,508.655182,6978.810547,3
0.690000,508.578308,6978.810547,3
0.700000,508.537537,6978.810547,3
0.710000,508.467072,6978.810547,3
0.720000,508.423096,6978.810547,3
0.730000,508.363007,6978.810547,3
0.740000,508.332611,6978.810547,3
0.750000,508.293274,6978.810547,3
0.760000,508.235321,6978.810547,3
0.770000,508.179199,6978.810547,3
0.780000,508.148071,6978.810547,3
0.790000,508.075470,6978.810547,3
0.800000,508.038635,6978.810547,3
0.810000,507.967834,6978.810547,3
0.820000,507.938507,6978.810547,3
0.830000,507.877350,6978.810547,3
0.839999,507.828369,6978.810547,3
0.849999,507.792603,6978.810547,3
0.859999,507.745026,6978.810547,3
0.869999,507.719635,6978.810547,3
0.879999,507.688171,6978.810547,3
0.889999,507.637390,6978.810547,3
