flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808113706_c0d,11:37:06,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,461.412445,123.118401,0.733171,29.689095

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,297.449463,6978.810547,1
0.010000,416.692963,6978.810547,1
0.020000,437.108154,6978.810547,1
0.030000,445.169800,6978.810547,1
0.040000,449.374084,6978.810547,1
0.050000,452.012665,6978.810547,1
0.060000,453.884125,6978.810547,1
0.070000,455.247772,6978.810547,1
0.080000,456.296326,6978.810547,1
0.090000,457.052002,6978.810547,1
0.100000,457.615601,6978.810547,1
0.110000,458.022583,6978.810547,1
0.120000,458.323730,6978.810547,1
0.130000,458.526489,6978.810547,1
0.140000,458.682404,6978.810547,1
0.150000,458.806519,6978.810547,1
0.160000,458.879456,6978.810547,1
0.170000,458.950653,6978.810547,1
0.180000,458.992493,6978.810547,1
0.190000,458.998199,6978.810547,1
0.200000,459.004639,6978.810547,1
0.210000,459.023590,6978.810547,1
0.220000,459.018219,6978.810547,1
0.230000,459.002502,6978.810547,1
0.240000,459.002136,6978.810547,1
0.250000,458.981049,6978.810547,1
0.260000,458.947784,6978.810547,1
0.270000,458.959930,6978.810547,1
0.280000,458.940979,6978.810547,1
0.290000,458.916656,6978.810547,1
0.300000,458.920593,6920.658203,2
0.310000,458.905579,6862.506348,2
0.320000,458.887695,6804.354004,2
0.330000,458.912384,6746.202148,2
0.340000,458.863007,6688.049805,2
0.350000,458.880890,6629.897949,2
0.360000,458.852295,6571.745605,2
0.370000,458.827972,6513.593750,2
0.380000,458.805786,6455.441406,2
0.390000,458.820099,6397.289551,2
0.400000,458.814392,6339.137207,2
0.410000,458.754669,6280.985352,2
0.420000,458.762878,6222.833008,2
0.430000,458.740356,6164.681152,2
0.440000,458.714600,6106.528809,2
0.450000,458.677399,6048.376953,2
0.460000,458.655243,5990.225098,2
0.470000,458.633057,5932.072754,2
0.480000,458.598389,5873.920898,2
0.490000,458.553314,5815.768555,2
0.500000,458.562256,5757.616699,2
0.510000,458.499664,5699.464355,2
0.520000,458.487518,5641.312500,2
0.530000,458.442444,5583.160156,2
0.540000,458.391296,5525.008301,2
0.550000,458.325500,5466.855957,2
0.560000,458.290466,5408.704102,2
0.570000,458.227509,5350.551758,2
0.580000,458.170288,5292.399902,2
0.590000,458.093414,5234.247559,2
0.600000,458.228943,6978.810547,3
0.610000,458.488220,6978.810547,3
0.620000,458.508972,6978.810547,3
0.630000,458.521484,6978.810547,3
0.640000,458.485718,6978.810547,3
0.650000,458.475708,6978.810547,3
0.660000,458.443512,6978.810547,3
0.670000,458.419922,6978.810547,3
0.680000,458.393097,6978.810547,3
0.690000,458.374146,6978.810547,3
0.700000,458.408112,6978.810547,3
0.710000,458.335510,6978.810547,3
0.720000,458.320862,6978.810547,3
0.730000,458.288300,6978.810547,3
0.740000,458.287598,6978.810547,3
0.750000,458.282227,6978.810547,3
0.760000,458.265076,6978.810547,3
0.770000,458.237183,6978.810547,3
0.780000,458.214630,6978.810547,3
0.790000,458.202118,6978.810547,3
0.800000,458.209290,6978.810547,3
0.810000,458.188904,6978.810547,3
0.820000,458.167786,6978.810547,3
0.830000,458.149902,6978.810547,3
0.839999,458.125946,6978.810547,3
0.849999,458.119873,6978.810547,3
0.859999,458.112000,6978.810547,3
0.869999,458.091614,6978.810547,3
0.879999,458.075531,6978.810547,3
0.889999,458.046906,6978.810547,3
