flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808124046_9cf,12:40:46,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,350.508240,73.919174,0.789109,53.832947

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,171.612030,6978.810547,1
0.010000,276.634460,6978.810547,1
0.020000,314.397095,6978.810547,1
0.030000,327.262054,6978.810547,1
0.040000,332.847839,6978.810547,1
0.050000,335.865845,6978.810547,1
0.060000,337.717285,6978.810547,1
0.070000,338.941803,6978.810547,1
0.080000,339.779724,6978.810547,1
0.090000,340.351593,6978.810547,1
0.100000,340.764648,6978.810547,1
0.110000,341.035370,6978.810547,1
0.120000,341.220245,6978.810547,1
0.130000,341.361511,6978.810547,1
0.140000,341.434479,6978.810547,1
0.150000,341.506012,6978.810547,1
0.160000,341.567871,6978.810547,1
0.170000,341.627594,6978.810547,1
0.180000,341.662659,6978.810547,1
0.190000,341.679108,6978.810547,1
0.200000,341.693054,6978.810547,1
0.210000,341.701630,6978.810547,1
0.220000,341.679108,6978.810547,1
0.230000,341.674103,6978.810547,1
0.240000,341.648712,6978.810547,1
0.250000,341.606842,6978.810547,1
0.260000,341.619385,6978.810547,1
0.270000,341.601837,6978.810547,1
0.280000,341.593262,6978.810547,1
0.290000,341.590759,6978.810547,1
0.300000,341.600403,6920.658203,2
0.310000,341.442352,6862.506348,2
0.320000,341.384399,6804.354004,2
0.330000,341.259247,6746.202148,2
0.340000,341.343994,6688.049805,2
0.350000,341.341858,6629.897949,2
0.360000,341.352936,6571.745605,2
0.370000,341.226685,6513.593750,2
0.380000,341.210236,6455.441406,2
0.390000,341.107971,6397.289551,2
0.400000,341.024994,6339.137207,2
0.410000,340.987091,6280.985352,2
0.420000,340.820068,6222.833008,2
0.430000,340.811859,6164.681152,2
0.440000,340.651276,6106.528809,2
0.450000,340.515381,6048.376953,2
0.460000,340.496429,5990.225098,2
0.470000,340.308319,5932.072754,2
0.480000,340.122345,5873.920898,2
0.490000,340.098022,5815.768555,2
0.500000,339.954254,5757.616699,2
0.510000,339.790466,5699.464355,2
0.520000,339.771515,5641.312500,2
0.530000,339.637756,5583.160156,2
0.540000,339.448914,5525.008301,2
0.550000,339.257233,5466.855957,2
0.560000,339.264404,5408.704102,2
0.570000,339.131714,5350.551758,2
0.580000,338.936798,5292.399902,2
0.590000,338.754059,5234.247559,2
0.600000,341.809265,6978.810547,3
0.610000,342.476257,6978.810547,3
0.620000,342.638245,6978.810547,3
0.630000,342.681885,6978.810547,3
0.640000,342.681183,6978.810547,3
0.650000,342.681885,6978.810547,3
0.660000,342.679016,6978.810547,3
0.670000,342.692627,6978.810547,3
0.680000,342.654694,6978.810547,3
0.690000,342.621460,6978.810547,3
0.700000,342.617157,6978.810547,3
0.710000,342.563873,6978.810547,3
0.720000,342.560638,6978.810547,3
0.730000,342.516663,6978.810547,3
0.740000,342.461945,6978.810547,3
0.750000,342.319977,6978.810547,3
0.760000,342.262024,6978.810547,3
0.770000,342.220917,6978.810547,3
0.780000,342.187653,6978.810547,3
0.790000,342.143646,6978.810547,3
0.800000,342.145813,6978.810547,3
0.810000,342.111816,6978.810547,3
0.820000,342.118622,6978.810547,3
0.830000,342.106812,6978.810547,3
0.839999,342.083221,6978.810547,3
0.849999,342.081421,6978.810547,3
0.859999,342.054962,6978.810547,3
0.869999,342.042084,6978.810547,3
0.879999,341.993103,6978.810547,3
0.889999,341.956604,6978.810547,3
