flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808141454_3cc,14:14:54,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,412.518982,116.216187,0.718277,60.573509

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,252.867584,6978.810547,1
0.010000,363.152496,6978.810547,1
0.020000,387.712952,6978.810547,1
0.030000,395.643707,6978.810547,1
0.040000,399.196381,6978.810547,1
0.050000,401.210175,6978.810547,1
0.060000,402.633179,6978.810547,1
0.070000,403.528687,6978.810547,1
0.080000,404.199585,6978.810547,1
0.090000,404.654846,6978.810547,1
0.100000,405.022156,6978.810547,1
0.110000,405.282501,6978.810547,1
0.120000,405.496704,6978.810547,1
0.130000,405.675171,6978.810547,1
0.140000,405.827881,6978.810547,1
0.150000,405.975220,6978.810547,1
0.160000,406.120422,6978.810547,1
0.170000,406.264893,6978.810547,1
0.180000,406.376495,6978.810547,1
0.190000,406.519531,6978.810547,1
0.200000,406.664734,6978.810547,1
0.210000,406.787384,6978.810547,1
0.220000,406.928650,6978.810547,1
0.230000,407.055969,6978.810547,1
0.240000,407.189728,6978.810547,1
0.250000,407.328491,6978.810547,1
0.260000,407.471893,6978.810547,1
0.270000,407.624969,6978.810547,1
0.280000,407.755493,6978.810547,1
0.290000,407.912506,6978.810547,1
0.300000,408.079498,6920.658203,2
0.310000,408.073792,6862.506348,2
0.320000,408.191803,6804.354004,2
0.330000,408.182129,6746.202148,2
0.340000,408.278351,6688.049805,2
0.350000,408.285492,6629.897949,2
0.360000,408.320557,6571.745605,2
0.370000,408.311951,6513.593750,2
0.380000,408.377045,6455.441406,2
0.390000,408.337341,6397.289551,2
0.400000,408.290863,6339.137207,2
0.410000,408.301941,6280.985352,2
0.420000,408.240784,6222.833008,2
0.430000,408.298370,6164.681152,2
0.440000,408.241516,6106.528809,2
0.450000,408.125641,6048.376953,2
0.460000,408.162476,5990.225098,2
0.470000,408.053406,5932.072754,2
0.480000,407.940735,5873.920898,2
0.490000,407.965424,5815.768555,2
0.500000,407.875305,5757.616699,2
0.510000,407.723663,5699.464355,2
0.520000,407.736176,5641.312500,2
0.530000,407.613525,5583.160156,2
0.540000,407.465454,5525.008301,2
0.550000,407.292358,5466.855957,2
0.560000,407.300964,5408.704102,2
0.570000,407.151093,5350.551758,2
0.580000,406.995880,5292.399902,2
0.590000,406.781677,5234.247559,2
0.600000,409.586548,6978.810547,3
0.610000,410.175568,6978.810547,3
0.620000,410.280334,6978.810547,3
0.630000,410.257812,6978.810547,3
0.640000,410.228119,6978.810547,3
0.650000,410.195587,6978.810547,3
0.660000,410.181274,6978.810547,3
0.670000,410.151245,6978.810547,3
0.680000,410.163757,6978.810547,3
0.690000,410.140503,6978.810547,3
0.700000,410.145874,6978.810547,3
0.710000,410.123352,6978.810547,3
0.720000,410.109772,6978.810547,3
0.730000,410.113342,6978.810547,3
0.740000,410.079712,6978.810547,3
0.750000,410.061493,6978.810547,3
0.760000,410.065399,6978.810547,3
0.770000,410.042175,6978.810547,3
0.780000,410.027496,6978.810547,3
0.790000,410.014984,6978.810547,3
0.800000,410.023926,6978.810547,3
0.810000,410.004272,6978.810547,3
0.820000,409.989594,6978.810547,3
0.830000,409.983887,6978.810547,3
0.839999,409.986023,6978.810547,3
0.849999,409.982452,6978.810547,3
0.859999,409.966339,6978.810547,3
0.869999,409.950623,6978.810547,3
0.879999,409.933807,6978.810547,3
0.889999,409.920227,6978.810547,3
