flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808143128_8e6,14:31:28,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,541.584717,143.676636,0.734711,11.400820

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,348.001587,6978.810547,1
0.010000,482.029449,6978.810547,1
0.020000,508.695251,6978.810547,1
0.030000,515.541687,6978.810547,1
0.040000,517.912415,6978.810547,1
0.050000,519.217346,6978.810547,1
0.060000,520.272400,6978.810547,1
0.070000,521.299866,6978.810547,1
0.080000,522.291199,6978.810547,1
0.090000,523.203857,6978.810547,1
0.100000,524.066833,6978.810547,1
0.110000,524.767029,6978.810547,1
0.120000,525.388611,6978.810547,1
0.130000,525.940796,6978.810547,1
0.140000,526.347046,6978.810547,1
0.150000,526.673889,6978.810547,1
0.160000,527.013306,6978.810547,1
0.170000,527.279724,6978.810547,1
0.180000,527.478577,6978.810547,1
0.190000,527.659546,6978.810547,1
0.200000,527.772217,6978.810547,1
0.210000,527.807251,6978.810547,1
0.220000,527.818665,6978.810547,1
0.230000,527.821533,6978.810547,1
0.240000,527.772522,6978.810547,1
0.250000,527.681335,6978.810547,1
0.260000,527.623779,6978.810547,1
0.270000,527.468567,6978.810547,1
0.280000,527.290466,6978.810547,1
0.290000,527.098755,6978.810547,1
0.300000,526.890259,6920.658203,2
0.310000,526.753662,6862.506348,2
0.320000,526.478638,6804.354004,2
0.330000,526.331299,6746.202148,2
0.340000,526.046631,6688.049805,2
0.350000,525.893921,6629.897949,2
0.360000,525.606384,6571.745605,2
0.370000,525.408997,6513.593750,2
0.380000,525.117188,6455.441406,2
0.390000,524.913696,6397.289551,2
0.400000,524.720215,6339.137207,2
0.410000,524.392273,6280.985352,2
0.420000,524.232727,6222.833008,2
0.430000,523.972778,6164.681152,2
0.440000,523.798584,6106.528809,2
0.450000,523.637634,6048.376953,2
0.460000,523.438782,5990.225098,2
0.470000,523.305420,5932.072754,2
0.480000,523.186340,5873.920898,2
0.490000,523.020386,5815.768555,2
0.500000,522.962463,5757.616699,2
0.510000,522.842285,5699.464355,2
0.520000,522.727112,5641.312500,2
0.530000,522.617310,5583.160156,2
0.540000,522.513245,5525.008301,2
0.550000,522.427795,5466.855957,2
0.560000,522.336609,5408.704102,2
0.570000,522.261475,5350.551758,2
0.580000,522.186401,5292.399902,2
0.590000,522.104492,5234.247559,2
0.600000,520.633606,6978.810547,3
0.610000,520.638916,6978.810547,3
0.620000,520.581726,6978.810547,3
0.630000,520.497681,6978.810547,3
0.640000,520.410767,6978.810547,3
0.650000,520.318848,6978.810547,3
0.660000,520.233398,6978.810547,3
0.670000,520.175110,6978.810547,3
0.680000,520.070312,6978.810547,3
0.690000,519.981995,6978.810547,3
0.700000,519.922607,6978.810547,3
0.710000,519.807800,6978.810547,3
0.720000,519.703369,6978.810547,3
0.730000,519.628296,6978.810547,3
0.740000,519.557495,6978.810547,3
0.750000,519.481689,6978.810547,3
0.760000,519.396179,6978.810547,3
0.770000,519.322510,6978.810547,3
0.780000,519.235596,6978.810547,3
0.790000,519.160156,6978.810547,3
0.800000,519.095764,6978.810547,3
0.810000,518.993469,6978.810547,3
0.820000,518.907654,6978.810547,3
0.830000,518.822571,6978.810547,3
0.839999,518.728882,6978.810547,3
0.849999,518.657715,6978.810547,3
0.859999,518.587585,6978.810547,3
0.869999,518.507141,6978.810547,3
0.879999,518.418762,6978.810547,3
0.889999,518.316528,6978.810547,3
