flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808150902_3fd,15:09:02,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,290.387024,76.123238,0.737856,19.647102

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,174.230927,6978.810547,1
0.010000,255.583054,6978.810547,1
0.020000,275.014404,6978.810547,1
0.030000,280.839081,6978.810547,1
0.040000,283.413635,6978.810547,1
0.050000,284.971832,6978.810547,1
0.060000,286.079773,6978.810547,1
0.070000,286.929840,6978.810547,1
0.080000,287.586823,6978.810547,1
0.090000,288.070679,6978.810547,1
0.100000,288.495178,6978.810547,1
0.110000,288.774475,6978.810547,1
0.120000,289.029480,6978.810547,1
0.130000,289.231537,6978.810547,1
0.140000,289.402832,6978.810547,1
0.150000,289.547333,6978.810547,1
0.160000,289.684998,6978.810547,1
0.170000,289.782990,6978.810547,1
0.180000,289.868469,6978.810547,1
0.190000,289.950012,6978.810547,1
0.200000,290.017609,6978.810547,1
0.210000,290.060883,6978.810547,1
0.220000,290.114532,6978.810547,1
0.230000,290.169250,6978.810547,1
0.240000,290.201416,6978.810547,1
0.250000,290.253296,6978.810547,1
0.260000,290.299072,6978.810547,1
0.270000,290.336609,6978.810547,1
0.280000,290.353760,6978.810547,1
0.290000,290.387024,6978.810547,1
0.300000,290.438171,6920.658203,2
0.310000,290.454254,6862.506348,2
0.320000,290.465363,6804.354004,2
0.330000,290.506836,6746.202148,2
0.340000,290.537598,6688.049805,2
0.350000,290.546906,6629.897949,2
0.360000,290.571930,6571.745605,2
0.370000,290.588379,6513.593750,2
0.380000,290.602692,6455.441406,2
0.390000,290.621277,6397.289551,2
0.400000,290.643799,6339.137207,2
0.410000,290.634155,6280.985352,2
0.420000,290.658478,6222.833008,2
0.430000,290.673126,6164.681152,2
0.440000,290.680298,6106.528809,2
0.450000,290.689240,6048.376953,2
0.460000,290.691010,5990.225098,2
0.470000,290.692810,5932.072754,2
0.480000,290.683502,5873.920898,2
0.490000,290.666351,5815.768555,2
0.500000,290.698883,5757.616699,2
0.510000,290.677429,5699.464355,2
0.520000,290.689575,5641.312500,2
0.530000,290.662048,5583.160156,2
0.540000,290.642731,5525.008301,2
0.550000,290.605194,5466.855957,2
0.560000,290.589813,5408.704102,2
0.570000,290.580139,5350.551758,2
0.580000,290.554047,5292.399902,2
0.590000,290.503265,5234.247559,2
0.600000,290.686371,6978.810547,3
0.610000,290.870544,6978.810547,3
0.620000,290.913116,6978.810547,3
0.630000,290.933136,6978.810547,3
0.640000,290.922394,6978.810547,3
0.650000,290.907013,6978.810547,3
0.660000,290.886627,6978.810547,3
0.670000,290.845154,6978.810547,3
0.680000,290.815826,6978.810547,3
0.690000,290.799744,6978.810547,3
0.700000,290.802246,6978.810547,3
0.710000,290.758240,6978.810547,3
0.720000,290.745728,6978.810547,3
0.730000,290.741791,6978.810547,3
0.740000,290.737152,6978.810547,3
0.750000,290.709625,6978.810547,3
0.760000,290.687439,6978.810547,3
0.770000,290.678131,6978.810547,3
0.780000,290.659912,6978.810547,3
0.790000,290.642731,6978.810547,3
0.800000,290.621643,6978.810547,3
0.810000,290.579437,6978.810547,3
0.820000,290.552246,6978.810547,3
0.830000,290.521851,6978.810547,3
0.839999,290.488251,6978.810547,3
0.849999,290.464630,6978.810547,3
0.859999,290.437805,6978.810547,3
0.869999,290.412781,6978.810547,3
0.879999,290.386688,6978.810547,3
0.889999,290.363434,6978.810547,3
