flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808150920_f7a,15:09:20,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,346.674438,116.026283,0.665316,23.141573

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,246.309402,6978.810547,1
0.010000,322.776306,6978.810547,1
0.020000,334.218994,6978.810547,1
0.030000,338.800537,6978.810547,1
0.040000,341.245300,6978.810547,1
0.050000,342.807770,6978.810547,1
0.060000,343.865631,6978.810547,1
0.070000,344.610931,6978.810547,1
0.080000,345.135223,6978.810547,1
0.090000,345.522522,6978.810547,1
0.100000,345.839386,6978.810547,1
0.110000,346.026428,6978.810547,1
0.120000,346.197723,6978.810547,1
0.130000,346.310364,6978.810547,1
0.140000,346.405518,6978.810547,1
0.150000,346.473083,6978.810547,1
0.160000,346.549988,6978.810547,1
0.170000,346.597198,6978.810547,1
0.180000,346.616150,6978.810547,1
0.190000,346.629730,6978.810547,1
0.200000,346.674438,6978.810547,1
0.210000,346.659058,6978.810547,1
0.220000,346.666565,6978.810547,1
0.230000,346.637238,6978.810547,1
0.240000,346.636536,6978.810547,1
0.250000,346.634735,6978.810547,1
0.260000,346.634735,6978.810547,1
0.270000,346.614014,6978.810547,1
0.280000,346.579315,6978.810547,1
0.290000,346.555359,6978.810547,1
0.300000,346.537842,6920.658203,2
0.310000,346.543549,6862.506348,2
0.320000,346.546783,6804.354004,2
0.330000,346.582520,6746.202148,2
0.340000,346.571808,6688.049805,2
0.350000,346.617950,6629.897949,2
0.360000,346.580750,6571.745605,2
0.370000,346.596466,6513.593750,2
0.380000,346.593964,6455.441406,2
0.390000,346.598969,6397.289551,2
0.400000,346.629730,6339.137207,2
0.410000,346.607574,6280.985352,2
0.420000,346.656555,6222.833008,2
0.430000,346.673004,6164.681152,2
0.440000,346.736298,6106.528809,2
0.450000,346.765289,6048.376953,2
0.460000,346.764557,5990.225098,2
0.470000,346.810699,5932.072754,2
0.480000,346.867218,5873.920898,2
0.490000,346.924072,5815.768555,2
0.500000,347.075348,5757.616699,2
0.510000,347.158661,5699.464355,2
0.520000,347.300659,5641.312500,2
0.530000,347.446564,5583.160156,2
0.540000,347.515228,5525.008301,2
0.550000,347.540985,5466.855957,2
0.560000,347.550995,5408.704102,2
0.570000,347.549927,5350.551758,2
0.580000,347.527740,5292.399902,2
0.590000,347.500549,5234.247559,2
0.600000,347.146881,6978.810547,3
0.610000,347.308868,6978.810547,3
0.620000,347.341766,6978.810547,3
0.630000,347.343933,6978.810547,3
0.640000,347.317108,6978.810547,3
0.650000,347.280609,6978.810547,3
0.660000,347.247009,6978.810547,3
0.670000,347.215179,6978.810547,3
0.680000,347.182617,6978.810547,3
0.690000,347.142578,6978.810547,3
0.700000,347.150452,6978.810547,3
0.710000,347.093231,6978.810547,3
0.720000,347.049957,6978.810547,3
0.730000,347.014191,6978.810547,3
0.740000,347.005615,6978.810547,3
0.750000,346.972351,6978.810547,3
0.760000,346.951965,6978.810547,3
0.770000,346.905457,6978.810547,3
0.780000,346.891510,6978.810547,3
0.790000,346.865051,6978.810547,3
0.800000,346.880798,6978.810547,3
0.810000,346.833954,6978.810547,3
0.820000,346.835022,6978.810547,3
0.830000,346.788513,6978.810547,3
0.839999,346.793518,6978.810547,3
0.849999,346.764557,6978.810547,3
0.859999,346.744537,6978.810547,3
0.869999,346.727020,6978.810547,3
0.879999,346.718445,6978.810547,3
0.889999,346.715942,6978.810547,3
