flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808152519_fe0,15:25:19,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,389.097717,105.106476,0.729871,8.192049

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,226.771835,6978.810547,1
0.010000,326.182007,6978.810547,1
0.020000,358.771576,6978.810547,1
0.030000,369.628082,6978.810547,1
0.040000,373.700745,6978.810547,1
0.050000,375.758179,6978.810547,1
0.060000,377.097137,6978.810547,1
0.070000,378.149628,6978.810547,1
0.080000,379.000793,6978.810547,1
0.090000,379.752869,6978.810547,1
0.100000,380.414124,6978.810547,1
0.110000,380.913391,6978.810547,1
0.120000,381.350037,6978.810547,1
0.130000,381.699799,6978.810547,1
0.140000,381.975525,6978.810547,1
0.150000,382.222656,6978.810547,1
0.160000,382.413971,6978.810547,1
0.170000,382.553101,6978.810547,1
0.180000,382.677185,6978.810547,1
0.190000,382.782349,6978.810547,1
0.200000,382.862457,6978.810547,1
0.210000,382.882111,6978.810547,1
0.220000,382.926453,6978.810547,1
0.230000,382.952576,6978.810547,1
0.240000,382.962952,6978.810547,1
0.250000,382.955078,6978.810547,1
0.260000,382.960785,6978.810547,1
0.270000,382.944000,6978.810547,1
0.280000,382.904999,6978.810547,1
0.290000,382.877838,6978.810547,1
0.300000,382.843506,6920.658203,2
0.310000,382.831696,6862.506348,2
0.320000,382.781281,6804.354004,2
0.330000,382.792725,6746.202148,2
0.340000,382.729401,6688.049805,2
0.350000,382.699738,6629.897949,2
0.360000,382.660400,6571.745605,2
0.370000,382.632507,6513.593750,2
0.380000,382.568848,6455.441406,2
0.390000,382.527344,6397.289551,2
0.400000,382.492676,6339.137207,2
0.410000,382.388947,6280.985352,2
0.420000,382.349243,6222.833008,2
0.430000,382.287750,6164.681152,2
0.440000,382.243042,6106.528809,2
0.450000,382.149689,6048.376953,2
0.460000,382.071747,5990.225098,2
0.470000,382.004150,5932.072754,2
0.480000,381.937256,5873.920898,2
0.490000,381.829620,5815.768555,2
0.500000,381.806030,5757.616699,2
0.510000,381.692291,5699.464355,2
0.520000,381.603607,5641.312500,2
0.530000,381.517059,5583.160156,2
0.540000,381.415833,5525.008301,2
0.550000,381.322510,5466.855957,2
0.560000,381.217346,5408.704102,2
0.570000,381.149414,5350.551758,2
0.580000,381.047485,5292.399902,2
0.590000,380.919464,5234.247559,2
0.600000,380.646240,6978.810547,3
0.610000,380.741730,6978.810547,3
0.620000,380.719177,6978.810547,3
0.630000,380.648743,6978.810547,3
0.640000,380.567200,6978.810547,3
0.650000,380.478851,6978.810547,3
0.660000,380.381226,6978.810547,3
0.670000,380.280365,6978.810547,3
0.680000,380.200256,6978.810547,3
0.690000,380.093323,6978.810547,3
0.700000,380.013214,6978.810547,3
0.710000,379.910583,6978.810547,3
0.720000,379.800781,6978.810547,3
0.730000,379.699585,6978.810547,3
0.740000,379.598022,6978.810547,3
0.750000,379.500732,6978.810547,3
0.760000,379.392029,6978.810547,3
0.770000,379.296173,6978.810547,3
0.780000,379.184235,6978.810547,3
0.790000,379.083405,6978.810547,3
0.800000,379.000427,6978.810547,3
0.810000,378.858459,6978.810547,3
0.820000,378.737915,6978.810547,3
0.830000,378.621704,6978.810547,3
0.839999,378.508331,6978.810547,3
0.849999,378.375305,6978.810547,3
0.859999,378.262268,6978.810547,3
0.869999,378.110992,6978.810547,3
0.879999,377.989777,6978.810547,3
0.889999,377.856720,6978.810547,3
