flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240808154818_e9d,15:48:18,2024-08-08,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,467.378571,96.271637,0.794018,19.659971

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,251.058701,6978.810547,1
0.010000,389.800415,6978.810547,1
0.020000,422.827728,6978.810547,1
0.030000,433.056946,6978.810547,1
0.040000,438.205353,6978.810547,1
0.050000,441.841370,6978.810547,1
0.060000,444.746735,6978.810547,1
0.070000,447.147858,6978.810547,1
0.080000,449.120178,6978.810547,1
0.090000,450.692291,6978.810547,1
0.100000,451.961151,6978.810547,1
0.110000,452.926025,6978.810547,1
0.120000,453.660248,6978.810547,1
0.130000,454.228149,6978.810547,1
0.140000,454.668396,6978.810547,1
0.150000,454.995636,6978.810547,1
0.160000,455.261353,6978.810547,1
0.170000,455.470551,6978.810547,1
0.180000,455.638641,6978.810547,1
0.190000,455.765259,6978.810547,1
0.200000,455.856812,6978.810547,1
0.210000,455.904724,6978.810547,1
0.220000,455.925812,6978.810547,1
0.230000,455.922974,6978.810547,1
0.240000,455.919037,6978.810547,1
0.250000,455.918304,6978.810547,1
0.260000,455.885773,6978.810547,1
0.270000,455.848206,6978.810547,1
0.280000,455.812805,6978.810547,1
0.290000,455.766327,6978.810547,1
0.300000,455.743439,6920.658203,2
0.310000,455.679413,6862.506348,2
0.320000,455.591797,6804.354004,2
0.330000,455.533508,6746.202148,2
0.340000,455.445526,6688.049805,2
0.350000,455.399048,6629.897949,2
0.360000,455.313568,6571.745605,2
0.370000,455.215942,6513.593750,2
0.380000,455.150848,6455.441406,2
0.390000,455.044617,6397.289551,2
0.400000,454.956299,6339.137207,2
0.410000,454.831482,6280.985352,2
0.420000,454.722412,6222.833008,2
0.430000,454.621552,6164.681152,2
0.440000,454.486725,6106.528809,2
0.450000,454.329742,6048.376953,2
0.460000,454.222809,5990.225098,2
0.470000,454.060089,5932.072754,2
0.480000,453.911316,5873.920898,2
0.490000,453.813660,5815.768555,2
0.500000,453.674194,5757.616699,2
0.510000,453.461060,5699.464355,2
0.520000,453.344818,5641.312500,2
0.530000,453.171021,5583.160156,2
0.540000,452.995056,5525.008301,2
0.550000,452.781555,5466.855957,2
0.560000,452.662109,5408.704102,2
0.570000,452.486877,5350.551758,2
0.580000,452.302704,5292.399902,2
0.590000,452.074524,5234.247559,2
0.600000,452.766907,6978.810547,3
0.610000,452.807312,6978.810547,3
0.620000,452.686798,6978.810547,3
0.630000,452.519073,6978.810547,3
0.640000,452.372070,6978.810547,3
0.650000,452.224030,6978.810547,3
0.660000,452.102783,6978.810547,3
0.670000,451.996552,6978.810547,3
0.680000,451.888550,6978.810547,3
0.690000,451.782715,6978.810547,3
0.700000,451.724762,6978.810547,3
0.710000,451.611389,6978.810547,3
0.720000,451.527344,6978.810547,3
0.730000,451.439392,6978.810547,3
0.740000,451.361053,6978.810547,3
0.750000,451.269165,6978.810547,3
0.760000,451.215149,6978.810547,3
0.770000,451.130737,6978.810547,3
0.780000,451.071747,6978.810547,3
0.790000,451.013092,6978.810547,3
0.800000,450.954803,6978.810547,3
0.810000,450.886475,6978.810547,3
0.820000,450.829254,6978.810547,3
0.830000,450.774536,6978.810547,3
0.839999,450.716980,6978.810547,3
0.849999,450.676575,6978.810547,3
0.859999,450.651520,6978.810547,3
0.869999,450.607178,6978.810547,3
0.879999,450.596466,6978.810547,3
0.889999,450.568909,6978.810547,3
