,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
LightDark,Site,TreeID,Hour,Obs#,Time,Date,configName,configAuthor,remark,Observation,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,,,,,HHMMSS,YYYYMMDD,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
L,Garcia,G,10,1,9:36:18,8/9/24,Manual gsw+F,LI-COR Default,,001,,0.435547303,2.42775,0.369294506,3.444647915,1.213825,1.083347,2.109354593,0.895529593,11.091888,12.42779,21.59675021,0.4417875,7.5,PSF-00232_20240809093618_4b7,0,0,0,122.437119,488.951324,0.749592,0.5,0.8,11.0939616,1,60.22,53.75,17.57,18.29,18.29,97.67,112.5,-10.8,109.6,37,3.818,9:35:48,8/9/24,-0.03,1,0.004,0,0.003,0.224,0.49,0.832,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,488.951324,25,4.291334,489.091156,495.100403,-6.009247,2.489995,2.507867,1.290179,0.583007,0.367438,0.008911,0.073025,0.137549,122.437119,0.000647,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809093618_4b7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,2,9:36:53,8/9/24,Manual gsw+F,LI-COR Default,,002,,0.474455758,2.34613968,0.394646983,3.404709824,1.293537,1.157811,2.121295777,0.827758777,11.855102,13.244836,21.72123466,0.4417875,7.5,PSF-00232_20240809093653_c76,0,0,0,112.635971,425.187714,0.735091,0.5,0.8,11.1733832,1,63.38,56.73,17.77,18.38,18.38,97.66,106.8,-10.6,109.9,38,3.815,9:35:48,8/9/24,-0.03,1,0.004,0.003,0,0.131,0.137,0.175,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,425.187714,25,2.539251,425.333984,428.826233,-3.492249,2.494175,2.512256,1.248134,0.58346,0.364511,0.007744,0.077601,0.138977,112.635971,0.000652,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809093653_c76,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,3,9:37:24,8/9/24,Manual gsw+F,LI-COR Default,,003,,0.387958774,2.29990008,0.331961782,3.121577744,1.28523,1.157053,2.187354735,0.902124735,11.846732,13.159101,22.39535922,0.4417875,7.5,PSF-00232_20240809093724_23c,0,0,0,92.512253,379.031891,0.755925,0.5,0.8,9.0711,1,62.19,55.99,17.96,18.87,18.87,97.67,103.7,-12.8,112.4,30,3.813,9:35:48,8/9/24,-0.03,1,-0.003,0,0,0.069,0.189,0.373,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,379.031891,25,3.326418,379.410614,383.79834,-4.387726,2.493075,2.510537,1.22539,0.579595,0.361621,0.010888,0.081463,0.132115,92.512253,0.000637,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809093724_23c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,4,9:37:45,8/9/24,Manual gsw+F,LI-COR Default,,004,,0.260054473,2.28317832,0.233462991,2.483157219,1.23788,1.134783,2.25801885,1.02013885,11.619728,12.675403,23.12122517,0.4417875,7.5,PSF-00232_20240809093745_803,0,0,0,98.904488,282.696594,0.650139,0.5,0.8,32.50695,1,59.33,54.39,18.12,19.38,19.38,97.66,102.6,-11.8,111.5,125,3.811,9:35:48,8/9/24,-0.03,1,0.001,-0.001,0.003,0.276,0.583,0.967,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,282.696594,25,3.059797,285.354858,287.080994,-1.726135,2.490756,2.506453,1.217274,0.581293,0.359397,0.014814,0.084026,0.211689,98.904488,0.000643,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809093745_803,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,5,9:38:29,8/9/24,Manual gsw+F,LI-COR Default,,005,,0.290386851,2.23987128,0.2570604,2.561536719,1.285805,1.176549,2.241214433,0.955409433,12.050116,13.169106,22.95385532,0.4417875,7.5,PSF-00232_20240809093829_ab1,0,0,0,217.73851,351.936066,0.381312,0.5,0.8,24.7090176,1,60.32,55.2,18.46,19.26,19.26,97.64,99.8,-12.9,112.9,162,3.808,9:35:48,8/9/24,-0.03,1,0.003,0.003,-0.004,-19.45,-6.589,35.359,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,348.786957,25,-3.874171,343.512665,346.384735,-2.87207,2.491816,2.507767,1.197113,0.579459,0.354507,0.009768,0.08928,0.241848,217.73851,0.000645,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809093829_ab1,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,6,9:39:31,8/9/24,Manual gsw+F,LI-COR Default,,006,,0.197800155,2.187462,0.181397388,2.249871108,1.303285,1.20402,2.491334083,1.188049083,12.326706,13.342978,25.50505818,0.4417875,7.5,PSF-00232_20240809093931_649,0,0,0,284.991852,336.641907,0.153427,0.5,0.8,75.0564884,1,59.02,54.52,19.02,20.97,20.97,97.68,96.5,-11.1,111.5,1223,3.806,9:35:48,8/9/24,-0.03,1,-0.004,-0.002,0.001,7.497,8.409,-3.236,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,336.641907,25,0.108825,336.030731,336.797852,-0.76712,2.490713,2.505778,1.173571,0.582613,0.346547,0.022493,0.096477,1.126982,284.991852,0.00063,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809093931_649,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,7,9:40:03,8/9/24,Manual gsw+F,LI-COR Default,,007,,0.127062596,2.15988528,0.120003011,1.996721095,1.296954,1.207298,2.886972837,1.590018837,12.363875,13.282029,29.56449397,0.4417875,7.5,PSF-00232_20240809094003_9f2,0,0,0,274.610626,295.420197,0.070441,0.5,0.8,48.2098204,1,57.7,53.71,19.31,23.39,23.39,97.65,94.8,-11.6,112.2,1711,3.805,9:35:48,8/9/24,-0.03,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,294.290527,25,-1.868163,291.005005,292.743286,-1.738281,2.489486,2.503837,1.161816,0.581736,0.342617,0.04706,0.09997,1.533622,274.610626,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809094003_9f2,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,8,9:40:24,8/9/24,Manual gsw+F,LI-COR Default,,008,,0.11382599,2.146772,0.108094606,1.830066096,1.295555,1.212683,2.913209753,1.617654753,12.419111,13.267806,29.83317719,0.4417875,7.5,PSF-00232_20240809094024_1b3,0,0,0,230.277298,247.197006,0.068446,0.5,0.8,45.4755224,1,56.88,53.24,19.52,23.54,23.54,97.65,94,-11.1,111.9,1661,3.805,9:35:48,8/9/24,-0.03,1,0,0,-0.001,-2.741,-5.292,-11.09,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,245.294098,25,-1.929831,243.160126,244.431732,-1.271606,2.488757,2.502612,1.156252,0.582457,0.339689,0.04635,0.102329,1.491918,230.277298,0.000605,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809094024_1b3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
