flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809093653_c76,09:36:53,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,425.187714,112.635971,0.735091,44.957352

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,274.606354,6978.810547,1
0.010000,387.181885,6978.810547,1
0.020000,411.908997,6978.810547,1
0.030000,419.501770,6978.810547,1
0.040000,422.010529,6978.810547,1
0.050000,423.030151,6978.810547,1
0.060000,423.578735,6978.810547,1
0.070000,423.915619,6978.810547,1
0.080000,424.177063,6978.810547,1
0.090000,424.363373,6978.810547,1
0.100000,424.530029,6978.810547,1
0.110000,424.628723,6978.810547,1
0.120000,424.741394,6978.810547,1
0.130000,424.826508,6978.810547,1
0.140000,424.898743,6978.810547,1
0.150000,424.954163,6978.810547,1
0.160000,424.994232,6978.810547,1
0.170000,425.046082,6978.810547,1
0.180000,425.065399,6978.810547,1
0.190000,425.091492,6978.810547,1
0.200000,425.144073,6978.810547,1
0.210000,425.136932,6978.810547,1
0.220000,425.143707,6978.810547,1
0.230000,425.150879,6978.810547,1
0.240000,425.159454,6978.810547,1
0.250000,425.181274,6978.810547,1
0.260000,425.157318,6978.810547,1
0.270000,425.168030,6978.810547,1
0.280000,425.186279,6978.810547,1
0.290000,425.187714,6978.810547,1
0.300000,425.181274,6920.658203,2
0.310000,425.265320,6862.506348,2
0.320000,425.261749,6804.354004,2
0.330000,425.369751,6746.202148,2
0.340000,425.360443,6688.049805,2
0.350000,425.460938,6629.897949,2
0.360000,425.463806,6571.745605,2
0.370000,425.526367,6513.593750,2
0.380000,425.547852,6455.441406,2
0.390000,425.605774,6397.289551,2
0.400000,425.710205,6339.137207,2
0.410000,425.681580,6280.985352,2
0.420000,425.781372,6222.833008,2
0.430000,425.767792,6164.681152,2
0.440000,425.849304,6106.528809,2
0.450000,425.905121,6048.376953,2
0.460000,425.913330,5990.225098,2
0.470000,425.976624,5932.072754,2
0.480000,426.036713,5873.920898,2
0.490000,426.028839,5815.768555,2
0.500000,426.117889,5757.616699,2
0.510000,426.137573,5699.464355,2
0.520000,426.150452,5641.312500,2
0.530000,426.184052,5583.160156,2
0.540000,426.224823,5525.008301,2
0.550000,426.246277,5466.855957,2
0.560000,426.254883,5408.704102,2
0.570000,426.318176,5350.551758,2
0.580000,426.346436,5292.399902,2
0.590000,426.352142,5234.247559,2
0.600000,425.286041,6978.810547,3
0.610000,425.333984,6978.810547,3
0.620000,425.273529,6978.810547,3
0.630000,425.244202,6978.810547,3
0.640000,425.180206,6978.810547,3
0.650000,425.144440,6978.810547,3
0.660000,425.086853,6978.810547,3
0.670000,425.056091,6978.810547,3
0.680000,425.034271,6978.810547,3
0.690000,424.984222,6978.810547,3
0.700000,424.971710,6978.810547,3
0.710000,424.918762,6978.810547,3
0.720000,424.906250,6978.810547,3
0.730000,424.887299,6978.810547,3
0.740000,424.851532,6978.810547,3
0.750000,424.820435,6978.810547,3
0.760000,424.808258,6978.810547,3
0.770000,424.796448,6978.810547,3
0.780000,424.768219,6978.810547,3
0.790000,424.744263,6978.810547,3
0.800000,424.766052,6978.810547,3
0.810000,424.705627,6978.810547,3
0.820000,424.684875,6978.810547,3
0.830000,424.675934,6978.810547,3
0.839999,424.648407,6978.810547,3
0.849999,424.633728,6978.810547,3
0.859999,424.611206,6978.810547,3
0.869999,424.601898,6978.810547,3
0.879999,424.585815,6978.810547,3
0.889999,424.567230,6978.810547,3
