flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809093829_ab1,09:38:29,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,351.936066,217.738510,0.381312,168.353012

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,302.046417,6978.810547,1
0.010000,339.148865,6978.810547,1
0.020000,345.661987,6978.810547,1
0.030000,347.877502,6978.810547,1
0.040000,348.594910,6978.810547,1
0.050000,348.786957,6978.810547,1
0.060000,348.745819,6978.810547,1
0.070000,348.660339,6978.810547,1
0.080000,348.524811,6978.810547,1
0.090000,348.382111,6978.810547,1
0.100000,348.278412,6978.810547,1
0.110000,348.138214,6978.810547,1
0.120000,348.019135,6978.810547,1
0.130000,347.929352,6978.810547,1
0.140000,347.828857,6978.810547,1
0.150000,347.741241,6978.810547,1
0.160000,347.644684,6978.810547,1
0.170000,347.538116,6978.810547,1
0.180000,347.445831,6978.810547,1
0.190000,347.364319,6978.810547,1
0.200000,347.305664,6978.810547,1
0.210000,347.173340,6978.810547,1
0.220000,347.096802,6978.810547,1
0.230000,346.993439,6978.810547,1
0.240000,346.906189,6978.810547,1
0.250000,346.801056,6978.810547,1
0.260000,346.717010,6978.810547,1
0.270000,346.628662,6978.810547,1
0.280000,346.538544,6978.810547,1
0.290000,346.438751,6978.810547,1
0.300000,346.358307,6920.658203,2
0.310000,346.331116,6862.506348,2
0.320000,346.242432,6804.354004,2
0.330000,346.215973,6746.202148,2
0.340000,346.134430,6688.049805,2
0.350000,346.127258,6629.897949,2
0.360000,346.001038,6571.745605,2
0.370000,345.972778,6513.593750,2
0.380000,345.901611,6455.441406,2
0.390000,345.866547,6397.289551,2
0.400000,345.865845,6339.137207,2
0.410000,345.737091,6280.985352,2
0.420000,345.716705,6222.833008,2
0.430000,345.610870,6164.681152,2
0.440000,345.584381,6106.528809,2
0.450000,345.539337,6048.376953,2
0.460000,345.457794,5990.225098,2
0.470000,345.391266,5932.072754,2
0.480000,345.349426,5873.920898,2
0.490000,345.255737,5815.768555,2
0.500000,345.221405,5757.616699,2
0.510000,345.161682,5699.464355,2
0.520000,345.054016,5641.312500,2
0.530000,344.992889,5583.160156,2
0.540000,344.921722,5525.008301,2
0.550000,344.863403,5466.855957,2
0.560000,344.752899,5408.704102,2
0.570000,344.701416,5350.551758,2
0.580000,344.627380,5292.399902,2
0.590000,344.556580,5234.247559,2
0.600000,343.512665,6978.810547,3
0.610000,343.426117,6978.810547,3
0.620000,343.313812,6978.810547,3
0.630000,343.191498,6978.810547,3
0.640000,343.057037,6978.810547,3
0.650000,342.953674,6978.810547,3
0.660000,342.821350,6978.810547,3
0.670000,342.729095,6978.810547,3
0.680000,342.602478,6978.810547,3
0.690000,342.490906,6978.810547,3
0.700000,342.393646,6978.810547,3
0.710000,342.255951,6978.810547,3
0.720000,342.148651,6978.810547,3
0.730000,342.054596,6978.810547,3
0.740000,341.940521,6978.810547,3
0.750000,341.833954,6978.810547,3
0.760000,341.720215,6978.810547,3
0.770000,341.607574,6978.810547,3
0.780000,341.507446,6978.810547,3
0.790000,341.400848,6978.810547,3
0.800000,341.309662,6978.810547,3
0.810000,341.173065,6978.810547,3
0.820000,341.070404,6978.810547,3
0.830000,340.974213,6978.810547,3
0.839999,340.850830,6978.810547,3
0.849999,340.736023,6978.810547,3
0.859999,340.638763,6978.810547,3
0.869999,340.532532,6978.810547,3
0.879999,340.415955,6978.810547,3
0.889999,340.297211,6978.810547,3
