flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809093931_649,09:39:31,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,336.641907,284.991852,0.153427,1230.084106

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,309.847717,6978.810547,1
0.010000,328.939667,6978.810547,1
0.020000,333.627472,6978.810547,1
0.030000,335.615509,6978.810547,1
0.040000,336.386200,6978.810547,1
0.050000,336.628326,6978.810547,1
0.060000,336.641907,6978.810547,1
0.070000,336.577545,6978.810547,1
0.080000,336.533203,6978.810547,1
0.090000,336.474182,6978.810547,1
0.100000,336.463806,6978.810547,1
0.110000,336.410889,6978.810547,1
0.120000,336.385498,6978.810547,1
0.130000,336.374390,6978.810547,1
0.140000,336.349365,6978.810547,1
0.150000,336.326477,6978.810547,1
0.160000,336.276398,6978.810547,1
0.170000,336.290009,6978.810547,1
0.180000,336.260315,6978.810547,1
0.190000,336.245300,6978.810547,1
0.200000,336.262817,6978.810547,1
0.210000,336.207031,6978.810547,1
0.220000,336.200958,6978.810547,1
0.230000,336.175903,6978.810547,1
0.240000,336.132996,6978.810547,1
0.250000,336.142303,6978.810547,1
0.260000,336.139801,6978.810547,1
0.270000,336.112976,6978.810547,1
0.280000,336.107605,6978.810547,1
0.290000,336.111542,6978.810547,1
0.300000,336.114410,6920.658203,2
0.310000,336.121552,6862.506348,2
0.320000,336.112274,6804.354004,2
0.330000,336.127991,6746.202148,2
0.340000,336.125488,6688.049805,2
0.350000,336.139069,6629.897949,2
0.360000,336.126556,6571.745605,2
0.370000,336.151611,6513.593750,2
0.380000,336.143005,6455.441406,2
0.390000,336.166626,6397.289551,2
0.400000,336.200226,6339.137207,2
0.410000,336.185577,6280.985352,2
0.420000,336.234558,6222.833008,2
0.430000,336.269257,6164.681152,2
0.440000,336.278564,6106.528809,2
0.450000,336.295715,6048.376953,2
0.460000,336.300720,5990.225098,2
0.470000,336.301453,5932.072754,2
0.480000,336.283203,5873.920898,2
0.490000,336.271057,5815.768555,2
0.500000,336.285339,5757.616699,2
0.510000,336.247437,5699.464355,2
0.520000,336.236359,5641.312500,2
0.530000,336.224915,5583.160156,2
0.540000,336.204895,5525.008301,2
0.550000,336.189148,5466.855957,2
0.560000,336.171631,5408.704102,2
0.570000,336.147675,5350.551758,2
0.580000,336.109772,5292.399902,2
0.590000,336.060394,5234.247559,2
0.600000,335.898407,6978.810547,3
0.610000,335.996033,6978.810547,3
0.620000,336.028931,6978.810547,3
0.630000,336.030731,6978.810547,3
0.640000,335.976715,6978.810547,3
0.650000,335.983154,6978.810547,3
0.660000,335.951324,6978.810547,3
0.670000,335.910187,6978.810547,3
0.680000,335.903046,6978.810547,3
0.690000,335.875519,6978.810547,3
0.700000,335.860138,6978.810547,3
0.710000,335.823303,6978.810547,3
0.720000,335.821167,6978.810547,3
0.730000,335.793243,6978.810547,3
0.740000,335.782532,6978.810547,3
0.750000,335.767517,6978.810547,3
0.760000,335.754272,6978.810547,3
0.770000,335.732117,6978.810547,3
0.780000,335.727081,6978.810547,3
0.790000,335.712799,6978.810547,3
0.800000,335.707062,6978.810547,3
0.810000,335.678802,6978.810547,3
0.820000,335.675232,6978.810547,3
0.830000,335.671295,6978.810547,3
0.839999,335.644836,6978.810547,3
0.849999,335.656281,6978.810547,3
0.859999,335.645905,6978.810547,3
0.869999,335.646637,6978.810547,3
0.879999,335.633392,6978.810547,3
0.889999,335.641632,6978.810547,3
