flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809102347_d63,10:23:47,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,113.041092,102.682114,0.091639,1855.511108

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,107.514023,6978.810547,1
0.010000,110.670090,6978.810547,1
0.020000,111.367104,6978.810547,1
0.030000,111.703995,6978.810547,1
0.040000,111.865639,6978.810547,1
0.050000,111.957909,6978.810547,1
0.060000,111.998680,6978.810547,1
0.070000,112.027649,6978.810547,1
0.080000,112.068413,6978.810547,1
0.090000,112.086296,6978.810547,1
0.100000,112.099167,6978.810547,1
0.110000,112.097740,6978.810547,1
0.120000,112.108109,6978.810547,1
0.130000,112.111328,6978.810547,1
0.140000,112.125633,6978.810547,1
0.150000,112.135651,6978.810547,1
0.160000,112.115623,6978.810547,1
0.170000,112.123489,6978.810547,1
0.180000,112.122414,6978.810547,1
0.190000,112.132431,6978.810547,1
0.200000,112.142441,6978.810547,1
0.210000,112.149239,6978.810547,1
0.220000,112.133148,6978.810547,1
0.230000,112.149956,6978.810547,1
0.240000,112.133499,6978.810547,1
0.250000,112.139580,6978.810547,1
0.260000,112.139221,6978.810547,1
0.270000,112.148163,6978.810547,1
0.280000,112.149239,6978.810547,1
0.290000,112.139221,6978.810547,1
0.300000,112.141731,6920.658203,2
0.310000,112.142090,6862.506348,2
0.320000,112.136368,6804.354004,2
0.330000,112.133148,6746.202148,2
0.340000,112.121704,6688.049805,2
0.350000,112.121704,6629.897949,2
0.360000,112.115982,6571.745605,2
0.370000,112.104538,6513.593750,2
0.380000,112.114189,6455.441406,2
0.390000,112.106682,6397.289551,2
0.400000,112.091301,6339.137207,2
0.410000,112.073067,6280.985352,2
0.420000,112.071632,6222.833008,2
0.430000,112.061981,6164.681152,2
0.440000,112.049461,6106.528809,2
0.450000,112.050537,6048.376953,2
0.460000,112.028358,5990.225098,2
0.470000,112.010124,5932.072754,2
0.480000,112.007263,5873.920898,2
0.490000,111.992958,5815.768555,2
0.500000,112.001541,5757.616699,2
0.510000,111.977936,5699.464355,2
0.520000,111.960052,5641.312500,2
0.530000,111.956116,5583.160156,2
0.540000,111.934662,5525.008301,2
0.550000,111.924294,5466.855957,2
0.560000,111.904617,5408.704102,2
0.570000,111.898186,5350.551758,2
0.580000,111.884598,5292.399902,2
0.590000,111.869576,5234.247559,2
0.600000,112.030861,6978.810547,3
0.610000,112.105965,6978.810547,3
0.620000,112.133148,6978.810547,3
0.630000,112.150314,6978.810547,3
0.640000,112.163185,6978.810547,3
0.650000,112.166763,6978.810547,3
0.660000,112.157463,6978.810547,3
0.670000,112.166405,6978.810547,3
0.680000,112.170700,6978.810547,3
0.690000,112.162827,6978.810547,3
0.700000,112.177849,6978.810547,3
0.710000,112.164619,6978.810547,3
0.720000,112.172844,6978.810547,3
0.730000,112.183571,6978.810547,3
0.740000,112.166763,6978.810547,3
0.750000,112.177490,6978.810547,3
0.760000,112.169624,6978.810547,3
0.770000,112.182144,6978.810547,3
0.780000,112.169624,6978.810547,3
0.790000,112.177132,6978.810547,3
0.800000,112.185715,6978.810547,3
0.810000,112.187508,6978.810547,3
0.820000,112.182854,6978.810547,3
0.830000,112.194298,6978.810547,3
0.839999,112.192513,6978.810547,3
0.849999,112.191795,6978.810547,3
0.859999,112.183571,6978.810547,3
0.869999,112.188576,6978.810547,3
0.879999,112.194298,6978.810547,3
0.889999,112.190720,6978.810547,3
