flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809102438_fb4,10:24:38,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,371.522034,144.508118,0.611038,105.332420

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,254.072067,6978.810547,1
0.010000,327.280640,6978.810547,1
0.020000,345.711700,6978.810547,1
0.030000,352.435822,6978.810547,1
0.040000,354.871979,6978.810547,1
0.050000,355.802887,6978.810547,1
0.060000,356.196289,6978.810547,1
0.070000,356.416931,6978.810547,1
0.080000,356.573944,6978.810547,1
0.090000,356.647247,6978.810547,1
0.100000,356.694458,6978.810547,1
0.110000,356.678009,6978.810547,1
0.120000,356.676941,6978.810547,1
0.130000,356.650818,6978.810547,1
0.140000,356.584320,6978.810547,1
0.150000,356.503143,6978.810547,1
0.160000,356.473083,6978.810547,1
0.170000,356.435547,6978.810547,1
0.180000,356.382965,6978.810547,1
0.190000,356.316437,6978.810547,1
0.200000,356.282104,6978.810547,1
0.210000,356.189484,6978.810547,1
0.220000,356.117950,6978.810547,1
0.230000,356.037140,6978.810547,1
0.240000,355.970978,6978.810547,1
0.250000,355.918396,6978.810547,1
0.260000,355.875854,6978.810547,1
0.270000,355.811127,6978.810547,1
0.280000,355.747833,6978.810547,1
0.290000,355.667358,6978.810547,1
0.300000,355.615509,6920.658203,2
0.310000,355.476013,6862.506348,2
0.320000,355.400574,6804.354004,2
0.330000,355.258575,6746.202148,2
0.340000,355.177399,6688.049805,2
0.350000,355.035767,6629.897949,2
0.360000,354.929199,6571.745605,2
0.370000,354.766479,6513.593750,2
0.380000,354.665985,6455.441406,2
0.390000,354.489319,6397.289551,2
0.400000,354.310150,6339.137207,2
0.410000,354.168549,6280.985352,2
0.420000,354.007965,6222.833008,2
0.430000,353.875275,6164.681152,2
0.440000,353.671783,6106.528809,2
0.450000,353.461517,6048.376953,2
0.460000,353.321320,5990.225098,2
0.470000,353.115326,5932.072754,2
0.480000,352.912537,5873.920898,2
0.490000,352.804199,5815.768555,2
0.500000,352.633942,5757.616699,2
0.510000,352.398285,5699.464355,2
0.520000,352.236267,5641.312500,2
0.530000,351.984497,5583.160156,2
0.540000,351.709137,5525.008301,2
0.550000,351.451263,5466.855957,2
0.560000,351.293579,5408.704102,2
0.570000,351.066833,5350.551758,2
0.580000,350.821136,5292.399902,2
0.590000,350.517883,5234.247559,2
0.600000,352.053528,6978.810547,3
0.610000,352.342499,6978.810547,3
0.620000,352.319611,6978.810547,3
0.630000,352.208740,6978.810547,3
0.640000,352.077850,6978.810547,3
0.650000,351.944092,6978.810547,3
0.660000,351.811066,6978.810547,3
0.670000,351.655121,6978.810547,3
0.680000,351.528870,6978.810547,3
0.690000,351.375824,6978.810547,3
0.700000,351.212372,6978.810547,3
0.710000,351.038208,6978.810547,3
0.720000,350.864044,6978.810547,3
0.730000,350.691315,6978.810547,3
0.740000,350.501404,6978.810547,3
0.750000,350.337280,6978.810547,3
0.760000,350.182404,6978.810547,3
0.770000,350.021851,6978.810547,3
0.780000,349.858765,6978.810547,3
0.790000,349.670654,6978.810547,3
0.800000,349.512939,6978.810547,3
0.810000,349.309082,6978.810547,3
0.820000,349.125977,6978.810547,3
0.830000,348.923218,6978.810547,3
0.839999,348.722229,6978.810547,3
0.849999,348.506561,6978.810547,3
0.859999,348.276245,6978.810547,3
0.869999,348.079926,6978.810547,3
0.879999,347.870697,6978.810547,3
0.889999,347.685822,6978.810547,3
