flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809104433_f5c,10:44:33,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,617.956665,208.912613,0.661930,21.033566

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,444.452057,6978.810547,1
0.010000,564.248108,6978.810547,1
0.020000,582.954529,6978.810547,1
0.030000,589.930054,6978.810547,1
0.040000,593.100403,6978.810547,1
0.050000,594.702576,6978.810547,1
0.060000,595.648193,6978.810547,1
0.070000,596.270813,6978.810547,1
0.080000,596.768982,6978.810547,1
0.090000,597.172363,6978.810547,1
0.100000,597.540039,6978.810547,1
0.110000,597.826477,6978.810547,1
0.120000,598.118652,6978.810547,1
0.130000,598.352539,6978.810547,1
0.140000,598.572876,6978.810547,1
0.150000,598.785645,6978.810547,1
0.160000,598.991272,6978.810547,1
0.170000,599.141846,6978.810547,1
0.180000,599.292053,6978.810547,1
0.190000,599.438293,6978.810547,1
0.200000,599.533081,6978.810547,1
0.210000,599.583862,6978.810547,1
0.220000,599.678650,6978.810547,1
0.230000,599.739807,6978.810547,1
0.240000,599.793457,6978.810547,1
0.250000,599.825256,6978.810547,1
0.260000,599.853882,6978.810547,1
0.270000,599.820618,6978.810547,1
0.280000,599.804871,6978.810547,1
0.290000,599.763062,6978.810547,1
0.300000,599.744080,6920.658203,2
0.310000,599.780945,6862.506348,2
0.320000,599.658936,6804.354004,2
0.330000,599.682922,6746.202148,2
0.340000,599.549194,6688.049805,2
0.350000,599.508789,6629.897949,2
0.360000,599.337830,6571.745605,2
0.370000,599.274170,6513.593750,2
0.380000,599.040283,6455.441406,2
0.390000,598.924744,6397.289551,2
0.400000,598.815308,6339.137207,2
0.410000,598.515991,6280.985352,2
0.420000,598.377563,6222.833008,2
0.430000,598.128296,6164.681152,2
0.440000,597.940186,6106.528809,2
0.450000,597.730286,6048.376953,2
0.460000,597.435974,5990.225098,2
0.470000,597.231018,5932.072754,2
0.480000,596.997864,5873.920898,2
0.490000,596.741455,5815.768555,2
0.500000,596.544006,5757.616699,2
0.510000,596.282593,5699.464355,2
0.520000,595.995422,5641.312500,2
0.530000,595.802307,5583.160156,2
0.540000,595.605957,5525.008301,2
0.550000,595.395325,5466.855957,2
0.560000,595.151428,5408.704102,2
0.570000,594.960815,5350.551758,2
0.580000,594.746948,5292.399902,2
0.590000,594.557739,5234.247559,2
0.600000,593.218445,6978.810547,3
0.610000,593.189819,6978.810547,3
0.620000,593.032837,6978.810547,3
0.630000,592.891602,6978.810547,3
0.640000,592.708130,6978.810547,3
0.650000,592.542908,6978.810547,3
0.660000,592.400879,6978.810547,3
0.670000,592.244995,6978.810547,3
0.680000,592.081543,6978.810547,3
0.690000,591.932068,6978.810547,3
0.700000,591.823669,6978.810547,3
0.710000,591.653137,6978.810547,3
0.720000,591.519348,6978.810547,3
0.730000,591.377014,6978.810547,3
0.740000,591.242554,6978.810547,3
0.750000,591.086243,6978.810547,3
0.760000,590.956787,6978.810547,3
0.770000,590.815186,6978.810547,3
0.780000,590.650330,6978.810547,3
0.790000,590.509399,6978.810547,3
0.800000,590.411804,6978.810547,3
0.810000,590.231201,6978.810547,3
0.820000,590.097046,6978.810547,3
0.830000,589.953674,6978.810547,3
0.839999,589.821350,6978.810547,3
0.849999,589.672180,6978.810547,3
0.859999,589.510193,6978.810547,3
0.869999,589.389343,6978.810547,3
0.879999,589.246277,6978.810547,3
0.889999,589.092163,6978.810547,3
