flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809113207_7fc,11:32:07,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,478.089447,113.661285,0.762259,29.010878

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,289.577728,6978.810547,1
0.010000,425.134766,6978.810547,1
0.020000,453.339111,6978.810547,1
0.030000,462.013367,6978.810547,1
0.040000,466.390717,6978.810547,1
0.050000,469.177734,6978.810547,1
0.060000,471.083893,6978.810547,1
0.070000,472.426056,6978.810547,1
0.080000,473.403442,6978.810547,1
0.090000,474.131592,6978.810547,1
0.100000,474.703430,6978.810547,1
0.110000,475.066772,6978.810547,1
0.120000,475.354309,6978.810547,1
0.130000,475.584625,6978.810547,1
0.140000,475.742706,6978.810547,1
0.150000,475.864288,6978.810547,1
0.160000,475.952271,6978.810547,1
0.170000,476.010925,6978.810547,1
0.180000,476.055634,6978.810547,1
0.190000,476.091370,6978.810547,1
0.200000,476.126434,6978.810547,1
0.210000,476.112122,6978.810547,1
0.220000,476.128571,6978.810547,1
0.230000,476.100677,6978.810547,1
0.240000,476.098175,6978.810547,1
0.250000,476.096039,6978.810547,1
0.260000,476.086731,6978.810547,1
0.270000,476.091370,6978.810547,1
0.280000,476.059570,6978.810547,1
0.290000,476.022369,6978.810547,1
0.300000,476.010925,6920.658203,2
0.310000,476.008423,6862.506348,2
0.320000,475.969788,6804.354004,2
0.330000,475.983032,6746.202148,2
0.340000,475.950470,6688.049805,2
0.350000,475.955475,6629.897949,2
0.360000,475.917572,6571.745605,2
0.370000,475.887543,6513.593750,2
0.380000,475.846405,6455.441406,2
0.390000,475.785614,6397.289551,2
0.400000,475.798126,6339.137207,2
0.410000,475.744843,6280.985352,2
0.420000,475.730194,6222.833008,2
0.430000,475.707306,6164.681152,2
0.440000,475.679382,6106.528809,2
0.450000,475.640778,6048.376953,2
0.460000,475.633270,5990.225098,2
0.470000,475.610016,5932.072754,2
0.480000,475.602875,5873.920898,2
0.490000,475.587830,5815.768555,2
0.500000,475.606812,5757.616699,2
0.510000,475.563171,5699.464355,2
0.520000,475.565674,5641.312500,2
0.530000,475.532410,5583.160156,2
0.540000,475.454102,5525.008301,2
0.550000,475.412964,5466.855957,2
0.560000,475.420471,5408.704102,2
0.570000,475.417969,5350.551758,2
0.580000,475.386139,5292.399902,2
0.590000,475.333221,5234.247559,2
0.600000,475.686188,6978.810547,3
0.610000,475.968353,6978.810547,3
0.620000,475.972290,6978.810547,3
0.630000,475.969788,6978.810547,3
0.640000,475.990173,6978.810547,3
0.650000,475.989807,6978.810547,3
0.660000,476.046692,6978.810547,3
0.670000,476.086365,6978.810547,3
0.680000,476.127869,6978.810547,3
0.690000,476.169708,6978.810547,3
0.700000,476.188660,6978.810547,3
0.710000,476.178650,6978.810547,3
0.720000,476.210114,6978.810547,3
0.730000,476.244446,6978.810547,3
0.740000,476.271637,6978.810547,3
0.750000,476.310974,6978.810547,3
0.760000,476.335297,6978.810547,3
0.770000,476.374268,6978.810547,3
0.780000,476.435425,6978.810547,3
0.790000,476.489777,6978.810547,3
0.800000,476.565948,6978.810547,3
0.810000,476.603516,6978.810547,3
0.820000,476.628174,6978.810547,3
0.830000,476.667877,6978.810547,3
0.839999,476.736908,6978.810547,3
0.849999,476.736176,6978.810547,3
0.859999,476.763367,6978.810547,3
0.869999,476.787323,6978.810547,3
0.879999,476.831665,6978.810547,3
0.889999,476.906067,6978.810547,3
