flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809113600_3df,11:36:00,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,168.618729,152.173157,0.097531,1903.882935

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,159.107559,6978.810547,1
0.010000,164.847137,6978.810547,1
0.020000,166.405670,6978.810547,1
0.030000,167.075516,6978.810547,1
0.040000,167.349106,6978.810547,1
0.050000,167.488571,6978.810547,1
0.060000,167.571899,6978.810547,1
0.070000,167.616241,6978.810547,1
0.080000,167.645935,6978.810547,1
0.090000,167.663452,6978.810547,1
0.100000,167.715317,6978.810547,1
0.110000,167.713165,6978.810547,1
0.120000,167.745346,6978.810547,1
0.130000,167.745712,6978.810547,1
0.140000,167.744629,6978.810547,1
0.150000,167.775391,6978.810547,1
0.160000,167.781830,6978.810547,1
0.170000,167.791489,6978.810547,1
0.180000,167.810089,6978.810547,1
0.190000,167.822235,6978.810547,1
0.200000,167.840485,6978.810547,1
0.210000,167.834045,6978.810547,1
0.220000,167.855499,6978.810547,1
0.230000,167.845123,6978.810547,1
0.240000,167.854782,6978.810547,1
0.250000,167.854431,6978.810547,1
0.260000,167.845490,6978.810547,1
0.270000,167.857285,6978.810547,1
0.280000,167.895203,6978.810547,1
0.290000,167.913086,6978.810547,1
0.300000,167.900208,6920.658203,2
0.310000,167.918442,6862.506348,2
0.320000,167.920944,6804.354004,2
0.330000,167.925232,6746.202148,2
0.340000,167.934891,6688.049805,2
0.350000,167.927734,6629.897949,2
0.360000,167.938828,6571.745605,2
0.370000,167.926666,6513.593750,2
0.380000,167.920227,6455.441406,2
0.390000,167.913086,6397.289551,2
0.400000,167.909500,6339.137207,2
0.410000,167.889832,6280.985352,2
0.420000,167.903427,6222.833008,2
0.430000,167.899841,6164.681152,2
0.440000,167.900925,6106.528809,2
0.450000,167.897705,6048.376953,2
0.460000,167.879456,5990.225098,2
0.470000,167.887329,5932.072754,2
0.480000,167.870880,5873.920898,2
0.490000,167.852280,5815.768555,2
0.500000,167.858719,5757.616699,2
0.510000,167.838333,5699.464355,2
0.520000,167.816162,5641.312500,2
0.530000,167.810791,5583.160156,2
0.540000,167.796143,5525.008301,2
0.550000,167.777542,5466.855957,2
0.560000,167.770737,5408.704102,2
0.570000,167.740707,5350.551758,2
0.580000,167.728180,5292.399902,2
0.590000,167.679550,5234.247559,2
0.600000,168.008560,6978.810547,3
0.610000,168.170578,6978.810547,3
0.620000,168.228867,6978.810547,3
0.630000,168.248535,6978.810547,3
0.640000,168.260696,6978.810547,3
0.650000,168.266769,6978.810547,3
0.660000,168.272491,6978.810547,3
0.670000,168.296097,6978.810547,3
0.680000,168.306473,6978.810547,3
0.690000,168.318634,6978.810547,3
0.700000,168.330429,6978.810547,3
0.710000,168.364410,6978.810547,3
0.720000,168.368698,6978.810547,3
0.730000,168.390869,6978.810547,3
0.740000,168.406250,6978.810547,3
0.750000,168.423050,6978.810547,3
0.760000,168.449158,6978.810547,3
0.770000,168.460602,6978.810547,3
0.780000,168.482071,6978.810547,3
0.790000,168.494934,6978.810547,3
0.800000,168.542862,6978.810547,3
0.810000,168.548233,6978.810547,3
0.820000,168.560745,6978.810547,3
0.830000,168.585785,6978.810547,3
0.839999,168.589706,6978.810547,3
0.849999,168.597931,6978.810547,3
0.859999,168.619751,6978.810547,3
0.869999,168.639069,6978.810547,3
0.879999,168.665894,6978.810547,3
0.889999,168.677689,6978.810547,3
