flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809124040_9f9,12:40:40,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,93.631462,80.783485,0.137219,1992.915649

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,85.163353,6978.810547,1
0.010000,88.950989,6978.810547,1
0.020000,89.897278,6978.810547,1
0.030000,90.242027,6978.810547,1
0.040000,90.371849,6978.810547,1
0.050000,90.417267,6978.810547,1
0.060000,90.423706,6978.810547,1
0.070000,90.438011,6978.810547,1
0.080000,90.453384,6978.810547,1
0.090000,90.436935,6978.810547,1
0.100000,90.427635,6978.810547,1
0.110000,90.412262,6978.810547,1
0.120000,90.407249,6978.810547,1
0.130000,90.384720,6978.810547,1
0.140000,90.378998,6978.810547,1
0.150000,90.377571,6978.810547,1
0.160000,90.353607,6978.810547,1
0.170000,90.338585,6978.810547,1
0.180000,90.327499,6978.810547,1
0.190000,90.308189,6978.810547,1
0.200000,90.291023,6978.810547,1
0.210000,90.288521,6978.810547,1
0.220000,90.272781,6978.810547,1
0.230000,90.260269,6978.810547,1
0.240000,90.249542,6978.810547,1
0.250000,90.228439,6978.810547,1
0.260000,90.200188,6978.810547,1
0.270000,90.201614,6978.810547,1
0.280000,90.184448,6978.810547,1
0.290000,90.186241,6978.810547,1
0.300000,90.173363,6920.658203,2
0.310000,90.131882,6862.506348,2
0.320000,90.119720,6804.354004,2
0.330000,90.099693,6746.202148,2
0.340000,90.053917,6688.049805,2
0.350000,90.008141,6629.897949,2
0.360000,89.982391,6571.745605,2
0.370000,89.946983,6513.593750,2
0.380000,89.918732,6455.441406,2
0.390000,89.883331,6397.289551,2
0.400000,89.827179,6339.137207,2
0.410000,89.794632,6280.985352,2
0.420000,89.754578,6222.833008,2
0.430000,89.727402,6164.681152,2
0.440000,89.678406,6106.528809,2
0.450000,89.636566,6048.376953,2
0.460000,89.607597,5990.225098,2
0.470000,89.574341,5932.072754,2
0.480000,89.526772,5873.920898,2
0.490000,89.501022,5815.768555,2
0.500000,89.469193,5757.616699,2
0.510000,89.400169,5699.464355,2
0.520000,89.369774,5641.312500,2
0.530000,89.341881,5583.160156,2
0.540000,89.288948,5525.008301,2
0.550000,89.238525,5466.855957,2
0.560000,89.209198,5408.704102,2
0.570000,89.152695,5350.551758,2
0.580000,89.113358,5292.399902,2
0.590000,89.050415,5234.247559,2
0.600000,89.430214,6978.810547,3
0.610000,89.541077,6978.810547,3
0.620000,89.566826,6978.810547,3
0.630000,89.550377,6978.810547,3
0.640000,89.529991,6978.810547,3
0.650000,89.523193,6978.810547,3
0.660000,89.506386,6978.810547,3
0.670000,89.483139,6978.810547,3
0.680000,89.460609,6978.810547,3
0.690000,89.450241,6978.810547,3
0.700000,89.449883,6978.810547,3
0.710000,89.424492,6978.810547,3
0.720000,89.399811,6978.810547,3
0.730000,89.397308,6978.810547,3
0.740000,89.372993,6978.810547,3
0.750000,89.361908,6978.810547,3
0.760000,89.346527,6978.810547,3
0.770000,89.326500,6978.810547,3
0.780000,89.308258,6978.810547,3
0.790000,89.298965,6978.810547,3
0.800000,89.294670,6978.810547,3
0.810000,89.266418,6978.810547,3
0.820000,89.249252,6978.810547,3
0.830000,89.237091,6978.810547,3
0.839999,89.229942,6978.810547,3
0.849999,89.194534,6978.810547,3
0.859999,89.189888,6978.810547,3
0.869999,89.168785,6978.810547,3
0.879999,89.151260,6978.810547,3
0.889999,89.150192,6978.810547,3
