flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240809143527_8a0,14:35:27,2024-08-09,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,455.395905,119.643692,0.737275,186.182281

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,258.713379,6978.810547,1
0.010000,380.242096,6978.810547,1
0.020000,406.836761,6978.810547,1
0.030000,414.608002,6978.810547,1
0.040000,417.860992,6978.810547,1
0.050000,419.672363,6978.810547,1
0.060000,420.860779,6978.810547,1
0.070000,421.716217,6978.810547,1
0.080000,422.377472,6978.810547,1
0.090000,422.932495,6978.810547,1
0.100000,423.438904,6978.810547,1
0.110000,423.865570,6978.810547,1
0.120000,424.287201,6978.810547,1
0.130000,424.705261,6978.810547,1
0.140000,425.116882,6978.810547,1
0.150000,425.513855,6978.810547,1
0.160000,425.911896,6978.810547,1
0.170000,426.273102,6978.810547,1
0.180000,426.618225,6978.810547,1
0.190000,426.980865,6978.810547,1
0.200000,427.326691,6978.810547,1
0.210000,427.614929,6978.810547,1
0.220000,427.903534,6978.810547,1
0.230000,428.160675,6978.810547,1
0.240000,428.385620,6978.810547,1
0.250000,428.609131,6978.810547,1
0.260000,428.815857,6978.810547,1
0.270000,429.000732,6978.810547,1
0.280000,429.145203,6978.810547,1
0.290000,429.285034,6978.810547,1
0.300000,429.408081,6920.658203,2
0.310000,429.312225,6862.506348,2
0.320000,429.334412,6804.354004,2
0.330000,429.228912,6746.202148,2
0.340000,429.228912,6688.049805,2
0.350000,429.079407,6629.897949,2
0.360000,429.023987,6571.745605,2
0.370000,428.818359,6513.593750,2
0.380000,428.745758,6455.441406,2
0.390000,428.503265,6397.289551,2
0.400000,428.223267,6339.137207,2
0.410000,428.103088,6280.985352,2
0.420000,427.809845,6222.833008,2
0.430000,427.676453,6164.681152,2
0.440000,427.361023,6106.528809,2
0.450000,427.005524,6048.376953,2
0.460000,426.824219,5990.225098,2
0.470000,426.460876,5932.072754,2
0.480000,426.049225,5873.920898,2
0.490000,425.861847,5815.768555,2
0.500000,425.485962,5757.616699,2
0.510000,425.003174,5699.464355,2
0.520000,424.743164,5641.312500,2
0.530000,424.315796,5583.160156,2
0.540000,423.834808,5525.008301,2
0.550000,423.307312,5466.855957,2
0.560000,423.036560,5408.704102,2
0.570000,422.564850,5350.551758,2
0.580000,422.038422,5292.399902,2
0.590000,421.458008,5234.247559,2
0.600000,425.299988,6978.810547,3
0.610000,425.951599,6978.810547,3
0.620000,425.845032,6978.810547,3
0.630000,425.559631,6978.810547,3
0.640000,425.276031,6978.810547,3
0.650000,425.033936,6978.810547,3
0.660000,424.754608,6978.810547,3
0.670000,424.462433,6978.810547,3
0.680000,424.153809,6978.810547,3
0.690000,423.853394,6978.810547,3
0.700000,423.566223,6978.810547,3
0.710000,423.237213,6978.810547,3
0.720000,422.904602,6978.810547,3
0.730000,422.559143,6978.810547,3
0.740000,422.221893,6978.810547,3
0.750000,421.858917,6978.810547,3
0.760000,421.504150,6978.810547,3
0.770000,421.139374,6978.810547,3
0.780000,420.753845,6978.810547,3
0.790000,420.374756,6978.810547,3
0.800000,420.031067,6978.810547,3
0.810000,419.629089,6978.810547,3
0.820000,419.261810,6978.810547,3
0.830000,418.858063,6978.810547,3
0.839999,418.491119,6978.810547,3
0.849999,418.073761,6978.810547,3
0.859999,417.668213,6978.810547,3
0.869999,417.250885,6978.810547,3
0.879999,416.864990,6978.810547,3
0.889999,416.443359,6978.810547,3
