flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240926105940_bec,10:59:40,2024-09-26,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,587.310913,146.495819,0.750565,20.620886

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,356.882935,6978.810547,1
0.010000,498.312958,6978.810547,1
0.020000,534.579285,6978.810547,1
0.030000,551.108826,6978.810547,1
0.040000,559.773071,6978.810547,1
0.050000,565.017700,6978.810547,1
0.060000,568.740601,6978.810547,1
0.070000,571.622742,6978.810547,1
0.080000,574.003479,6978.810547,1
0.090000,575.937134,6978.810547,1
0.100000,577.563293,6978.810547,1
0.110000,578.877197,6978.810547,1
0.120000,579.995483,6978.810547,1
0.130000,580.916077,6978.810547,1
0.140000,581.683167,6978.810547,1
0.150000,582.341919,6978.810547,1
0.160000,582.847229,6978.810547,1
0.170000,583.291382,6978.810547,1
0.180000,583.646545,6978.810547,1
0.190000,583.928345,6978.810547,1
0.200000,584.217285,6978.810547,1
0.210000,584.357849,6978.810547,1
0.220000,584.522339,6978.810547,1
0.230000,584.633606,6978.810547,1
0.240000,584.720520,6978.810547,1
0.250000,584.793823,6978.810547,1
0.260000,584.838135,6978.810547,1
0.270000,584.880005,6978.810547,1
0.280000,584.889282,6978.810547,1
0.290000,584.862488,6978.810547,1
0.300000,584.882874,6920.658203,2
0.310000,585.002319,6862.506348,2
0.320000,584.983704,6804.354004,2
0.330000,585.096008,6746.202148,2
0.340000,585.044861,6688.049805,2
0.350000,585.149292,6629.897949,2
0.360000,585.088867,6571.745605,2
0.370000,585.158936,6513.593750,2
0.380000,585.080994,6455.441406,2
0.390000,585.121033,6397.289551,2
0.400000,585.198303,6339.137207,2
0.410000,585.119263,6280.985352,2
0.420000,585.169678,6222.833008,2
0.430000,585.067383,6164.681152,2
0.440000,585.094910,6106.528809,2
0.450000,585.097412,6048.376953,2
0.460000,585.015869,5990.225098,2
0.470000,585.000488,5932.072754,2
0.480000,584.994446,5873.920898,2
0.490000,584.886414,5815.768555,2
0.500000,584.941528,5757.616699,2
0.510000,584.875000,5699.464355,2
0.520000,584.770935,5641.312500,2
0.530000,584.733337,5583.160156,2
0.540000,584.668640,5525.008301,2
0.550000,584.616760,5466.855957,2
0.560000,584.512695,5408.704102,2
0.570000,584.461548,5350.551758,2
0.580000,584.400757,5292.399902,2
0.590000,584.329224,5234.247559,2
0.600000,582.461731,6978.810547,3
0.610000,582.498535,6978.810547,3
0.620000,582.391235,6978.810547,3
0.630000,582.254639,6978.810547,3
0.640000,582.122681,6978.810547,3
0.650000,581.998962,6978.810547,3
0.660000,581.901306,6978.810547,3
0.670000,581.796509,6978.810547,3
0.680000,581.686707,6978.810547,3
0.690000,581.564453,6978.810547,3
0.700000,581.519714,6978.810547,3
0.710000,581.393127,6978.810547,3
0.720000,581.327698,6978.810547,3
0.730000,581.261902,6978.810547,3
0.740000,581.177124,6978.810547,3
0.750000,581.098450,6978.810547,3
0.760000,581.034058,6978.810547,3
0.770000,580.979370,6978.810547,3
0.780000,580.915710,6978.810547,3
0.790000,580.851318,6978.810547,3
0.800000,580.803040,6978.810547,3
0.810000,580.728638,6978.810547,3
0.820000,580.675720,6978.810547,3
0.830000,580.595947,6978.810547,3
0.839999,580.544495,6978.810547,3
0.849999,580.476135,6978.810547,3
0.859999,580.409302,6978.810547,3
0.869999,580.346680,6978.810547,3
0.879999,580.268372,6978.810547,3
0.889999,580.205811,6978.810547,3
