flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240926110140_c9c,11:01:40,2024-09-26,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,564.087952,147.188187,0.739069,13.469361

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,369.667755,6978.810547,1
0.010000,504.486694,6978.810547,1
0.020000,527.522217,6978.810547,1
0.030000,536.363831,6978.810547,1
0.040000,541.181458,6978.810547,1
0.050000,544.461243,6978.810547,1
0.060000,547.005798,6978.810547,1
0.070000,549.043884,6978.810547,1
0.080000,550.757629,6978.810547,1
0.090000,552.094788,6978.810547,1
0.100000,553.226685,6978.810547,1
0.110000,554.081055,6978.810547,1
0.120000,554.783081,6978.810547,1
0.130000,555.327087,6978.810547,1
0.140000,555.749756,6978.810547,1
0.150000,556.080566,6978.810547,1
0.160000,556.331665,6978.810547,1
0.170000,556.507568,6978.810547,1
0.180000,556.637756,6978.810547,1
0.190000,556.727173,6978.810547,1
0.200000,556.821228,6978.810547,1
0.210000,556.821228,6978.810547,1
0.220000,556.820129,6978.810547,1
0.230000,556.795471,6978.810547,1
0.240000,556.737183,6978.810547,1
0.250000,556.715698,6978.810547,1
0.260000,556.656372,6978.810547,1
0.270000,556.560547,6978.810547,1
0.280000,556.474304,6978.810547,1
0.290000,556.379944,6978.810547,1
0.300000,556.313416,6920.658203,2
0.310000,556.313782,6862.506348,2
0.320000,556.193604,6804.354004,2
0.330000,556.216125,6746.202148,2
0.340000,556.118469,6688.049805,2
0.350000,556.112793,6629.897949,2
0.360000,555.999756,6571.745605,2
0.370000,555.975464,6513.593750,2
0.380000,555.853821,6455.441406,2
0.390000,555.804138,6397.289551,2
0.400000,555.826660,6339.137207,2
0.410000,555.666077,6280.985352,2
0.420000,555.638550,6222.833008,2
0.430000,555.502625,6164.681152,2
0.440000,555.466919,6106.528809,2
0.450000,555.386047,6048.376953,2
0.460000,555.254456,5990.225098,2
0.470000,555.192932,5932.072754,2
0.480000,555.107117,5873.920898,2
0.490000,554.974426,5815.768555,2
0.500000,554.919006,5757.616699,2
0.510000,554.809204,5699.464355,2
0.520000,554.659363,5641.312500,2
0.530000,554.592163,5583.160156,2
0.540000,554.473389,5525.008301,2
0.550000,554.367554,5466.855957,2
0.560000,554.210571,5408.704102,2
0.570000,554.130432,5350.551758,2
0.580000,554.023499,5292.399902,2
0.590000,553.926575,5234.247559,2
0.600000,552.274719,6978.810547,3
0.610000,552.140259,6978.810547,3
0.620000,551.923889,6978.810547,3
0.630000,551.718567,6978.810547,3
0.640000,551.535461,6978.810547,3
0.650000,551.362366,6978.810547,3
0.660000,551.189636,6978.810547,3
0.670000,551.043762,6978.810547,3
0.680000,550.901428,6978.810547,3
0.690000,550.745117,6978.810547,3
0.700000,550.651062,6978.810547,3
0.710000,550.506226,6978.810547,3
0.720000,550.380737,6978.810547,3
0.730000,550.259460,6978.810547,3
0.740000,550.147522,6978.810547,3
0.750000,550.047424,6978.810547,3
0.760000,549.938660,6978.810547,3
0.770000,549.850708,6978.810547,3
0.780000,549.777039,6978.810547,3
0.790000,549.672974,6978.810547,3
0.800000,549.597168,6978.810547,3
0.810000,549.505920,6978.810547,3
0.820000,549.400085,6978.810547,3
0.830000,549.318542,6978.810547,3
0.839999,549.248474,6978.810547,3
0.849999,549.168335,6978.810547,3
0.859999,549.089661,6978.810547,3
0.869999,549.013855,6978.810547,3
0.879999,548.939087,6978.810547,3
0.889999,548.861145,6978.810547,3
