flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240926134413_b0e,13:44:13,2024-09-26,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,488.205841,127.537605,0.738763,8.469599

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,306.171295,6978.810547,1
0.010000,393.556244,6978.810547,1
0.020000,404.343018,6978.810547,1
0.030000,408.387421,6978.810547,1
0.040000,412.411438,6978.810547,1
0.050000,416.999451,6978.810547,1
0.060000,421.687958,6978.810547,1
0.070000,425.947662,6978.810547,1
0.080000,429.590118,6978.810547,1
0.090000,432.549133,6978.810547,1
0.100000,434.914124,6978.810547,1
0.110000,436.638947,6978.810547,1
0.120000,437.948578,6978.810547,1
0.130000,438.889160,6978.810547,1
0.140000,439.594025,6978.810547,1
0.150000,440.099365,6978.810547,1
0.160000,440.444824,6978.810547,1
0.170000,440.676575,6978.810547,1
0.180000,440.825714,6978.810547,1
0.190000,440.903320,6978.810547,1
0.200000,440.960541,6978.810547,1
0.210000,440.919769,6978.810547,1
0.220000,440.871826,6978.810547,1
0.230000,440.789948,6978.810547,1
0.240000,440.665131,6978.810547,1
0.250000,440.526367,6978.810547,1
0.260000,440.369354,6978.810547,1
0.270000,440.182343,6978.810547,1
0.280000,439.972046,6978.810547,1
0.290000,439.765320,6978.810547,1
0.300000,439.551819,6920.658203,2
0.310000,439.325104,6862.506348,2
0.320000,439.052582,6804.354004,2
0.330000,438.811890,6746.202148,2
0.340000,438.488251,6688.049805,2
0.350000,438.199646,6629.897949,2
0.360000,437.823761,6571.745605,2
0.370000,437.481171,6513.593750,2
0.380000,437.067383,6455.441406,2
0.390000,436.705109,6397.289551,2
0.400000,436.306366,6339.137207,2
0.410000,435.817474,6280.985352,2
0.420000,435.350403,6222.833008,2
0.430000,434.842224,6164.681152,2
0.440000,434.341919,6106.528809,2
0.450000,433.786499,6048.376953,2
0.460000,433.190338,5990.225098,2
0.470000,432.583466,5932.072754,2
0.480000,431.952606,5873.920898,2
0.490000,431.333191,5815.768555,2
0.500000,430.696960,5757.616699,2
0.510000,430.001740,5699.464355,2
0.520000,429.354065,5641.312500,2
0.530000,428.656342,5583.160156,2
0.540000,427.963623,5525.008301,2
0.550000,427.289490,5466.855957,2
0.560000,426.654694,5408.704102,2
0.570000,426.037781,5350.551758,2
0.580000,425.410156,5292.399902,2
0.590000,424.812195,5234.247559,2
0.600000,424.949890,6978.810547,3
0.610000,424.722076,6978.810547,3
0.620000,424.350861,6978.810547,3
0.630000,424.010040,6978.810547,3
0.640000,423.664917,6978.810547,3
0.650000,423.334106,6978.810547,3
0.660000,423.042664,6978.810547,3
0.670000,422.787323,6978.810547,3
0.680000,422.538757,6978.810547,3
0.690000,422.321320,6978.810547,3
0.700000,422.155396,6978.810547,3
0.710000,421.948303,6978.810547,3
0.720000,421.788086,6978.810547,3
0.730000,421.648254,6978.810547,3
0.740000,421.490204,6978.810547,3
0.750000,421.361816,6978.810547,3
0.760000,421.222321,6978.810547,3
0.770000,421.111115,6978.810547,3
0.780000,421.003113,6978.810547,3
0.790000,420.899750,6978.810547,3
0.800000,420.803894,6978.810547,3
0.810000,420.715210,6978.810547,3
0.820000,420.608276,6978.810547,3
0.830000,420.530334,6978.810547,3
0.839999,420.428406,6978.810547,3
0.849999,420.343292,6978.810547,3
0.859999,420.263184,6978.810547,3
0.869999,420.209534,6978.810547,3
0.879999,420.103668,6978.810547,3
0.889999,419.999969,6978.810547,3
