flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240926134508_ba3,13:45:08,2024-09-26,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,524.041748,134.420868,0.743492,14.102964

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,326.948059,6978.810547,1
0.010000,434.585083,6978.810547,1
0.020000,451.307770,6978.810547,1
0.030000,457.034454,6978.810547,1
0.040000,460.830322,6978.810547,1
0.050000,464.309692,6978.810547,1
0.060000,467.571259,6978.810547,1
0.070000,470.502747,6978.810547,1
0.080000,473.022217,6978.810547,1
0.090000,475.096466,6978.810547,1
0.100000,476.851349,6978.810547,1
0.110000,478.162781,6978.810547,1
0.120000,479.233490,6978.810547,1
0.130000,480.075348,6978.810547,1
0.140000,480.722656,6978.810547,1
0.150000,481.226562,6978.810547,1
0.160000,481.638184,6978.810547,1
0.170000,481.912506,6978.810547,1
0.180000,482.123138,6978.810547,1
0.190000,482.257965,6978.810547,1
0.200000,482.364532,6978.810547,1
0.210000,482.355957,6978.810547,1
0.220000,482.309814,6978.810547,1
0.230000,482.246521,6978.810547,1
0.240000,482.140656,6978.810547,1
0.250000,481.994385,6978.810547,1
0.260000,481.842407,6978.810547,1
0.270000,481.648926,6978.810547,1
0.280000,481.415741,6978.810547,1
0.290000,481.178986,6978.810547,1
0.300000,480.930817,6920.658203,2
0.310000,480.672607,6862.506348,2
0.320000,480.368622,6804.354004,2
0.330000,480.093231,6746.202148,2
0.340000,479.728821,6688.049805,2
0.350000,479.414459,6629.897949,2
0.360000,479.000702,6571.745605,2
0.370000,478.618378,6513.593750,2
0.380000,478.192810,6455.441406,2
0.390000,477.761505,6397.289551,2
0.400000,477.329132,6339.137207,2
0.410000,476.797699,6280.985352,2
0.420000,476.332428,6222.833008,2
0.430000,475.840332,6164.681152,2
0.440000,475.306396,6106.528809,2
0.450000,474.807495,6048.376953,2
0.460000,474.250305,5990.225098,2
0.470000,473.706726,5932.072754,2
0.480000,473.167786,5873.920898,2
0.490000,472.639191,5815.768555,2
0.500000,472.133148,5757.616699,2
0.510000,471.593506,5699.464355,2
0.520000,471.089600,5641.312500,2
0.530000,470.590363,5583.160156,2
0.540000,470.108276,5525.008301,2
0.550000,469.607941,5466.855957,2
0.560000,469.174133,5408.704102,2
0.570000,468.755371,5350.551758,2
0.580000,468.302612,5292.399902,2
0.590000,467.859497,5234.247559,2
0.600000,467.855927,6978.810547,3
0.610000,467.844116,6978.810547,3
0.620000,467.653870,6978.810547,3
0.630000,467.395660,6978.810547,3
0.640000,467.162842,6978.810547,3
0.650000,466.948273,6978.810547,3
0.660000,466.755859,6978.810547,3
0.670000,466.561310,6978.810547,3
0.680000,466.412903,6978.810547,3
0.690000,466.249451,6978.810547,3
0.700000,466.117157,6978.810547,3
0.710000,465.968018,6978.810547,3
0.720000,465.818878,6978.810547,3
0.730000,465.707672,6978.810547,3
0.740000,465.578552,6978.810547,3
0.750000,465.471985,6978.810547,3
0.760000,465.354675,6978.810547,3
0.770000,465.256348,6978.810547,3
0.780000,465.159424,6978.810547,3
0.790000,465.067505,6978.810547,3
0.800000,464.999542,6978.810547,3
0.810000,464.881897,6978.810547,3
0.820000,464.792480,6978.810547,3
0.830000,464.695587,6978.810547,3
0.839999,464.620819,6978.810547,3
0.849999,464.529266,6978.810547,3
0.859999,464.478485,6978.810547,3
0.869999,464.371216,6978.810547,3
0.879999,464.305756,6978.810547,3
0.889999,464.226715,6978.810547,3
