,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
LightDark,Site,TreeID,Hour,Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,,,,,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
L,Garcia,G,10,1,9:40:24,9/27/24,Manual gsw+F,LI-COR Default,,001,,,0.945761,1.124333,0.513673,2.598865,1.282612,1.02354,1.768547,0.485935,10.490095,13.145285,18.125559,0.441786,7.5,PSF-00232_20240927094024_6d0,0,0,0,110.648636,457.015503,0.757889,0.5,0.8,75.902405,1,74.07,59.11,15.18,15.51,15.51,97.57,42.7,-10.2,123.9,250,3.956,9:39:30,9/27/24,0.17,1,0.002,0.004,0.031,-0.03,-0.091,0.051,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,457.015503,25,3.758091,458.364838,462.400513,-4.035675,2.498235,2.527482,0.826891,0.584103,0.404446,0.004933,0.068683,0.315801,110.648636,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094024_6d0,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,2,9:41:02,9/27/24,Manual gsw+F,LI-COR Default,,002,,,0.937567,1.01491,0.487353,2.432494,1.324547,1.052848,1.803773,0.479226,10.789839,13.574269,18.485493,0.441786,7.5,PSF-00232_20240927094102_dae,0,0,0,127.225754,479.656586,0.734757,0.5,0.8,128.233505,1,75.59,60.08,15.37,15.82,15.82,97.58,38.1,-8.5,122.4,436,3.954,9:39:30,9/27/24,0.17,1,-0.006,0.007,0.019,0.068,0.158,0.364,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,479.656586,25,3.286516,479.966644,484.365875,-4.399231,2.499552,2.529517,0.800497,0.58696,0.401439,0.006223,0.072982,0.470812,127.225754,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094102_dae,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,3,9:41:34,9/27/24,Manual gsw+F,LI-COR Default,,003,,,1.116122,0.992889,0.525452,2.570078,1.362546,1.068545,1.832014,0.469468,10.950447,13.963378,18.774487,0.441786,7.5,PSF-00232_20240927094134_64c,0,0,0,121.333481,483.533966,0.749069,0.5,0.8,7.457663,1,76.88,60.29,15.54,16.06,16.06,97.58,37.2,-12.2,132.8,25,3.952,9:39:30,9/27/24,0.17,1,-0.012,0.003,0.019,-2.691,-2.494,1.939,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,483.533966,25,2.818568,483.045471,487.572723,-4.527252,2.499798,2.531247,0.795326,0.580652,0.398598,0.006917,0.076492,0.127821,121.333481,0.000631,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094134_64c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,4,9:42:22,9/27/24,Manual gsw+F,LI-COR Default,,004,,,0.769837,0.952812,0.425803,2.497192,1.388061,1.089268,1.950455,0.562395,11.164561,14.227072,19.991394,0.441786,7.5,PSF-00232_20240927094222_2bc,0,0,0,87.433937,170.112137,0.486022,0.5,0.8,145.585571,1,76.64,60.14,15.88,17.05,17.05,97.56,35.5,-12.1,134,749,3.95,9:39:30,9/27/24,0.17,1,0.008,0.015,0.027,-0.56,-0.459,0.127,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,170.112137,25,0.300176,171.232574,170.542267,0.690308,2.499498,2.530838,0.786031,0.580893,0.393204,0.01389,0.081728,0.731376,87.433937,0.00063,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094222_2bc,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,5,9:42:53,9/27/24,Manual gsw+F,LI-COR Default,,005,,,0.922506,0.928056,0.462636,2.422983,1.401884,1.103522,1.904208,0.502323,11.310634,14.36872,19.517323,0.441786,7.5,PSF-00232_20240927094253_605,0,0,0,97.647789,386.969452,0.74766,0.5,0.8,35.804234,1,76.29,60.05,16.11,16.67,16.67,97.57,34.5,-12.4,136.1,120,3.949,9:39:30,9/27/24,0.17,1,0.003,-0.006,0.015,0.146,0.396,0.596,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,386.969452,25,1.929831,387.886749,389.734711,-1.847961,2.49931,2.530302,0.780362,0.580242,0.389626,0.007292,0.08504,0.206879,97.647789,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094253_605,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,6,9:43:36,9/27/24,Manual gsw+F,LI-COR Default,,006,,,0.913215,0.903043,0.45405,2.426953,1.435074,1.127256,1.947552,0.512478,11.553422,14.708302,19.960768,0.441786,7.5,PSF-00232_20240927094336_d78,0,0,0,99.479553,415.253174,0.760436,0.5,0.8,11.181997,1,76.57,60.14,16.42,17.02,17.02,97.57,33.5,-12.4,136.9,37,3.947,9:39:30,9/27/24,0.17,1,0.013,0.012,0.023,0.168,0.265,0.515,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,415.253174,25,2.923766,415.425171,419.442657,-4.017487,2.499353,2.53061,0.77469,0.580367,0.384795,0.00774,0.089459,0.137718,99.479553,0.000644,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094336_d78,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,7,9:44:22,9/27/24,Manual gsw+F,LI-COR Default,,007,,,0.793138,0.86591,0.413964,2.134859,1.424779,1.141335,1.919281,0.494503,11.698857,14.604201,19.672932,0.441786,7.5,PSF-00232_20240927094422_37d,0,0,0,89.320778,368.367432,0.757523,0.5,0.8,13.033551,1,74.49,59.67,16.74,16.79,16.79,97.56,32,-12.7,139.6,43,3.945,9:39:30,9/27/24,0.17,1,0,0.011,0.028,-5.868,-1.72,0.252,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,368.367432,25,3.710933,392.125,373.684875,18.440125,2.498606,2.527679,0.766369,0.579869,0.37989,0.001737,0.094019,0.14293,89.320778,0.000637,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094422_37d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,8,9:45:07,9/27/24,Manual gsw+F,LI-COR Default,,008,,,0.93623,0.835347,0.441458,1.922572,1.423471,1.158127,1.841137,0.417666,11.87384,14.594315,18.876484,0.441786,7.5,PSF-00232_20240927094507_935,0,0,0,85.484505,286.013947,0.701118,0.5,0.8,58.924145,1,72.9,59.31,17.07,16.14,16.14,97.54,30.8,-12.7,141.2,210,3.944,9:39:30,9/27/24,0.17,1,0.013,0.009,0.045,0.084,-0.015,0.078,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,284.622437,25,-0.930454,284.983978,284.680695,0.303284,2.498003,2.525394,0.759609,0.579836,0.374919,-0.008899,0.09852,0.282232,84.634781,0.00065,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094507_935,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
