flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927094222_2bc,09:42:22,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,170.112137,87.433937,0.486022,755.549438

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,132.325165,6978.810547,1
0.010000,156.676056,6978.810547,1
0.020000,163.014297,6978.810547,1
0.030000,166.103119,6978.810547,1
0.040000,167.594437,6978.810547,1
0.050000,168.337936,6978.810547,1
0.060000,168.728470,6978.810547,1
0.070000,168.989899,6978.810547,1
0.080000,169.159409,6978.810547,1
0.090000,169.274933,6978.810547,1
0.100000,169.383652,6978.810547,1
0.110000,169.440155,6978.810547,1
0.120000,169.508102,6978.810547,1
0.130000,169.561386,6978.810547,1
0.140000,169.617889,6978.810547,1
0.150000,169.666168,6978.810547,1
0.160000,169.712311,6978.810547,1
0.170000,169.744492,6978.810547,1
0.180000,169.775253,6978.810547,1
0.190000,169.809219,6978.810547,1
0.200000,169.870377,6978.810547,1
0.210000,169.875748,6978.810547,1
0.220000,169.903275,6978.810547,1
0.230000,169.941193,6978.810547,1
0.240000,169.975159,6978.810547,1
0.250000,169.998047,6978.810547,1
0.260000,170.023804,6978.810547,1
0.270000,170.045258,6978.810547,1
0.280000,170.082092,6978.810547,1
0.290000,170.112137,6978.810547,1
0.300000,170.136810,6920.658203,2
0.310000,170.145386,6862.506348,2
0.320000,170.167572,6804.354004,2
0.330000,170.184021,6746.202148,2
0.340000,170.205109,6688.049805,2
0.350000,170.200104,6629.897949,2
0.360000,170.239090,6571.745605,2
0.370000,170.245880,6513.593750,2
0.380000,170.273773,6455.441406,2
0.390000,170.258759,6397.289551,2
0.400000,170.262695,6339.137207,2
0.410000,170.282013,6280.985352,2
0.420000,170.287369,6222.833008,2
0.430000,170.296310,6164.681152,2
0.440000,170.293457,6106.528809,2
0.450000,170.299530,6048.376953,2
0.460000,170.317047,5990.225098,2
0.470000,170.309540,5932.072754,2
0.480000,170.309906,5873.920898,2
0.490000,170.326355,5815.768555,2
0.500000,170.330643,5757.616699,2
0.510000,170.327423,5699.464355,2
0.520000,170.334213,5641.312500,2
0.530000,170.324203,5583.160156,2
0.540000,170.314545,5525.008301,2
0.550000,170.291306,5466.855957,2
0.560000,170.304535,5408.704102,2
0.570000,170.305969,5350.551758,2
0.580000,170.278427,5292.399902,2
0.590000,170.274139,5234.247559,2
0.600000,170.659302,6978.810547,3
0.610000,170.759796,6978.810547,3
0.620000,170.802719,6978.810547,3
0.630000,170.832397,6978.810547,3
0.640000,170.857422,6978.810547,3
0.650000,170.867447,6978.810547,3
0.660000,170.892838,6978.810547,3
0.670000,170.918579,6978.810547,3
0.680000,170.927521,6978.810547,3
0.690000,170.943619,6978.810547,3
0.700000,170.962936,6978.810547,3
0.710000,170.969360,6978.810547,3
0.720000,170.986176,6978.810547,3
0.730000,170.995834,6978.810547,3
0.740000,171.017639,6978.810547,3
0.750000,171.037674,6978.810547,3
0.760000,171.049835,6978.810547,3
0.770000,171.070221,6978.810547,3
0.780000,171.075577,6978.810547,3
0.790000,171.085602,6978.810547,3
0.800000,171.119568,6978.810547,3
0.810000,171.117065,6978.810547,3
0.820000,171.136734,6978.810547,3
0.830000,171.152115,6978.810547,3
0.839999,171.164993,6978.810547,3
0.849999,171.180374,6978.810547,3
0.859999,171.191818,6978.810547,3
0.869999,171.198959,6978.810547,3
0.879999,171.211838,6978.810547,3
0.889999,171.232574,6978.810547,3
