flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927102825_97f,10:28:25,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,537.730347,134.075043,0.750665,24.535328

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,342.241638,6978.810547,1
0.010000,478.577271,6978.810547,1
0.020000,509.351135,6978.810547,1
0.030000,521.252625,6978.810547,1
0.040000,526.934265,6978.810547,1
0.050000,530.238403,6978.810547,1
0.060000,532.361267,6978.810547,1
0.070000,533.822876,6978.810547,1
0.080000,534.859680,6978.810547,1
0.090000,535.597778,6978.810547,1
0.100000,536.142456,6978.810547,1
0.110000,536.481506,6978.810547,1
0.120000,536.758667,6978.810547,1
0.130000,536.970398,6978.810547,1
0.140000,537.116638,6978.810547,1
0.150000,537.239319,6978.810547,1
0.160000,537.318726,6978.810547,1
0.170000,537.396301,6978.810547,1
0.180000,537.472473,6978.810547,1
0.190000,537.493958,6978.810547,1
0.200000,537.571533,6978.810547,1
0.210000,537.575134,6978.810547,1
0.220000,537.614136,6978.810547,1
0.230000,537.647339,6978.810547,1
0.240000,537.664551,6978.810547,1
0.250000,537.667419,6978.810547,1
0.260000,537.691711,6978.810547,1
0.270000,537.714233,6978.810547,1
0.280000,537.730347,6978.810547,1
0.290000,537.729614,6978.810547,1
0.300000,537.750732,6920.658203,2
0.310000,537.869446,6862.506348,2
0.320000,537.838684,6804.354004,2
0.330000,537.977112,6746.202148,2
0.340000,537.933105,6688.049805,2
0.350000,538.064026,6629.897949,2
0.360000,538.023254,6571.745605,2
0.370000,538.071899,6513.593750,2
0.380000,538.043274,6455.441406,2
0.390000,538.114441,6397.289551,2
0.400000,538.207031,6339.137207,2
0.410000,538.176270,6280.985352,2
0.420000,538.280396,6222.833008,2
0.430000,538.308960,6164.681152,2
0.440000,538.451660,6106.528809,2
0.450000,538.555725,6048.376953,2
0.460000,538.610840,5990.225098,2
0.470000,538.720581,5932.072754,2
0.480000,538.852234,5873.920898,2
0.490000,538.890503,5815.768555,2
0.500000,539.008118,5757.616699,2
0.510000,539.006714,5699.464355,2
0.520000,538.986694,5641.312500,2
0.530000,539.013855,5583.160156,2
0.540000,539.006348,5525.008301,2
0.550000,539.023499,5466.855957,2
0.560000,539.010986,5408.704102,2
0.570000,539.032471,5350.551758,2
0.580000,539.075012,5292.399902,2
0.590000,539.103638,5234.247559,2
0.600000,537.481812,6978.810547,3
0.610000,537.629150,6978.810547,3
0.620000,537.616943,6978.810547,3
0.630000,537.561523,6978.810547,3
0.640000,537.506470,6978.810547,3
0.650000,537.472473,6978.810547,3
0.660000,537.450684,6978.810547,3
0.670000,537.440674,6978.810547,3
0.680000,537.424194,6978.810547,3
0.690000,537.438538,6978.810547,3
0.700000,537.477844,6978.810547,3
0.710000,537.433533,6978.810547,3
0.720000,537.402771,6978.810547,3
0.730000,537.379517,6978.810547,3
0.740000,537.323364,6978.810547,3
0.750000,537.298706,6978.810547,3
0.760000,537.221069,6978.810547,3
0.770000,537.172424,6978.810547,3
0.780000,537.124878,6978.810547,3
0.790000,537.083008,6978.810547,3
0.800000,537.100220,6978.810547,3
0.810000,537.051208,6978.810547,3
0.820000,537.094849,6978.810547,3
0.830000,537.120605,6978.810547,3
0.839999,537.165283,6978.810547,3
0.849999,537.216797,6978.810547,3
0.859999,537.276123,6978.810547,3
0.869999,537.316589,6978.810547,3
0.879999,537.365173,6978.810547,3
0.889999,537.367004,6978.810547,3
