flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927103257_df5,10:32:57,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,390.912964,119.665504,0.693882,56.371220

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,258.363617,6978.810547,1
0.010000,350.569733,6978.810547,1
0.020000,368.651733,6978.810547,1
0.030000,375.692017,6978.810547,1
0.040000,379.369141,6978.810547,1
0.050000,381.723755,6978.810547,1
0.060000,383.401764,6978.810547,1
0.070000,384.715332,6978.810547,1
0.080000,385.712036,6978.810547,1
0.090000,386.518127,6978.810547,1
0.100000,387.196533,6978.810547,1
0.110000,387.666107,6978.810547,1
0.120000,388.084900,6978.810547,1
0.130000,388.430725,6978.810547,1
0.140000,388.701080,6978.810547,1
0.150000,388.912079,6978.810547,1
0.160000,389.113068,6978.810547,1
0.170000,389.260406,6978.810547,1
0.180000,389.397034,6978.810547,1
0.190000,389.504303,6978.810547,1
0.200000,389.631287,6978.810547,1
0.210000,389.683838,6978.810547,1
0.220000,389.766815,6978.810547,1
0.230000,389.814026,6978.810547,1
0.240000,389.886627,6978.810547,1
0.250000,389.928833,6978.810547,1
0.260000,389.943848,6978.810547,1
0.270000,390.009277,6978.810547,1
0.280000,390.028229,6978.810547,1
0.290000,390.065430,6978.810547,1
0.300000,390.115845,6920.658203,2
0.310000,390.126587,6862.506348,2
0.320000,390.116943,6804.354004,2
0.330000,390.165222,6746.202148,2
0.340000,390.168793,6688.049805,2
0.350000,390.188812,6629.897949,2
0.360000,390.188446,6571.745605,2
0.370000,390.210266,6513.593750,2
0.380000,390.228149,6455.441406,2
0.390000,390.207764,6397.289551,2
0.400000,390.230286,6339.137207,2
0.410000,390.212067,6280.985352,2
0.420000,390.215637,6222.833008,2
0.430000,390.225647,6164.681152,2
0.440000,390.222778,6106.528809,2
0.450000,390.202393,6048.376953,2
0.460000,390.199890,5990.225098,2
0.470000,390.195618,5932.072754,2
0.480000,390.159851,5873.920898,2
0.490000,390.179504,5815.768555,2
0.500000,390.171661,5757.616699,2
0.510000,390.127655,5699.464355,2
0.520000,390.105499,5641.312500,2
0.530000,390.100128,5583.160156,2
0.540000,390.049347,5525.008301,2
0.550000,390.003571,5466.855957,2
0.560000,390.021454,5408.704102,2
0.570000,389.973877,5350.551758,2
0.580000,389.942413,5292.399902,2
0.590000,389.871948,5234.247559,2
0.600000,390.457397,6978.810547,3
0.610000,390.714539,6978.810547,3
0.620000,390.782471,6978.810547,3
0.630000,390.810730,6978.810547,3
0.640000,390.801086,6978.810547,3
0.650000,390.788208,6978.810547,3
0.660000,390.797485,6978.810547,3
0.670000,390.794983,6978.810547,3
0.680000,390.806091,6978.810547,3
0.690000,390.822876,6978.810547,3
0.700000,390.842560,6978.810547,3
0.710000,390.842194,6978.810547,3
0.720000,390.860809,6978.810547,3
0.730000,390.862579,6978.810547,3
0.740000,390.874756,6978.810547,3
0.750000,390.889404,6978.810547,3
0.760000,390.915161,6978.810547,3
0.770000,390.913727,6978.810547,3
0.780000,390.927307,6978.810547,3
0.790000,390.933380,6978.810547,3
0.800000,390.970947,6978.810547,3
0.810000,390.960205,6978.810547,3
0.820000,390.959503,6978.810547,3
0.830000,390.966644,6978.810547,3
0.839999,390.976318,6978.810547,3
0.849999,390.988464,6978.810547,3
0.859999,390.978821,6978.810547,3
0.869999,391.018158,6978.810547,3
0.879999,391.005981,6978.810547,3
0.889999,391.008850,6978.810547,3
