flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927113411_fc0,11:34:11,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,195.706085,99.936249,0.489355,1529.794312

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,142.997864,6978.810547,1
0.010000,173.909424,6978.810547,1
0.020000,182.772873,6978.810547,1
0.030000,185.980804,6978.810547,1
0.040000,187.327988,6978.810547,1
0.050000,187.975647,6978.810547,1
0.060000,188.338638,6978.810547,1
0.070000,188.547485,6978.810547,1
0.080000,188.718079,6978.810547,1
0.090000,188.810349,6978.810547,1
0.100000,188.901550,6978.810547,1
0.110000,188.956619,6978.810547,1
0.120000,189.002396,6978.810547,1
0.130000,189.044601,6978.810547,1
0.140000,189.069992,6978.810547,1
0.150000,189.098602,6978.810547,1
0.160000,189.124344,6978.810547,1
0.170000,189.135071,6978.810547,1
0.180000,189.164764,6978.810547,1
0.190000,189.193726,6978.810547,1
0.200000,189.214462,6978.810547,1
0.210000,189.210541,6978.810547,1
0.220000,189.246292,6978.810547,1
0.230000,189.262390,6978.810547,1
0.240000,189.278122,6978.810547,1
0.250000,189.302094,6978.810547,1
0.260000,189.319962,6978.810547,1
0.270000,189.323898,6978.810547,1
0.280000,189.340347,6978.810547,1
0.290000,189.353226,6978.810547,1
0.300000,189.373962,6920.658203,2
0.310000,189.304596,6862.506348,2
0.320000,189.313171,6804.354004,2
0.330000,189.255234,6746.202148,2
0.340000,189.252014,6688.049805,2
0.350000,189.172272,6629.897949,2
0.360000,189.169403,6571.745605,2
0.370000,189.097519,6513.593750,2
0.380000,189.085358,6455.441406,2
0.390000,188.997742,6397.289551,2
0.400000,188.928360,6339.137207,2
0.410000,188.898682,6280.985352,2
0.420000,188.820007,6222.833008,2
0.430000,188.816422,6164.681152,2
0.440000,188.725235,6106.528809,2
0.450000,188.624023,6048.376953,2
0.460000,188.588257,5990.225098,2
0.470000,188.504929,5932.072754,2
0.480000,188.393707,5873.920898,2
0.490000,188.361526,5815.768555,2
0.500000,188.278198,5757.616699,2
0.510000,188.139084,5699.464355,2
0.520000,188.117630,5641.312500,2
0.530000,188.013550,5583.160156,2
0.540000,187.898758,5525.008301,2
0.550000,187.771088,5466.855957,2
0.560000,187.727448,5408.704102,2
0.570000,187.607651,5350.551758,2
0.580000,187.491425,5292.399902,2
0.590000,187.340500,5234.247559,2
0.600000,188.871506,6978.810547,3
0.610000,189.108246,6978.810547,3
0.620000,189.156891,6978.810547,3
0.630000,189.158325,6978.810547,3
0.640000,189.115768,6978.810547,3
0.650000,189.093597,6978.810547,3
0.660000,189.071060,6978.810547,3
0.670000,189.051743,6978.810547,3
0.680000,189.012054,6978.810547,3
0.690000,188.981659,6978.810547,3
0.700000,188.975220,6978.810547,3
0.710000,188.931580,6978.810547,3
0.720000,188.896179,6978.810547,3
0.730000,188.861847,6978.810547,3
0.740000,188.838608,6978.810547,3
0.750000,188.790314,6978.810547,3
0.760000,188.748123,6978.810547,3
0.770000,188.716644,6978.810547,3
0.780000,188.685532,6978.810547,3
0.790000,188.646912,6978.810547,3
0.800000,188.622238,6978.810547,3
0.810000,188.556427,6978.810547,3
0.820000,188.518524,6978.810547,3
0.830000,188.466675,6978.810547,3
0.839999,188.433411,6978.810547,3
0.849999,188.379410,6978.810547,3
0.859999,188.330048,6978.810547,3
0.869999,188.283920,6978.810547,3
0.879999,188.243866,6978.810547,3
0.889999,188.192017,6978.810547,3
