flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927114835_9dc,11:48:35,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,238.992249,117.851974,0.506880,15.044575

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,185.320251,6978.810547,1
0.010000,218.298203,6978.810547,1
0.020000,223.311432,6978.810547,1
0.030000,225.682144,6978.810547,1
0.040000,227.064377,6978.810547,1
0.050000,227.969177,6978.810547,1
0.060000,228.623276,6978.810547,1
0.070000,229.072815,6978.810547,1
0.080000,229.398605,6978.810547,1
0.090000,229.636078,6978.810547,1
0.100000,229.813461,6978.810547,1
0.110000,229.908234,6978.810547,1
0.120000,229.972961,6978.810547,1
0.130000,230.020874,6978.810547,1
0.140000,230.034470,6978.810547,1
0.150000,230.028748,6978.810547,1
0.160000,230.023026,6978.810547,1
0.170000,229.996567,6978.810547,1
0.180000,229.955078,6978.810547,1
0.190000,229.903931,6978.810547,1
0.200000,229.889984,6978.810547,1
0.210000,229.820602,6978.810547,1
0.220000,229.777695,6978.810547,1
0.230000,229.702240,6978.810547,1
0.240000,229.667542,6978.810547,1
0.250000,229.621414,6978.810547,1
0.260000,229.560257,6978.810547,1
0.270000,229.509109,6978.810547,1
0.280000,229.446533,6978.810547,1
0.290000,229.372864,6978.810547,1
0.300000,229.337097,6920.658203,2
0.310000,229.244476,6862.506348,2
0.320000,229.175446,6804.354004,2
0.330000,229.074234,6746.202148,2
0.340000,229.003784,6688.049805,2
0.350000,228.910095,6629.897949,2
0.360000,228.831055,6571.745605,2
0.370000,228.727341,6513.593750,2
0.380000,228.651886,6455.441406,2
0.390000,228.561401,6397.289551,2
0.400000,228.456970,6339.137207,2
0.410000,228.356125,6280.985352,2
0.420000,228.256699,6222.833008,2
0.430000,228.172653,6164.681152,2
0.440000,228.063232,6106.528809,2
0.450000,227.943771,6048.376953,2
0.460000,227.841141,5990.225098,2
0.470000,227.724548,5932.072754,2
0.480000,227.603668,5873.920898,2
0.490000,227.494598,5815.768555,2
0.500000,227.392670,5757.616699,2
0.510000,227.236755,5699.464355,2
0.520000,227.151993,5641.312500,2
0.530000,227.030396,5583.160156,2
0.540000,226.886627,5525.008301,2
0.550000,226.751801,5466.855957,2
0.560000,226.645950,5408.704102,2
0.570000,226.514343,5350.551758,2
0.580000,226.378799,5292.399902,2
0.590000,226.223236,5234.247559,2
0.600000,226.681000,6978.810547,3
0.610000,226.783279,6978.810547,3
0.620000,226.757889,6978.810547,3
0.630000,226.686722,6978.810547,3
0.640000,226.614471,6978.810547,3
0.650000,226.525787,6978.810547,3
0.660000,226.431015,6978.810547,3
0.670000,226.347321,6978.810547,3
0.680000,226.233246,6978.810547,3
0.690000,226.144196,6978.810547,3
0.700000,226.058014,6978.810547,3
0.710000,225.947495,6978.810547,3
0.720000,225.834839,6978.810547,3
0.730000,225.730057,6978.810547,3
0.740000,225.627426,6978.810547,3
0.750000,225.503326,6978.810547,3
0.760000,225.405334,6978.810547,3
0.770000,225.271225,6978.810547,3
0.780000,225.163223,6978.810547,3
0.790000,225.038773,6978.810547,3
0.800000,224.918610,6978.810547,3
0.810000,224.792007,6978.810547,3
0.820000,224.670761,6978.810547,3
0.830000,224.553467,6978.810547,3
0.839999,224.434021,6978.810547,3
0.849999,224.299194,6978.810547,3
0.859999,224.164368,6978.810547,3
0.869999,224.035263,6978.810547,3
0.879999,223.906158,6978.810547,3
0.889999,223.773834,6978.810547,3
