flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927130507_07e,13:05:07,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,289.570160,141.994720,0.509636,29.169600

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,231.043335,6978.810547,1
0.010000,265.808350,6978.810547,1
0.020000,268.890381,6978.810547,1
0.030000,271.344788,6978.810547,1
0.040000,273.484467,6978.810547,1
0.050000,275.213959,6978.810547,1
0.060000,276.581879,6978.810547,1
0.070000,277.594330,6978.810547,1
0.080000,278.389343,6978.810547,1
0.090000,278.972626,6978.810547,1
0.100000,279.421448,6978.810547,1
0.110000,279.721130,6978.810547,1
0.120000,279.974335,6978.810547,1
0.130000,280.153870,6978.810547,1
0.140000,280.282623,6978.810547,1
0.150000,280.384186,6978.810547,1
0.160000,280.445343,6978.810547,1
0.170000,280.491821,6978.810547,1
0.180000,280.524384,6978.810547,1
0.190000,280.549408,6978.810547,1
0.200000,280.562653,6978.810547,1
0.210000,280.534027,6978.810547,1
0.220000,280.526886,6978.810547,1
0.230000,280.500427,6978.810547,1
0.240000,280.463226,6978.810547,1
0.250000,280.429596,6978.810547,1
0.260000,280.381683,6978.810547,1
0.270000,280.343414,6978.810547,1
0.280000,280.284058,6978.810547,1
0.290000,280.243286,6978.810547,1
0.300000,280.197845,6920.658203,2
0.310000,280.112030,6862.506348,2
0.320000,280.054077,6804.354004,2
0.330000,279.986847,6746.202148,2
0.340000,279.903900,6688.049805,2
0.350000,279.833069,6629.897949,2
0.360000,279.734741,6571.745605,2
0.370000,279.647461,6513.593750,2
0.380000,279.574860,6455.441406,2
0.390000,279.485474,6397.289551,2
0.400000,279.378906,6339.137207,2
0.410000,279.284821,6280.985352,2
0.420000,279.197571,6222.833008,2
0.430000,279.117462,6164.681152,2
0.440000,279.005157,6106.528809,2
0.450000,278.890717,6048.376953,2
0.460000,278.802399,5990.225098,2
0.470000,278.687592,5932.072754,2
0.480000,278.559204,5873.920898,2
0.490000,278.473389,5815.768555,2
0.500000,278.357849,5757.616699,2
0.510000,278.219116,5699.464355,2
0.520000,278.125061,5641.312500,2
0.530000,277.996307,5583.160156,2
0.540000,277.876129,5525.008301,2
0.550000,277.731293,5466.855957,2
0.560000,277.618652,5408.704102,2
0.570000,277.493134,5350.551758,2
0.580000,277.347565,5292.399902,2
0.590000,277.194855,5234.247559,2
0.600000,277.574646,6978.810547,3
0.610000,277.715576,6978.810547,3
0.620000,277.723083,6978.810547,3
0.630000,277.664429,6978.810547,3
0.640000,277.584686,6978.810547,3
0.650000,277.496704,6978.810547,3
0.660000,277.405151,6978.810547,3
0.670000,277.325378,6978.810547,3
0.680000,277.221313,6978.810547,3
0.690000,277.130829,6978.810547,3
0.700000,277.017487,6978.810547,3
0.710000,276.894806,6978.810547,3
0.720000,276.792877,6978.810547,3
0.730000,276.686676,6978.810547,3
0.740000,276.571167,6978.810547,3
0.750000,276.448486,6978.810547,3
0.760000,276.342987,6978.810547,3
0.770000,276.223175,6978.810547,3
0.780000,276.104797,6978.810547,3
0.790000,275.982513,6978.810547,3
0.800000,275.861969,6978.810547,3
0.810000,275.707855,6978.810547,3
0.820000,275.575867,6978.810547,3
0.830000,275.447845,6978.810547,3
0.839999,275.314087,6978.810547,3
0.849999,275.177826,6978.810547,3
0.859999,275.034424,6978.810547,3
0.869999,274.904602,6978.810547,3
0.879999,274.758698,6978.810547,3
0.889999,274.616364,6978.810547,3
