flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927134248_eab,13:42:48,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,156.861969,88.806152,0.433858,139.161362

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,116.501930,6978.810547,1
0.010000,133.238907,6978.810547,1
0.020000,138.019684,6978.810547,1
0.030000,140.360352,6978.810547,1
0.040000,141.533020,6978.810547,1
0.050000,142.142776,6978.810547,1
0.060000,142.456772,6978.810547,1
0.070000,142.627365,6978.810547,1
0.080000,142.723923,6978.810547,1
0.090000,142.772552,6978.810547,1
0.100000,142.814041,6978.810547,1
0.110000,142.788651,6978.810547,1
0.120000,142.783997,6978.810547,1
0.130000,142.778992,6978.810547,1
0.140000,142.771484,6978.810547,1
0.150000,142.726776,6978.810547,1
0.160000,142.694946,6978.810547,1
0.170000,142.670624,6978.810547,1
0.180000,142.635223,6978.810547,1
0.190000,142.601257,6978.810547,1
0.200000,142.561554,6978.810547,1
0.210000,142.517563,6978.810547,1
0.220000,142.478943,6978.810547,1
0.230000,142.438171,6978.810547,1
0.240000,142.377014,6978.810547,1
0.250000,142.316940,6978.810547,1
0.260000,142.266876,6978.810547,1
0.270000,142.223236,6978.810547,1
0.280000,142.163513,6978.810547,1
0.290000,142.083771,6978.810547,1
0.300000,142.041565,6920.658203,2
0.310000,141.911026,6862.506348,2
0.320000,141.829132,6804.354004,2
0.330000,141.683228,6746.202148,2
0.340000,141.578796,6688.049805,2
0.350000,141.455048,6629.897949,2
0.360000,141.343109,6571.745605,2
0.370000,141.192917,6513.593750,2
0.380000,141.085632,6455.441406,2
0.390000,140.931122,6397.289551,2
0.400000,140.772339,6339.137207,2
0.410000,140.646454,6280.985352,2
0.420000,140.477661,6222.833008,2
0.430000,140.356064,6164.681152,2
0.440000,140.188339,6106.528809,2
0.450000,140.000946,6048.376953,2
0.460000,139.850739,5990.225098,2
0.470000,139.662628,5932.072754,2
0.480000,139.491318,5873.920898,2
0.490000,139.331467,5815.768555,2
0.500000,139.151215,5757.616699,2
0.510000,138.937347,5699.464355,2
0.520000,138.785370,5641.312500,2
0.530000,138.586166,5583.160156,2
0.540000,138.368362,5525.008301,2
0.550000,138.141983,5466.855957,2
0.560000,137.963181,5408.704102,2
0.570000,137.761475,5350.551758,2
0.580000,137.549759,5292.399902,2
0.590000,137.309784,5234.247559,2
0.600000,138.151642,6978.810547,3
0.610000,138.311142,6978.810547,3
0.620000,138.269669,6978.810547,3
0.630000,138.131973,6978.810547,3
0.640000,137.983566,6978.810547,3
0.650000,137.837296,6978.810547,3
0.660000,137.672424,6978.810547,3
0.670000,137.510056,6978.810547,3
0.680000,137.341980,6978.810547,3
0.690000,137.179977,6978.810547,3
0.700000,137.019760,6978.810547,3
0.710000,136.862396,6978.810547,3
0.720000,136.685013,6978.810547,3
0.730000,136.516922,6978.810547,3
0.740000,136.338120,6978.810547,3
0.750000,136.159653,6978.810547,3
0.760000,135.997650,6978.810547,3
0.770000,135.818832,6978.810547,3
0.780000,135.646103,6978.810547,3
0.790000,135.471222,6978.810547,3
0.800000,135.318512,6978.810547,3
0.810000,135.137909,6978.810547,3
0.820000,134.966614,6978.810547,3
0.830000,134.787796,6978.810547,3
0.839999,134.620071,6978.810547,3
0.849999,134.450912,6978.810547,3
0.859999,134.275681,6978.810547,3
0.869999,134.107941,6978.810547,3
0.879999,133.921982,6978.810547,3
0.889999,133.777863,6978.810547,3
