flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927142928_7ae,14:29:28,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,176.816971,79.959511,0.547784,163.238281

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,113.714577,6978.810547,1
0.010000,132.858398,6978.810547,1
0.020000,139.768845,6978.810547,1
0.030000,143.693451,6978.810547,1
0.040000,146.033401,6978.810547,1
0.050000,147.500748,6978.810547,1
0.060000,148.435944,6978.810547,1
0.070000,149.020676,6978.810547,1
0.080000,149.383301,6978.810547,1
0.090000,149.594666,6978.810547,1
0.100000,149.718765,6978.810547,1
0.110000,149.735931,6978.810547,1
0.120000,149.719482,6978.810547,1
0.130000,149.654388,6978.810547,1
0.140000,149.575714,6978.810547,1
0.150000,149.455185,6978.810547,1
0.160000,149.334305,6978.810547,1
0.170000,149.184464,6978.810547,1
0.180000,149.043198,6978.810547,1
0.190000,148.875122,6978.810547,1
0.200000,148.708466,6978.810547,1
0.210000,148.522858,6978.810547,1
0.220000,148.319000,6978.810547,1
0.230000,148.121231,6978.810547,1
0.240000,147.937775,6978.810547,1
0.250000,147.733932,6978.810547,1
0.260000,147.547607,6978.810547,1
0.270000,147.348755,6978.810547,1
0.280000,147.143845,6978.810547,1
0.290000,146.927826,6978.810547,1
0.300000,146.724701,6920.658203,2
0.310000,146.417496,6862.506348,2
0.320000,146.176102,6804.354004,2
0.330000,145.852798,6746.202148,2
0.340000,145.621063,6688.049805,2
0.350000,145.297058,6629.897949,2
0.360000,145.049210,6571.745605,2
0.370000,144.708755,6513.593750,2
0.380000,144.448395,6455.441406,2
0.390000,144.107574,6397.289551,2
0.400000,143.764252,6339.137207,2
0.410000,143.472794,6280.985352,2
0.420000,143.131973,6222.833008,2
0.430000,142.855881,6164.681152,2
0.440000,142.515427,6106.528809,2
0.450000,142.148499,6048.376953,2
0.460000,141.863464,5990.225098,2
0.470000,141.505844,5932.072754,2
0.480000,141.126038,5873.920898,2
0.490000,140.830994,5815.768555,2
0.500000,140.465851,5757.616699,2
0.510000,140.054947,5699.464355,2
0.520000,139.766342,5641.312500,2
0.530000,139.372940,5583.160156,2
0.540000,138.981339,5525.008301,2
0.550000,138.560059,5466.855957,2
0.560000,138.239258,5408.704102,2
0.570000,137.839432,5350.551758,2
0.580000,137.401337,5292.399902,2
0.590000,136.964325,5234.247559,2
0.600000,138.241760,6978.810547,3
0.610000,138.253204,6978.810547,3
0.620000,138.052582,6978.810547,3
0.630000,137.773987,6978.810547,3
0.640000,137.448547,6978.810547,3
0.650000,137.110229,6978.810547,3
0.660000,136.768692,6978.810547,3
0.670000,136.416077,6978.810547,3
0.680000,136.057022,6978.810547,3
0.690000,135.693314,6978.810547,3
0.700000,135.319229,6978.810547,3
0.710000,134.938004,6978.810547,3
0.720000,134.546402,6978.810547,3
0.730000,134.159805,6978.810547,3
0.740000,133.770706,6978.810547,3
0.750000,133.374100,6978.810547,3
0.760000,132.959610,6978.810547,3
0.770000,132.556198,6978.810547,3
0.780000,132.156372,6978.810547,3
0.790000,131.741516,6978.810547,3
0.800000,131.324890,6978.810547,3
0.810000,130.890732,6978.810547,3
0.820000,130.453354,6978.810547,3
0.830000,130.012756,6978.810547,3
0.839999,129.572159,6978.810547,3
0.849999,129.144424,6978.810547,3
0.859999,128.708130,6978.810547,3
0.869999,128.263947,6978.810547,3
0.879999,127.824066,6978.810547,3
0.889999,127.383827,6978.810547,3
