flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927143125_cd9,14:31:25,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,384.380920,114.066483,0.703246,148.665833

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,245.405670,6978.810547,1
0.010000,334.760773,6978.810547,1
0.020000,349.730011,6978.810547,1
0.030000,355.813263,6978.810547,1
0.040000,360.231049,6978.810547,1
0.050000,363.860596,6978.810547,1
0.060000,366.742737,6978.810547,1
0.070000,368.825928,6978.810547,1
0.080000,370.234955,6978.810547,1
0.090000,371.142639,6978.810547,1
0.100000,371.715546,6978.810547,1
0.110000,372.008453,6978.810547,1
0.120000,372.148285,6978.810547,1
0.130000,372.182617,6978.810547,1
0.140000,372.126465,6978.810547,1
0.150000,371.984833,6978.810547,1
0.160000,371.779205,6978.810547,1
0.170000,371.540314,6978.810547,1
0.180000,371.213074,6978.810547,1
0.190000,370.884766,6978.810547,1
0.200000,370.552185,6978.810547,1
0.210000,370.170959,6978.810547,1
0.220000,369.805817,6978.810547,1
0.230000,369.464264,6978.810547,1
0.240000,369.120239,6978.810547,1
0.250000,368.792297,6978.810547,1
0.260000,368.484741,6978.810547,1
0.270000,368.167175,6978.810547,1
0.280000,367.854248,6978.810547,1
0.290000,367.533447,6978.810547,1
0.300000,367.277740,6920.658203,2
0.310000,366.863617,6862.506348,2
0.320000,366.631165,6804.354004,2
0.330000,366.328247,6746.202148,2
0.340000,366.162659,6688.049805,2
0.350000,365.890869,6629.897949,2
0.360000,365.756744,6571.745605,2
0.370000,365.496399,6513.593750,2
0.380000,365.326874,6455.441406,2
0.390000,365.040070,6397.289551,2
0.400000,364.762177,6339.137207,2
0.410000,364.623413,6280.985352,2
0.420000,364.397766,6222.833008,2
0.430000,364.321594,6164.681152,2
0.440000,364.144196,6106.528809,2
0.450000,363.910675,6048.376953,2
0.460000,363.825195,5990.225098,2
0.470000,363.634583,5932.072754,2
0.480000,363.393555,5873.920898,2
0.490000,363.320221,5815.768555,2
0.500000,363.138184,5757.616699,2
0.510000,362.882507,5699.464355,2
0.520000,362.786285,5641.312500,2
0.530000,362.593536,5583.160156,2
0.540000,362.326752,5525.008301,2
0.550000,362.060303,5466.855957,2
0.560000,361.958740,5408.704102,2
0.570000,361.696594,5350.551758,2
0.580000,361.359344,5292.399902,2
0.590000,360.980621,5234.247559,2
0.600000,363.575928,6978.810547,3
0.610000,363.904236,6978.810547,3
0.620000,363.792297,6978.810547,3
0.630000,363.596313,6978.810547,3
0.640000,363.397827,6978.810547,3
0.650000,363.180389,6978.810547,3
0.660000,362.988708,6978.810547,3
0.670000,362.764130,6978.810547,3
0.680000,362.511292,6978.810547,3
0.690000,362.256287,6978.810547,3
0.700000,361.981628,6978.810547,3
0.710000,361.675873,6978.810547,3
0.720000,361.347565,6978.810547,3
0.730000,361.027130,6978.810547,3
0.740000,360.695251,6978.810547,3
0.750000,360.383026,6978.810547,3
0.760000,360.042938,6978.810547,3
0.770000,359.727509,6978.810547,3
0.780000,359.411011,6978.810547,3
0.790000,359.110596,6978.810547,3
0.800000,358.838806,6978.810547,3
0.810000,358.482971,6978.810547,3
0.820000,358.139984,6978.810547,3
0.830000,357.760193,6978.810547,3
0.839999,357.348572,6978.810547,3
0.849999,356.901520,6978.810547,3
0.859999,356.423737,6978.810547,3
0.869999,355.962036,6978.810547,3
0.879999,355.469940,6978.810547,3
0.889999,355.006470,6978.810547,3
