flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240927143216_a96,14:32:16,2024-09-27,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,350.088806,97.530838,0.721411,48.585663

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,220.909592,6978.810547,1
0.010000,305.505035,6978.810547,1
0.020000,318.355316,6978.810547,1
0.030000,324.114929,6978.810547,1
0.040000,329.342712,6978.810547,1
0.050000,334.129211,6978.810547,1
0.060000,338.006256,6978.810547,1
0.070000,340.755707,6978.810547,1
0.080000,342.510925,6978.810547,1
0.090000,343.569519,6978.810547,1
0.100000,344.164612,6978.810547,1
0.110000,344.434631,6978.810547,1
0.120000,344.542267,6978.810547,1
0.130000,344.550140,6978.810547,1
0.140000,344.477173,6978.810547,1
0.150000,344.364868,6978.810547,1
0.160000,344.175354,6978.810547,1
0.170000,343.962189,6978.810547,1
0.180000,343.719727,6978.810547,1
0.190000,343.436829,6978.810547,1
0.200000,343.141785,6978.810547,1
0.210000,342.816711,6978.810547,1
0.220000,342.499847,6978.810547,1
0.230000,342.135071,6978.810547,1
0.240000,341.823578,6978.810547,1
0.250000,341.492065,6978.810547,1
0.260000,341.171265,6978.810547,1
0.270000,340.861572,6978.810547,1
0.280000,340.582245,6978.810547,1
0.290000,340.309387,6978.810547,1
0.300000,340.089081,6920.658203,2
0.310000,339.815125,6862.506348,2
0.320000,339.633118,6804.354004,2
0.330000,339.409943,6746.202148,2
0.340000,339.250793,6688.049805,2
0.350000,339.041595,6629.897949,2
0.360000,338.903900,6571.745605,2
0.370000,338.745819,6513.593750,2
0.380000,338.611725,6455.441406,2
0.390000,338.474030,6397.289551,2
0.400000,338.341370,6339.137207,2
0.410000,338.246582,6280.985352,2
0.420000,338.147522,6222.833008,2
0.430000,338.089233,6164.681152,2
0.440000,337.999451,6106.528809,2
0.450000,337.888947,6048.376953,2
0.460000,337.838165,5990.225098,2
0.470000,337.748047,5932.072754,2
0.480000,337.625031,5873.920898,2
0.490000,337.590332,5815.768555,2
0.500000,337.522034,5757.616699,2
0.510000,337.357513,5699.464355,2
0.520000,337.307098,5641.312500,2
0.530000,337.178711,5583.160156,2
0.540000,337.016357,5525.008301,2
0.550000,336.848969,5466.855957,2
0.560000,336.742401,5408.704102,2
0.570000,336.581482,5350.551758,2
0.580000,336.351166,5292.399902,2
0.590000,336.122284,5234.247559,2
0.600000,337.218750,6978.810547,3
0.610000,337.368256,6978.810547,3
0.620000,337.268829,6978.810547,3
0.630000,337.097168,6978.810547,3
0.640000,336.909058,6978.810547,3
0.650000,336.710938,6978.810547,3
0.660000,336.530334,6978.810547,3
0.670000,336.327911,6978.810547,3
0.680000,336.113678,6978.810547,3
0.690000,335.886597,6978.810547,3
0.700000,335.651276,6978.810547,3
0.710000,335.385559,6978.810547,3
0.720000,335.130585,6978.810547,3
0.730000,334.844116,6978.810547,3
0.740000,334.560883,6978.810547,3
0.750000,334.256165,6978.810547,3
0.760000,333.925720,6978.810547,3
0.770000,333.603516,6978.810547,3
0.780000,333.261597,6978.810547,3
0.790000,332.921143,6978.810547,3
0.800000,332.578552,6978.810547,3
0.810000,332.189087,6978.810547,3
0.820000,331.830383,6978.810547,3
0.830000,331.446289,6978.810547,3
0.839999,331.029999,6978.810547,3
0.849999,330.629456,6978.810547,3
0.859999,330.206390,6978.810547,3
0.869999,329.771149,6978.810547,3
0.879999,329.321259,6978.810547,3
0.889999,328.843842,6978.810547,3
