"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-01","62",",,U","80","H,,U","44","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-02","62",",,U","78","H,,U","47","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-03","62",",,U","73","H,,U","54","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-04","59",",,U","70","H,,U","52","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-05","63",",,U","74","H,,U","54","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-06","62",",,U","74","H,,U","52","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-07","62",",,U","81","H,,U","47","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-08","63",",,U","78","H,,U","50","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-09","67",",,U","82","H,,U","53","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-10","71",",,U","89","H,,U","54","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-11","71",",,U","84","H,,U","60","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-12","61",",,U","66","H,,U","51","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-13","57",",,U","69","H,,U","46","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-14","60",",,U","77","H,,U","43","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-15","60",",,U","79","H,,U","45","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-16","56",",,U","67","H,,U","50","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-17","56",",,U","66","H,,U","46","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-18","57",",,U","69","H,,U","48","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-19","60",",,U","78","H,,U","44","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-20","66",",,U","87","H,,U","47","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-21","77",",,U","102","H,,U","52","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-06-22","78",",,U","100","H,,U","60","H,,U"
