"2023-02-20";"10:28:46";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-02-20 10:06:50.118";"1676916410118";"0";"2023-02-20";"10:06:50";"SCHS";"";"Chart start ";""
"2023-02-20 10:08:07.937";"1676916487937";"77819";"2023-02-20";"10:08:07";"SLCS";"";"Light Curve start ";""
"2023-02-20 10:08:07.937";"1676916487937";"77819";"2023-02-20";"10:08:07";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 20.914 ) ";""
"2023-02-20 10:08:07.937";"1676916487937";"77819";"2023-02-20";"10:08:07";"REG2";"";"#1: alpha: 0.136, ETRm: 22.833, Ik: 167.433 ";""
"2023-02-20 10:08:09.321";"1676916489321";"79203";"2023-02-20";"10:08:09";"FO";"1";"257";"1104";"0";"0.767";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"257";"1104";"0.767"
"2023-02-20 10:08:29.314";"1676916509314";"99196";"2023-02-20";"10:08:29";"F";"2";"640";"1022";"65";"0.374";"10.2";"252";"0.84";"0.496";"0.195";"0.080";"0.580";"0.046";"257";"1104";"0.767"
"2023-02-20 10:08:49.296";"1676916529296";"119178";"2023-02-20";"10:08:49";"F";"3";"603";"878";"90";"0.313";"11.8";"242";"0.84";"0.432";"0.173";"0.257";"0.546";"0.141";"257";"1104";"0.767"
"2023-02-20 10:09:09.290";"1676916549290";"139172";"2023-02-20";"10:09:09";"F";"4";"575";"787";"125";"0.269";"14.1";"235";"0.84";"0.384";"0.157";"0.403";"0.521";"0.210";"257";"1104";"0.767"
"2023-02-20 10:09:29.279";"1676916569279";"159161";"2023-02-20";"10:09:29";"F";"5";"568";"727";"190";"0.219";"17.5";"229";"0.84";"0.319";"0.129";"0.519";"0.514";"0.267";"257";"1104";"0.767"
"2023-02-20 10:09:49.264";"1676916589264";"179146";"2023-02-20";"10:09:49";"F";"6";"566";"681";"285";"0.169";"20.2";"225";"0.84";"0.252";"0.100";"0.621";"0.513";"0.318";"257";"1104";"0.767"
"2023-02-20 10:10:09.253";"1676916609253";"199135";"2023-02-20";"10:10:09";"F";"7";"568";"650";"420";"0.126";"22.2";"221";"0.84";"0.191";"0.074";"0.698";"0.514";"0.360";"257";"1104";"0.767"
"2023-02-20 10:10:29.247";"1676916629247";"219129";"2023-02-20";"10:10:29";"F";"8";"570";"626";"625";"0.089";"23.4";"218";"0.84";"0.137";"0.052";"0.764";"0.516";"0.395";"257";"1104";"0.767"
"2023-02-20 10:10:49.234";"1676916649234";"239116";"2023-02-20";"10:10:49";"F";"9";"566";"608";"820";"0.069";"23.8";"216";"0.84";"0.107";"0.041";"0.816";"0.513";"0.418";"257";"1104";"0.767"
"2023-02-20 10:10:52.732";"1676916652732";"242614";"2023-02-20";"10:10:52";"SLCE";"";"Light Curve end ";""
"2023-02-20 10:12:41.265";"1676916761265";"351147";"2023-02-20";"10:12:41";"SLCS";"";"Light Curve start ";""
"2023-02-20 10:12:41.265";"1676916761265";"351147";"2023-02-20";"10:12:41";"REG1";"";"#1: alpha: 0.267, ETRm: 55.578, Ik: 207.879   ( beta: 0.013, ETRmPot: 67.696 ) ";""
"2023-02-20 10:12:41.265";"1676916761265";"351147";"2023-02-20";"10:12:41";"REG2";"";"#1: alpha: 0.217, ETRm: 55.133, Ik: 253.536 ";""
"2023-02-20 10:12:42.661";"1676916762661";"352543";"2023-02-20";"10:12:42";"FO";"10";"166";"749";"0";"0.778";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"166";"749";"0.778"
"2023-02-20 10:13:02.647";"1676916782647";"372529";"2023-02-20";"10:13:02";"F";"11";"298";"704";"65";"0.577";"15.8";"164";"0.84";"0.752";"0.414";"0.064";"0.398";"0.025";"166";"749";"0.778"
"2023-02-20 10:13:22.634";"1676916802634";"392516";"2023-02-20";"10:13:22";"F";"12";"307";"654";"90";"0.531";"20.1";"161";"0.84";"0.704";"0.369";"0.145";"0.410";"0.059";"166";"749";"0.778"
"2023-02-20 10:13:42.629";"1676916822629";"412511";"2023-02-20";"10:13:42";"F";"13";"306";"597";"125";"0.487";"25.6";"157";"0.84";"0.661";"0.339";"0.255";"0.409";"0.104";"166";"749";"0.778"
"2023-02-20 10:14:02.617";"1676916842617";"432499";"2023-02-20";"10:14:02";"F";"14";"312";"552";"190";"0.435";"34.7";"154";"0.84";"0.603";"0.298";"0.357";"0.417";"0.148";"166";"749";"0.778"
"2023-02-20 10:14:22.607";"1676916862607";"452489";"2023-02-20";"10:14:22";"F";"15";"321";"500";"285";"0.358";"42.9";"149";"0.84";"0.510";"0.237";"0.498";"0.429";"0.213";"166";"749";"0.778"
"2023-02-20 10:14:42.595";"1676916882595";"472477";"2023-02-20";"10:14:42";"F";"16";"327";"454";"420";"0.280";"49.4";"145";"0.84";"0.411";"0.182";"0.650";"0.437";"0.283";"166";"749";"0.778"
"2023-02-20 10:15:02.584";"1676916902584";"492466";"2023-02-20";"10:15:02";"F";"17";"330";"421";"625";"0.216";"56.7";"142";"0.84";"0.326";"0.140";"0.779";"0.441";"0.343";"166";"749";"0.778"
"2023-02-20 10:15:22.565";"1676916922565";"512447";"2023-02-20";"10:15:22";"F";"18";"327";"389";"820";"0.159";"54.8";"138";"0.84";"0.247";"0.104";"0.925";"0.437";"0.404";"166";"749";"0.778"
