"2024-04-08";"10:20:22";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"2:F";"2:Fm'";"2:PAR";"2:Y (II)";"2:ETR";"2:Fo'";"2:ETR-F.";"2:qP";"2:qN";"2:qL";"2:NPQ";"2:Y (NO)";"2:Y (NPQ)";"2:Fo";"2:Fm";"2:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #2, JUNIOR-PAM-III (CFMG1100B) ";""
"2024-04-08 09:59:44.119";"1712595584119";"0";"2024-04-08";"09:59:44";"SCHS";"";"Chart start ";""
"2024-04-08 10:08:28.330";"1712596108330";"524211";"2024-04-08";"10:08:28";"SLCS";"";"Light Curve start ";""
"2024-04-08 10:08:28.330";"1712596108330";"524211";"2024-04-08";"10:08:28";"REG1";"";"#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.018, ETRmPot: 40.707 ) ";""
"2024-04-08 10:08:28.330";"1712596108330";"524211";"2024-04-08";"10:08:28";"REG2";"";"#2: alpha: 0.178, ETRm: 55.098, Ik: 308.930 ";""
"2024-04-08 10:08:29.735";"1712596109735";"525616";"2024-04-08";"10:08:29";"FO";"1";"98";"372";"0";"0.737";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"98";"372";"0.737"
"2024-04-08 10:08:49.723";"1712596129723";"545604";"2024-04-08";"10:08:49";"F";"2";"190";"361";"65";"0.474";"12.9";"97";"0.84";"0.648";"0.036";"0.331";"0.030";"0.511";"0.015";"98";"372";"0.737"
"2024-04-08 10:09:09.733";"1712596149733";"565614";"2024-04-08";"10:09:09";"F";"3";"181";"334";"90";"0.458";"17.3";"95";"0.84";"0.640";"0.128";"0.336";"0.114";"0.487";"0.055";"98";"372";"0.737"
"2024-04-08 10:09:29.722";"1712596169722";"585603";"2024-04-08";"10:09:29";"F";"4";"177";"310";"125";"0.429";"22.5";"93";"0.84";"0.613";"0.208";"0.322";"0.200";"0.476";"0.095";"98";"372";"0.737"
"2024-04-08 10:09:49.709";"1712596189709";"605590";"2024-04-08";"10:09:49";"F";"5";"178";"281";"190";"0.367";"29.3";"90";"0.84";"0.539";"0.303";"0.273";"0.324";"0.478";"0.155";"98";"372";"0.737"
"2024-04-08 10:10:09.706";"1712596209706";"625587";"2024-04-08";"10:10:09";"F";"6";"182";"274";"285";"0.336";"40.2";"90";"0.84";"0.500";"0.328";"0.247";"0.358";"0.489";"0.175";"98";"372";"0.737"
"2024-04-08 10:10:29.696";"1712596229696";"645577";"2024-04-08";"10:10:29";"F";"7";"187";"254";"420";"0.264";"46.6";"87";"0.84";"0.401";"0.391";"0.187";"0.465";"0.503";"0.233";"98";"372";"0.737"
"2024-04-08 10:10:49.677";"1712596249677";"665558";"2024-04-08";"10:10:49";"F";"8";"202";"248";"625";"0.185";"48.6";"87";"0.84";"0.286";"0.412";"0.123";"0.500";"0.543";"0.272";"98";"372";"0.737"
