"2024-05-02";"12:17:26";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"2:F";"2:Fm'";"2:PAR";"2:Y (II)";"2:ETR";"2:Fo'";"2:ETR-F.";"2:qP";"2:qN";"2:qL";"2:NPQ";"2:Y (NO)";"2:Y (NPQ)";"2:Fo";"2:Fm";"2:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #2, JUNIOR-PAM-III (CFMG1100B) ";""
"2024-05-02 12:01:28.083";"1714676488083";"0";"2024-05-02";"12:01:28";"SCHS";"";"Chart start ";""
"2024-05-02 12:02:34.331";"1714676554331";"66248";"2024-05-02";"12:02:34";"SLCS";"";"Light Curve start ";""
"2024-05-02 12:02:34.331";"1714676554331";"66248";"2024-05-02";"12:02:34";"REG1";"";"#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.022, ETRmPot: 45.411 ) ";""
"2024-05-02 12:02:34.331";"1714676554331";"66248";"2024-05-02";"12:02:34";"REG2";"";"#2: alpha: 0.158, ETRm: 66.262, Ik: 420.502 ";""
"2024-05-02 12:02:35.728";"1714676555728";"67645";"2024-05-02";"12:02:35";"FO";"1";"51";"158";"0";"0.677";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"51";"158";"0.677"
"2024-05-02 12:02:55.725";"1714676575725";"87642";"2024-05-02";"12:02:55";"F";"2";"76";"142";"65";"0.465";"12.7";"49";"0.84";"0.710";"0.131";"0.458";"0.113";"0.481";"0.054";"51";"158";"0.677"
"2024-05-02 12:03:15.706";"1714676595706";"107623";"2024-05-02";"12:03:15";"F";"3";"72";"125";"90";"0.424";"16.0";"47";"0.84";"0.679";"0.271";"0.443";"0.264";"0.456";"0.120";"51";"158";"0.677"
"2024-05-02 12:03:35.695";"1714676615695";"127612";"2024-05-02";"12:03:35";"F";"4";"67";"112";"125";"0.402";"21.1";"45";"0.84";"0.672";"0.374";"0.451";"0.411";"0.424";"0.174";"51";"158";"0.677"
"2024-05-02 12:03:55.685";"1714676635685";"147602";"2024-05-02";"12:03:55";"F";"5";"62";"95";"190";"0.347";"27.7";"42";"0.84";"0.623";"0.505";"0.422";"0.663";"0.392";"0.261";"51";"158";"0.677"
"2024-05-02 12:04:15.676";"1714676655676";"167593";"2024-05-02";"12:04:15";"F";"6";"57";"84";"285";"0.321";"38.4";"40";"0.84";"0.614";"0.589";"0.431";"0.881";"0.361";"0.318";"51";"158";"0.677"
"2024-05-02 12:04:35.660";"1714676675660";"187577";"2024-05-02";"12:04:35";"F";"7";"54";"75";"420";"0.280";"49.4";"38";"0.84";"0.568";"0.654";"0.400";"1.107";"0.342";"0.378";"51";"158";"0.677"
"2024-05-02 12:04:55.657";"1714676695657";"207574";"2024-05-02";"12:04:55";"F";"8";"51";"65";"625";"0.215";"56.4";"35";"0.84";"0.467";"0.720";"0.320";"1.431";"0.323";"0.462";"51";"158";"0.677"
"2024-05-02 12:05:15.642";"1714676715642";"227559";"2024-05-02";"12:05:15";"F";"9";"50";"62";"820";"0.194";"66.8";"34";"0.84";"0.429";"0.738";"0.292";"1.548";"0.316";"0.490";"51";"158";"0.677"
"2024-05-02 12:05:18.918";"1714676718918";"230835";"2024-05-02";"12:05:18";"SLCE";"";"Light Curve end ";""
"2024-05-02 12:08:05.852";"1714676885852";"397769";"2024-05-02";"12:08:05";"SLCS";"";"Light Curve start ";""
"2024-05-02 12:08:05.852";"1714676885852";"397769";"2024-05-02";"12:08:05";"REG1";"";"#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.036, ETRmPot: 6.240 ) ";""
"2024-05-02 12:08:05.852";"1714676885852";"397769";"2024-05-02";"12:08:05";"REG2";"";"#2: alpha: 0.119, ETRm: 27.158, Ik: 228.566 ";""
"2024-05-02 12:08:07.239";"1714676887239";"399156";"2024-05-02";"12:08:07";"FO";"10";"35";"72";"0";"0.514";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"35";"72";"0.514"
"2024-05-02 12:08:27.228";"1714676907228";"419145";"2024-05-02";"12:08:27";"F";"11";"45";"64";"65";"0.297";"8.1";"33";"0.84";"0.613";"0.162";"0.450";"0.125";"0.625";"0.078";"35";"72";"0.514"
"2024-05-02 12:08:47.220";"1714676927220";"439137";"2024-05-02";"12:08:47";"F";"12";"43";"60";"90";"0.283";"10.7";"32";"0.84";"0.607";"0.243";"0.452";"0.200";"0.597";"0.120";"35";"72";"0.514"
"2024-05-02 12:09:07.212";"1714676947212";"459129";"2024-05-02";"12:09:07";"F";"13";"42";"55";"125";"0.236";"12.4";"30";"0.84";"0.520";"0.324";"0.371";"0.309";"0.583";"0.181";"35";"72";"0.514"
