"2024-05-02";"15:24:02";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"2:F";"2:Fm'";"2:PAR";"2:Y (II)";"2:ETR";"2:Fo'";"2:ETR-F.";"2:qP";"2:qN";"2:qL";"2:NPQ";"2:Y (NO)";"2:Y (NPQ)";"2:Fo";"2:Fm";"2:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #2, JUNIOR-PAM-III (CFMG1100B) ";""
"2024-05-02 15:04:27.014";"1714687467014";"0";"2024-05-02";"15:04:27";"SCHS";"";"Chart start ";""
"2024-05-02 15:11:53.953";"1714687913953";"446939";"2024-05-02";"15:11:53";"SLCS";"";"Light Curve start ";""
"2024-05-02 15:11:53.953";"1714687913953";"446939";"2024-05-02";"15:11:53";"REG1";"";"#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.043, ETRmPot: 17.590 ) ";""
"2024-05-02 15:11:53.953";"1714687913953";"446939";"2024-05-02";"15:11:53";"REG2";"";"#2: alpha: 0.131, ETRm: 79.846, Ik: 608.133 ";""
"2024-05-02 15:11:55.353";"1714687915353";"448339";"2024-05-02";"15:11:55";"FO";"1";"38";"92";"0";"0.587";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"38";"92";"0.587"
"2024-05-02 15:12:15.341";"1714687935341";"468327";"2024-05-02";"15:12:15";"F";"2";"51";"80";"65";"0.363";"9.9";"36";"0.84";"0.659";"0.185";"0.465";"0.150";"0.554";"0.083";"38";"92";"0.587"
"2024-05-02 15:12:35.330";"1714687955330";"488316";"2024-05-02";"15:12:35";"F";"3";"46";"70";"90";"0.343";"13.0";"34";"0.84";"0.667";"0.333";"0.493";"0.314";"0.500";"0.157";"38";"92";"0.587"
"2024-05-02 15:12:55.319";"1714687975319";"508305";"2024-05-02";"15:12:55";"F";"4";"45";"65";"125";"0.308";"16.2";"32";"0.84";"0.606";"0.389";"0.431";"0.415";"0.489";"0.203";"38";"92";"0.587"
"2024-05-02 15:13:15.299";"1714687995299";"528285";"2024-05-02";"15:13:15";"F";"5";"42";"61";"190";"0.311";"24.8";"31";"0.84";"0.633";"0.444";"0.467";"0.508";"0.457";"0.232";"38";"92";"0.587"
"2024-05-02 15:13:35.290";"1714688015290";"548276";"2024-05-02";"15:13:35";"F";"6";"40";"55";"285";"0.273";"32.7";"30";"0.84";"0.600";"0.537";"0.450";"0.673";"0.435";"0.292";"38";"92";"0.587"
"2024-05-02 15:13:55.300";"1714688035300";"568286";"2024-05-02";"15:13:55";"F";"7";"37";"51";"420";"0.275";"48.5";"29";"0.84";"0.636";"0.593";"0.498";"0.804";"0.402";"0.323";"38";"92";"0.587"
"2024-05-02 15:14:15.290";"1714688055290";"588276";"2024-05-02";"15:14:15";"F";"8";"35";"46";"625";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"38";"92";"0.587"
"2024-05-02 15:14:35.282";"1714688075282";"608268";"2024-05-02";"15:14:35";"F";"9";"34";"43";"820";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"38";"92";"0.587"
"2024-05-02 15:14:38.863";"1714688078863";"611849";"2024-05-02";"15:14:38";"SLCE";"";"Light Curve end ";""
"2024-05-02 15:15:57.185";"1714688157185";"690171";"2024-05-02";"15:15:57";"SLCS";"";"Light Curve start ";""
"2024-05-02 15:15:57.185";"1714688157185";"690171";"2024-05-02";"15:15:57";"REG1";"";"#2: alpha: 0.165, ETRm: 95.328, Ik: 579.004   ( beta: 0.022, ETRmPot: 142.900 ) ";""
"2024-05-02 15:15:57.185";"1714688157185";"690171";"2024-05-02";"15:15:57";"REG2";"";"#2: alpha: 0.145, ETRm: 87.194, Ik: 603.311 ";""
"2024-05-02 15:15:58.570";"1714688158570";"691556";"2024-05-02";"15:15:58";"FO";"10";"48";"142";"0";"0.662";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"48";"142";"0.662"
"2024-05-02 15:16:18.559";"1714688178559";"711545";"2024-05-02";"15:16:18";"F";"11";"71";"128";"65";"0.445";"12.1";"46";"0.84";"0.695";"0.128";"0.450";"0.109";"0.500";"0.055";"48";"142";"0.662"
"2024-05-02 15:16:38.546";"1714688198546";"731532";"2024-05-02";"15:16:38";"F";"12";"66";"112";"90";"0.411";"15.5";"44";"0.84";"0.676";"0.277";"0.451";"0.268";"0.465";"0.124";"48";"142";"0.662"
"2024-05-02 15:16:58.543";"1714688218543";"751529";"2024-05-02";"15:16:58";"F";"13";"66";"102";"125";"0.353";"18.5";"42";"0.84";"0.600";"0.362";"0.382";"0.392";"0.465";"0.182";"48";"142";"0.662"
"2024-05-02 15:17:18.531";"1714688238531";"771517";"2024-05-02";"15:17:18";"F";"14";"64";"95";"190";"0.326";"26.0";"41";"0.84";"0.574";"0.426";"0.368";"0.495";"0.451";"0.223";"48";"142";"0.662"
"2024-05-02 15:17:38.515";"1714688258515";"791501";"2024-05-02";"15:17:38";"F";"15";"61";"88";"285";"0.307";"36.7";"40";"0.84";"0.563";"0.489";"0.369";"0.614";"0.430";"0.263";"48";"142";"0.662"
"2024-05-02 15:17:58.511";"1714688278511";"811497";"2024-05-02";"15:17:58";"F";"16";"56";"80";"420";"0.300";"52.9";"38";"0.84";"0.571";"0.553";"0.387";"0.775";"0.394";"0.306";"48";"142";"0.662"
"2024-05-02 15:18:18.499";"1714688298499";"831485";"2024-05-02";"15:18:18";"F";"17";"53";"71";"625";"0.254";"66.7";"36";"0.84";"0.514";"0.628";"0.349";"1.000";"0.373";"0.373";"48";"142";"0.662"
"2024-05-02 15:18:38.482";"1714688318482";"851468";"2024-05-02";"15:18:38";"F";"18";"52";"67";"820";"0.224";"77.1";"35";"0.84";"0.469";"0.660";"0.316";"1.119";"0.366";"0.410";"48";"142";"0.662"
"2024-05-02 15:18:42.321";"1714688322321";"855307";"2024-05-02";"15:18:42";"SLCE";"";"Light Curve end ";""
"2024-05-02 15:20:00.361";"1714688400361";"933347";"2024-05-02";"15:20:00";"SLCS";"";"Light Curve start ";""
"2024-05-02 15:20:00.361";"1714688400361";"933347";"2024-05-02";"15:20:00";"REG1";"";"#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.040, ETRmPot: 33.402 ) ";""
"2024-05-02 15:20:00.361";"1714688400361";"933347";"2024-05-02";"15:20:00";"REG2";"";"#2: alpha: 0.138, ETRm: 115.323, Ik: 835.166 ";""
"2024-05-02 15:20:01.743";"1714688401743";"934729";"2024-05-02";"15:20:01";"FO";"19";"45";"148";"0";"0.696";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"45";"148";"0.696"
"2024-05-02 15:20:21.741";"1714688421741";"954727";"2024-05-02";"15:20:21";"F";"20";"73";"129";"65";"0.434";"11.8";"43";"0.84";"0.651";"0.165";"0.383";"0.147";"0.493";"0.073";"45";"148";"0.696"
"2024-05-02 15:20:41.721";"1714688441721";"974707";"2024-05-02";"15:20:41";"F";"21";"70";"117";"90";"0.402";"15.2";"42";"0.84";"0.627";"0.272";"0.376";"0.265";"0.473";"0.125";"45";"148";"0.696"
"2024-05-02 15:21:01.713";"1714688461713";"994699";"2024-05-02";"15:21:01";"F";"22";"69";"111";"125";"0.378";"19.8";"41";"0.84";"0.600";"0.320";"0.357";"0.333";"0.466";"0.156";"45";"148";"0.696"
"2024-05-02 15:21:21.707";"1714688481707";"1014693";"2024-05-02";"15:21:21";"F";"23";"65";"103";"190";"0.369";"29.4";"40";"0.84";"0.603";"0.388";"0.371";"0.437";"0.439";"0.192";"45";"148";"0.696"
"2024-05-02 15:21:41.694";"1714688501694";"1034680";"2024-05-02";"15:21:41";"F";"24";"61";"90";"285";"0.322";"38.5";"38";"0.84";"0.558";"0.495";"0.348";"0.644";"0.412";"0.266";"45";"148";"0.696"
"2024-05-02 15:22:01.681";"1714688521681";"1054667";"2024-05-02";"15:22:01";"F";"25";"57";"79";"420";"0.278";"49.0";"36";"0.84";"0.512";"0.583";"0.323";"0.873";"0.385";"0.337";"45";"148";"0.696"
"2024-05-02 15:22:21.673";"1714688541673";"1074659";"2024-05-02";"15:22:21";"F";"26";"51";"70";"625";"0.271";"71.1";"34";"0.84";"0.528";"0.650";"0.352";"1.114";"0.345";"0.384";"45";"148";"0.696"
"2024-05-02 15:22:41.655";"1714688561655";"1094641";"2024-05-02";"15:22:41";"F";"27";"46";"62";"820";"0.258";"88.9";"32";"0.84";"0.533";"0.709";"0.371";"1.387";"0.311";"0.431";"45";"148";"0.696"
"2024-05-02 15:22:44.941";"1714688564941";"1097927";"2024-05-02";"15:22:44";"SLCE";"";"Light Curve end ";""
