"2023-05-29";"11:45:09";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-05-29 11:30:35.184";"1685385035184";"0";"2023-05-29";"11:30:35";"SCHS";"";"Chart start ";""
"2023-05-29 11:32:44.918";"1685385164918";"129734";"2023-05-29";"11:32:44";"SLCS";"";"Light Curve start ";""
"2023-05-29 11:32:44.918";"1685385164918";"129734";"2023-05-29";"11:32:44";"REG1";"";"#1: alpha: 0.143, ETRm: 54.527, Ik: 380.997   ( beta: 1.422, ETRmPot: 1546.144 ) ";""
"2023-05-29 11:32:44.918";"1685385164918";"129734";"2023-05-29";"11:32:44";"REG2";"";"#1: alpha: 0.124, ETRm: 55.483, Ik: 445.830 ";""
"2023-05-29 11:32:46.309";"1685385166309";"131125";"2023-05-29";"11:32:46";"FO";"1";"184";"617";"0";"0.702";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"184";"617";"0.702"
"2023-05-29 11:33:06.300";"1685385186300";"151116";"2023-05-29";"11:33:06";"F";"2";"248";"380";"65";"0.347";"9.5";"155";"0.84";"0.587";"0.480";"0.367";"0.624";"0.402";"0.251";"184";"617";"0.702"
"2023-05-29 11:33:26.289";"1685385206289";"171105";"2023-05-29";"11:33:26";"F";"3";"203";"298";"90";"0.319";"12.1";"139";"0.84";"0.597";"0.633";"0.409";"1.070";"0.329";"0.352";"184";"617";"0.702"
"2023-05-29 11:33:46.276";"1685385226276";"191092";"2023-05-29";"11:33:46";"F";"4";"190";"271";"125";"0.299";"15.7";"133";"0.84";"0.587";"0.681";"0.411";"1.277";"0.308";"0.393";"184";"617";"0.702"
"2023-05-29 11:34:06.269";"1685385246269";"211085";"2023-05-29";"11:34:06";"F";"5";"178";"247";"190";"0.279";"22.3";"127";"0.84";"0.575";"0.723";"0.410";"1.498";"0.288";"0.433";"184";"617";"0.702"
"2023-05-29 11:34:26.248";"1685385266248";"231064";"2023-05-29";"11:34:26";"F";"6";"167";"223";"285";"0.251";"30.0";"121";"0.84";"0.549";"0.764";"0.398";"1.767";"0.271";"0.478";"184";"617";"0.702"
"2023-05-29 11:34:46.243";"1685385286243";"251059";"2023-05-29";"11:34:46";"F";"7";"157";"204";"420";"0.230";"40.6";"115";"0.84";"0.528";"0.794";"0.387";"2.025";"0.254";"0.516";"184";"617";"0.702"
"2023-05-29 11:35:06.229";"1685385306229";"271045";"2023-05-29";"11:35:06";"F";"8";"150";"185";"625";"0.189";"49.6";"108";"0.84";"0.455";"0.822";"0.328";"2.335";"0.243";"0.568";"184";"617";"0.702"
"2023-05-29 11:35:26.224";"1685385326224";"291040";"2023-05-29";"11:35:26";"F";"9";"149";"176";"820";"0.153";"52.7";"105";"0.84";"0.380";"0.836";"0.268";"2.506";"0.241";"0.606";"184";"617";"0.702"
"2023-05-29 11:35:29.560";"1685385329560";"294376";"2023-05-29";"11:35:29";"SLCE";"";"Light Curve end ";""
"2023-05-29 11:37:22.859";"1685385442859";"407675";"2023-05-29";"11:37:22";"SLCS";"";"Light Curve start ";""
"2023-05-29 11:37:22.859";"1685385442859";"407675";"2023-05-29";"11:37:22";"REG1";"";"#1: alpha: 0.190, ETRm: 59.123, Ik: 310.506   ( beta: 0.121, ETRmPot: 176.106 ) ";""
"2023-05-29 11:37:22.859";"1685385442859";"407675";"2023-05-29";"11:37:22";"REG2";"";"#1: alpha: 0.164, ETRm: 59.901, Ik: 364.268 ";""
"2023-05-29 11:37:24.266";"1685385444266";"409082";"2023-05-29";"11:37:24";"FO";"10";"244";"1103";"0";"0.779";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"244";"1103";"0.779"
"2023-05-29 11:37:44.251";"1685385464251";"429067";"2023-05-29";"11:37:44";"F";"11";"448";"787";"65";"0.431";"11.8";"224";"0.84";"0.602";"0.345";"0.301";"0.402";"0.406";"0.163";"244";"1103";"0.779"
"2023-05-29 11:38:04.239";"1685385484239";"449055";"2023-05-29";"11:38:04";"F";"12";"424";"696";"90";"0.391";"14.8";"216";"0.84";"0.567";"0.441";"0.289";"0.585";"0.384";"0.225";"244";"1103";"0.779"
"2023-05-29 11:38:24.230";"1685385504230";"469046";"2023-05-29";"11:38:24";"F";"13";"411";"662";"125";"0.379";"19.9";"213";"0.84";"0.559";"0.477";"0.290";"0.666";"0.373";"0.248";"244";"1103";"0.779"
"2023-05-29 11:38:44.220";"1685385524220";"489036";"2023-05-29";"11:38:44";"F";"14";"383";"600";"190";"0.362";"28.9";"206";"0.84";"0.551";"0.541";"0.296";"0.838";"0.347";"0.291";"244";"1103";"0.779"
"2023-05-29 11:39:04.204";"1685385544204";"509020";"2023-05-29";"11:39:04";"F";"15";"357";"529";"285";"0.325";"38.9";"197";"0.84";"0.518";"0.614";"0.286";"1.085";"0.324";"0.351";"244";"1103";"0.779"
"2023-05-29 11:39:24.191";"1685385564191";"529007";"2023-05-29";"11:39:24";"F";"16";"331";"456";"420";"0.274";"48.3";"186";"0.84";"0.463";"0.686";"0.260";"1.419";"0.300";"0.426";"244";"1103";"0.779"
"2023-05-29 11:39:44.185";"1685385584185";"549001";"2023-05-29";"11:39:44";"F";"17";"317";"403";"625";"0.213";"55.9";"176";"0.84";"0.379";"0.736";"0.210";"1.737";"0.287";"0.500";"244";"1103";"0.779"
"2023-05-29 11:40:04.190";"1685385604190";"569006";"2023-05-29";"11:40:04";"F";"18";"304";"367";"820";"0.172";"59.2";"169";"0.84";"0.318";"0.769";"0.177";"2.005";"0.276";"0.552";"244";"1103";"0.779"
"2023-05-29 11:40:07.943";"1685385607943";"572759";"2023-05-29";"11:40:07";"SLCE";"";"Light Curve end ";""
"2023-05-29 11:41:19.675";"1685385679675";"644491";"2023-05-29";"11:41:19";"SLCS";"";"Light Curve start ";""
