"2022-07-27";"12:18:03";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-07-27 12:00:36.897";"1658948436897";"0";"2022-07-27";"12:00:36";"SCHS";"";"Chart start ";""
"2022-07-27 12:03:50.491";"1658948630491";"193594";"2022-07-27";"12:03:50";"SLCS";"";"Light Curve start ";""
"2022-07-27 12:03:50.491";"1658948630491";"193594";"2022-07-27";"12:03:50";"REG1";"";"#1: Error: Not enough measures for calculating regression data ";""
"2022-07-27 12:03:50.491";"1658948630491";"193594";"2022-07-27";"12:03:50";"REG2";"";"#1: Error: Not enough measures for calculating regression data ";""
"2022-07-27 12:03:51.875";"1658948631875";"194978";"2022-07-27";"12:03:51";"FO";"1";"0";"0";"0";"-";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2022-07-27 12:04:11.863";"1658948651863";"214966";"2022-07-27";"12:04:11";"F";"2";"0";"0";"65";"-";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2022-07-27 12:04:31.851";"1658948671851";"234954";"2022-07-27";"12:04:31";"F";"3";"234";"396";"90";"-";"0.409";"15.5";"-";"0.84";"-";"-";"-";"- 1.000";"-";"-";"0";"0";"-"
"2022-07-27 12:04:37.028";"1658948677028";"240131";"2022-07-27";"12:04:37";"SLCE";"";"Light Curve end ";""
"2022-07-27 12:04:43.974";"1658948683974";"247077";"2022-07-27";"12:04:43";"SLCS";"";"Light Curve start ";""
"2022-07-27 12:04:43.974";"1658948683974";"247077";"2022-07-27";"12:04:43";"REG1";"";"#1: alpha: 0.226, ETRm: 82.192, Ik: 363.950   ( beta: 0.028, ETRmPot: 121.896 ) ";""
"2022-07-27 12:04:43.974";"1658948683974";"247077";"2022-07-27";"12:04:43";"REG2";"";"#1: alpha: 0.192, ETRm: 80.541, Ik: 419.060 ";""
"2022-07-27 12:04:45.365";"1658948685365";"248468";"2022-07-27";"12:04:45";"FO";"4";"200";"412";"0";"-";"0.515";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"200";"412";"0.515"
"2022-07-27 12:05:05.349";"1658948705349";"268452";"2022-07-27";"12:05:05";"F";"5";"242";"442";"65";"-";"0.452";"12.3";"207";"0.84";"0.851";"- 0.108";"0.728";"- 0.068";"0.587";"- 0.039";"200";"412";"0.515"
"2022-07-27 12:05:25.341";"1658948725341";"288444";"2022-07-27";"12:05:25";"F";"6";"218";"407";"90";"-";"0.464";"17.5";"199";"0.84";"0.909";"0.019";"0.830";"0.012";"0.529";"0.007";"200";"412";"0.515"
"2022-07-27 12:05:45.332";"1658948745332";"308435";"2022-07-27";"12:05:45";"F";"7";"196";"366";"125";"-";"0.464";"24.4";"188";"0.84";"0.955";"0.160";"0.916";"0.126";"0.476";"0.060";"200";"412";"0.515"
"2022-07-27 12:06:05.316";"1658948765316";"328419";"2022-07-27";"12:06:05";"F";"8";"174";"312";"190";"-";"0.442";"35.3";"173";"0.84";"0.993";"0.344";"0.987";"0.321";"0.422";"0.136";"200";"412";"0.515"
"2022-07-27 12:06:25.309";"1658948785309";"348412";"2022-07-27";"12:06:25";"F";"9";"161";"266";"285";"-";"0.395";"47.3";"158";"0.84";"0.972";"0.491";"0.954";"0.549";"0.391";"0.214";"200";"412";"0.515"
"2022-07-27 12:06:45.291";"1658948805291";"368394";"2022-07-27";"12:06:45";"F";"10";"153";"233";"420";"-";"0.343";"60.5";"146";"0.84";"0.920";"0.590";"0.878";"0.768";"0.371";"0.286";"200";"412";"0.515"
"2022-07-27 12:07:05.288";"1658948825288";"388391";"2022-07-27";"12:07:05";"F";"11";"149";"204";"625";"-";"0.270";"70.9";"134";"0.84";"0.786";"0.670";"0.707";"1.020";"0.362";"0.368";"200";"412";"0.515"
"2022-07-27 12:07:25.269";"1658948845269";"408372";"2022-07-27";"12:07:25";"F";"12";"147";"191";"820";"-";"0.230";"79.2";"128";"0.84";"0.698";"0.703";"0.608";"1.157";"0.357";"0.413";"200";"412";"0.515"
"2022-07-27 12:07:28.401";"1658948848401";"411504";"2022-07-27";"12:07:28";"SLCE";"";"Light Curve end ";""
"2022-07-27 12:09:39.031";"1658948979031";"542134";"2022-07-27";"12:09:39";"SLCS";"";"Light Curve start ";""
"2022-07-27 12:09:39.031";"1658948979031";"542134";"2022-07-27";"12:09:39";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.034, ETRmPot: 57.107 ) ";""
"2022-07-27 12:09:39.031";"1658948979031";"542134";"2022-07-27";"12:09:39";"REG2";"";"#1: alpha: 0.156, ETRm: 99.256, Ik: 636.014 ";""
"2022-07-27 12:09:40.428";"1658948980428";"543531";"2022-07-27";"12:09:40";"FO";"13";"67";"238";"0";"-";"0.718";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"67";"238";"0.718"
"2022-07-27 12:10:00.414";"1658949000414";"563517";"2022-07-27";"12:10:00";"F";"14";"108";"180";"65";"-";"0.400";"10.9";"61";"0.84";"0.605";"0.304";"0.342";"0.322";"0.454";"0.146";"67";"238";"0.718"
"2022-07-27 12:10:20.398";"1658949020398";"583501";"2022-07-27";"12:10:20";"F";"15";"98";"158";"90";"-";"0.380";"14.4";"59";"0.84";"0.606";"0.421";"0.365";"0.506";"0.412";"0.208";"67";"238";"0.718"
"2022-07-27 12:10:40.387";"1658949040387";"603490";"2022-07-27";"12:10:40";"F";"16";"87";"144";"125";"-";"0.396";"20.8";"57";"0.84";"0.655";"0.491";"0.429";"0.653";"0.366";"0.238";"67";"238";"0.718"
"2022-07-27 12:11:00.380";"1658949060380";"623483";"2022-07-27";"12:11:00";"F";"17";"75";"123";"190";"-";"0.390";"31.1";"53";"0.84";"0.686";"0.591";"0.485";"0.935";"0.315";"0.295";"67";"238";"0.718"
"2022-07-27 12:11:20.370";"1658949080370";"643473";"2022-07-27";"12:11:20";"F";"18";"67";"104";"285";"-";"0.356";"42.6";"49";"0.84";"0.673";"0.678";"0.492";"1.288";"0.282";"0.362";"67";"238";"0.718"
"2022-07-27 12:11:40.352";"1658949100352";"663455";"2022-07-27";"12:11:40";"F";"19";"59";"86";"420";"-";"0.314";"55.4";"45";"0.84";"0.659";"0.760";"0.503";"1.767";"0.248";"0.438";"67";"238";"0.718"
"2022-07-27 12:12:00.340";"1658949120340";"683443";"2022-07-27";"12:12:00";"F";"20";"53";"73";"625";"-";"0.274";"71.9";"41";"0.84";"0.625";"0.813";"0.483";"2.260";"0.223";"0.503";"67";"238";"0.718"
"2022-07-27 12:12:20.330";"1658949140330";"703433";"2022-07-27";"12:12:20";"F";"21";"50";"67";"820";"-";"0.254";"87.5";"39";"0.84";"0.607";"0.836";"0.473";"2.552";"0.210";"0.536";"67";"238";"0.718"
"2022-07-27 12:12:24.136";"1658949144136";"707239";"2022-07-27";"12:12:24";"SLCE";"";"Light Curve end ";""
"2022-07-27 12:14:35.548";"1658949275548";"838651";"2022-07-27";"12:14:35";"SLCS";"";"Light Curve start ";""
"2022-07-27 12:14:35.548";"1658949275548";"838651";"2022-07-27";"12:14:35";"REG1";"";"#1: alpha: 0.215, ETRm: 64.708, Ik: 300.329   ( beta: 0.023, ETRmPot: 92.003 ) ";""
"2022-07-27 12:14:35.548";"1658949275548";"838651";"2022-07-27";"12:14:35";"REG2";"";"#1: alpha: 0.181, ETRm: 64.173, Ik: 354.640 ";""
"2022-07-27 12:14:36.943";"1658949276943";"840046";"2022-07-27";"12:14:36";"FO";"22";"200";"824";"0";"-";"0.757";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"200";"824";"0.757"
"2022-07-27 12:14:56.929";"1658949296929";"860032";"2022-07-27";"12:14:56";"F";"23";"284";"502";"65";"-";"0.434";"11.8";"173";"0.84";"0.663";"0.473";"0.404";"0.641";"0.345";"0.221";"200";"824";"0.757"
"2022-07-27 12:15:16.917";"1658949316917";"880020";"2022-07-27";"12:15:16";"F";"24";"249";"441";"90";"-";"0.435";"16.4";"165";"0.84";"0.696";"0.558";"0.461";"0.868";"0.302";"0.263";"200";"824";"0.757"
"2022-07-27 12:15:36.904";"1658949336904";"900007";"2022-07-27";"12:15:36";"F";"25";"222";"390";"125";"-";"0.431";"22.6";"157";"0.84";"0.721";"0.627";"0.510";"1.113";"0.269";"0.300";"200";"824";"0.757"
"2022-07-27 12:15:56.893";"1658949356893";"919996";"2022-07-27";"12:15:56";"F";"26";"199";"333";"190";"-";"0.402";"32.1";"147";"0.84";"0.720";"0.702";"0.532";"1.474";"0.242";"0.356";"200";"824";"0.757"
"2022-07-27 12:16:16.890";"1658949376890";"939993";"2022-07-27";"12:16:16";"F";"27";"184";"284";"285";"-";"0.352";"42.1";"137";"0.84";"0.680";"0.764";"0.506";"1.901";"0.223";"0.425";"200";"824";"0.757"
"2022-07-27 12:16:36.877";"1658949396877";"959980";"2022-07-27";"12:16:36";"F";"28";"175";"249";"420";"-";"0.297";"52.4";"128";"0.84";"0.612";"0.806";"0.448";"2.309";"0.212";"0.491";"200";"824";"0.757"
"2022-07-27 12:16:56.868";"1658949416868";"979971";"2022-07-27";"12:16:56";"F";"29";"171";"221";"625";"-";"0.226";"59.3";"120";"0.84";"0.495";"0.838";"0.347";"2.729";"0.208";"0.566";"200";"824";"0.757"
"2022-07-27 12:17:16.851";"1658949436851";"999954";"2022-07-27";"12:17:16";"F";"30";"170";"209";"820";"-";"0.187";"64.4";"117";"0.84";"0.424";"0.853";"0.292";"2.943";"0.206";"0.607";"200";"824";"0.757"
"2022-07-27 12:17:20.834";"1658949440834";"1003937";"2022-07-27";"12:17:20";"SLCE";"";"Light Curve end ";""
