"2023-08-18";"11:32:42";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 11:07:26.473";"1692382046473";"0";"2023-08-18";"11:07:26";"SCHS";"";"Chart start ";""
"2023-08-18 11:18:33.581";"1692382713581";"667108";"2023-08-18";"11:18:33";"SLCS";"";"Light Curve start ";""
"2023-08-18 11:18:33.581";"1692382713581";"667108";"2023-08-18";"11:18:33";"REG1";"";"#1: alpha: 0.177, ETRm: 41.462, Ik: 234.539   ( beta: 0.019, ETRmPot: 59.077 ) ";""
"2023-08-18 11:18:33.581";"1692382713581";"667108";"2023-08-18";"11:18:33";"REG2";"";"#1: alpha: 0.147, ETRm: 41.433, Ik: 282.344 ";""
"2023-08-18 11:18:34.980";"1692382714980";"668507";"2023-08-18";"11:18:34";"FO";"1";"257";"1151";"0";"0.777";"0.0";"-";"-";"-";"-";"-";"-";"-";"257";"1151";"0.777"
"2023-08-18 11:18:54.960";"1692382734960";"688487";"2023-08-18";"11:18:54";"F";"2";"428";"726";"65";"0.410";"11.2";"227";"0.597";"0.442";"0.317";"0.585";"0.372";"0.218";"257";"1151";"0.777"
"2023-08-18 11:19:14.950";"1692382754950";"708477";"2023-08-18";"11:19:14";"F";"3";"383";"598";"90";"0.360";"13.6";"213";"0.558";"0.569";"0.310";"0.925";"0.333";"0.307";"257";"1151";"0.777"
"2023-08-18 11:19:34.938";"1692382774938";"728465";"2023-08-18";"11:19:34";"F";"4";"357";"536";"125";"0.334";"17.5";"205";"0.541";"0.630";"0.311";"1.147";"0.310";"0.356";"257";"1151";"0.777"
"2023-08-18 11:19:54.927";"1692382794927";"748454";"2023-08-18";"11:19:54";"F";"5";"342";"487";"190";"0.298";"23.8";"197";"0.500";"0.676";"0.288";"1.363";"0.297";"0.405";"257";"1151";"0.777"
"2023-08-18 11:20:14.917";"1692382814917";"768444";"2023-08-18";"11:20:14";"F";"6";"333";"447";"285";"0.255";"30.5";"190";"0.444";"0.713";"0.253";"1.575";"0.289";"0.456";"257";"1151";"0.777"
"2023-08-18 11:20:34.903";"1692382834903";"788430";"2023-08-18";"11:20:34";"F";"7";"326";"413";"420";"0.211";"37.2";"184";"0.380";"0.744";"0.214";"1.787";"0.283";"0.506";"257";"1151";"0.777"
"2023-08-18 11:20:54.892";"1692382854892";"808419";"2023-08-18";"11:20:54";"F";"8";"319";"378";"625";"0.156";"41.0";"176";"0.292";"0.774";"0.161";"2.045";"0.277";"0.567";"257";"1151";"0.777"
"2023-08-18 11:21:14.888";"1692382874888";"828415";"2023-08-18";"11:21:14";"F";"9";"309";"351";"820";"0.120";"41.3";"170";"0.232";"0.798";"0.128";"2.279";"0.268";"0.612";"257";"1151";"0.777"
"2023-08-18 11:21:18.056";"1692382878056";"831583";"2023-08-18";"11:21:18";"SLCE";"";"Light Curve end ";""
