"2023-08-18";"14:28:09";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 14:02:30.192";"1692392550192";"0";"2023-08-18";"14:02:30";"SCHS";"";"Chart start ";""
"2023-08-18 14:16:08.045";"1692393368045";"817853";"2023-08-18";"14:16:08";"SLCS";"";"Light Curve start ";""
"2023-08-18 14:16:08.045";"1692393368045";"817853";"2023-08-18";"14:16:08";"REG1";"";"#1: alpha: 0.187, ETRm: 60.375, Ik: 323.132   ( beta: 2.316, ETRmPot: 2115.900 ) ";""
"2023-08-18 14:16:08.045";"1692393368045";"817853";"2023-08-18";"14:16:08";"REG2";"";"#1: alpha: 0.163, ETRm: 61.513, Ik: 378.535 ";""
"2023-08-18 14:16:09.436";"1692393369436";"819244";"2023-08-18";"14:16:09";"FO";"1";"214";"944";"0";"0.773";"0.0";"-";"-";"-";"-";"-";"-";"-";"214";"944";"0.773"
"2023-08-18 14:16:29.425";"1692393389425";"839233";"2023-08-18";"14:16:29";"F";"2";"332";"551";"65";"0.397";"10.8";"184";"0.597";"0.497";"0.331";"0.713";"0.352";"0.251";"214";"944";"0.773"
"2023-08-18 14:16:49.416";"1692393409416";"859224";"2023-08-18";"14:16:49";"F";"3";"297";"478";"90";"0.379";"14.3";"175";"0.597";"0.585";"0.352";"0.975";"0.315";"0.306";"214";"944";"0.773"
"2023-08-18 14:17:09.402";"1692393429402";"879210";"2023-08-18";"14:17:09";"F";"4";"278";"447";"125";"0.378";"19.8";"171";"0.612";"0.622";"0.376";"1.112";"0.294";"0.328";"214";"944";"0.773"
"2023-08-18 14:17:29.394";"1692393449394";"899202";"2023-08-18";"14:17:29";"F";"5";"255";"396";"190";"0.356";"28.4";"163";"0.605";"0.681";"0.387";"1.384";"0.270";"0.374";"214";"944";"0.773"
"2023-08-18 14:17:49.381";"1692393469381";"919189";"2023-08-18";"14:17:49";"F";"6";"227";"341";"285";"0.334";"40.0";"153";"0.606";"0.742";"0.408";"1.768";"0.240";"0.426";"214";"944";"0.773"
"2023-08-18 14:18:09.375";"1692393489375";"939183";"2023-08-18";"14:18:09";"F";"7";"206";"283";"420";"0.272";"48.0";"140";"0.538";"0.804";"0.366";"2.336";"0.218";"0.510";"214";"944";"0.773"
"2023-08-18 14:18:29.365";"1692393509365";"959173";"2023-08-18";"14:18:29";"F";"8";"192";"246";"625";"0.220";"57.8";"130";"0.466";"0.841";"0.316";"2.837";"0.203";"0.577";"214";"944";"0.773"
"2023-08-18 14:18:49.348";"1692393529348";"979156";"2023-08-18";"14:18:49";"F";"9";"185";"224";"820";"0.174";"59.9";"124";"0.390";"0.863";"0.261";"3.214";"0.196";"0.630";"214";"944";"0.773"
"2023-08-18 14:18:53.182";"1692393533182";"982990";"2023-08-18";"14:18:53";"SLCE";"";"Light Curve end ";""
"2023-08-18 14:20:35.578";"1692393635578";"1085386";"2023-08-18";"14:20:35";"SLCS";"";"Light Curve start ";""
"2023-08-18 14:20:35.578";"1692393635578";"1085386";"2023-08-18";"14:20:35";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.014, ETRmPot: 46.010 ) ";""
"2023-08-18 14:20:35.578";"1692393635578";"1085386";"2023-08-18";"14:20:35";"REG2";"";"#1: alpha: 0.122, ETRm: 57.025, Ik: 468.896 ";""
"2023-08-18 14:20:36.975";"1692393636975";"1086783";"2023-08-18";"14:20:36";"FO";"10";"183";"529";"0";"0.654";"0.0";"-";"-";"-";"-";"-";"-";"-";"183";"529";"0.654"
"2023-08-18 14:20:56.962";"1692393656962";"1106770";"2023-08-18";"14:20:56";"F";"11";"172";"249";"65";"0.309";"8.4";"132";"0.658";"0.662";"0.505";"1.124";"0.325";"0.366";"183";"529";"0.654"
"2023-08-18 14:21:16.948";"1692393676948";"1126756";"2023-08-18";"14:21:16";"F";"12";"157";"222";"90";"0.293";"11.1";"124";"0.663";"0.717";"0.524";"1.383";"0.297";"0.410";"183";"529";"0.654"
"2023-08-18 14:21:36.934";"1692393696934";"1146742";"2023-08-18";"14:21:36";"F";"13";"149";"210";"125";"0.290";"15.2";"120";"0.678";"0.740";"0.546";"1.519";"0.282";"0.428";"183";"529";"0.654"
"2023-08-18 14:21:56.945";"1692393716945";"1166753";"2023-08-18";"14:21:56";"F";"14";"142";"201";"190";"0.294";"23.5";"117";"0.702";"0.757";"0.578";"1.632";"0.268";"0.438";"183";"529";"0.654"
"2023-08-18 14:22:16.939";"1692393736939";"1186747";"2023-08-18";"14:22:16";"F";"15";"137";"185";"285";"0.259";"31.0";"111";"0.649";"0.786";"0.526";"1.859";"0.259";"0.482";"183";"529";"0.654"
"2023-08-18 14:22:36.927";"1692393756927";"1206735";"2023-08-18";"14:22:36";"F";"16";"130";"168";"420";"0.226";"39.9";"105";"0.603";"0.818";"0.487";"2.149";"0.246";"0.528";"183";"529";"0.654"
"2023-08-18 14:22:56.917";"1692393776917";"1226725";"2023-08-18";"14:22:56";"F";"17";"124";"151";"625";"0.179";"47.0";"98";"0.509";"0.847";"0.402";"2.503";"0.234";"0.587";"183";"529";"0.654"
"2023-08-18 14:23:16.899";"1692393796899";"1246707";"2023-08-18";"14:23:16";"F";"18";"119";"142";"820";"0.162";"55.8";"94";"0.479";"0.861";"0.378";"2.725";"0.225";"0.613";"183";"529";"0.654"
"2023-08-18 14:23:20.368";"1692393800368";"1250176";"2023-08-18";"14:23:20";"SLCE";"";"Light Curve end ";""
"2023-08-18 14:25:03.962";"1692393903962";"1353770";"2023-08-18";"14:25:03";"SLCS";"";"Light Curve start ";""
"2023-08-18 14:25:03.962";"1692393903962";"1353770";"2023-08-18";"14:25:03";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.019, ETRmPot: 28.074 ) ";""
"2023-08-18 14:25:03.962";"1692393903962";"1353770";"2023-08-18";"14:25:03";"REG2";"";"#1: alpha: 0.108, ETRm: 48.623, Ik: 452.246 ";""
"2023-08-18 14:25:05.350";"1692393905350";"1355158";"2023-08-18";"14:25:05";"FO";"19";"207";"511";"0";"0.595";"0.0";"-";"-";"-";"-";"-";"-";"-";"207";"511";"0.595"
"2023-08-18 14:25:25.345";"1692393925345";"1375153";"2023-08-18";"14:25:25";"F";"20";"165";"224";"65";"0.263";"7.2";"136";"0.670";"0.711";"0.552";"1.281";"0.323";"0.414";"207";"511";"0.595"
"2023-08-18 14:25:45.331";"1692393945331";"1395139";"2023-08-18";"14:25:45";"F";"21";"148";"201";"90";"0.264";"10.0";"127";"0.716";"0.757";"0.614";"1.542";"0.290";"0.446";"207";"511";"0.595"
"2023-08-18 14:26:05.321";"1692393965321";"1415129";"2023-08-18";"14:26:05";"F";"22";"141";"192";"125";"0.266";"14.0";"124";"0.750";"0.776";"0.660";"1.661";"0.276";"0.458";"207";"511";"0.595"
"2023-08-18 14:26:25.313";"1692393985313";"1435121";"2023-08-18";"14:26:25";"F";"23";"136";"183";"190";"0.257";"20.5";"120";"0.746";"0.793";"0.658";"1.792";"0.266";"0.477";"207";"511";"0.595"
"2023-08-18 14:26:45.293";"1692394005293";"1455101";"2023-08-18";"14:26:45";"F";"24";"131";"172";"285";"0.238";"28.5";"115";"0.719";"0.812";"0.631";"1.971";"0.256";"0.506";"207";"511";"0.595"
"2023-08-18 14:27:05.290";"1692394025290";"1475098";"2023-08-18";"14:27:05";"F";"25";"126";"156";"420";"0.192";"33.9";"108";"0.625";"0.842";"0.536";"2.276";"0.247";"0.561";"207";"511";"0.595"
"2023-08-18 14:27:25.271";"1692394045271";"1495079";"2023-08-18";"14:27:25";"F";"26";"122";"143";"625";"0.147";"38.6";"101";"0.500";"0.862";"0.414";"2.573";"0.239";"0.614";"207";"511";"0.595"
"2023-08-18 14:27:45.259";"1692394065259";"1515067";"2023-08-18";"14:27:45";"F";"27";"119";"139";"820";"0.144";"49.6";"99";"0.500";"0.868";"0.416";"2.676";"0.233";"0.623";"207";"511";"0.595"
"2023-08-18 14:27:48.488";"1692394068488";"1518296";"2023-08-18";"14:27:48";"SLCE";"";"Light Curve end ";""
