"2023-08-18";"10:46:23";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 10:20:53.877";"1692379253877";"0";"2023-08-18";"10:20:53";"SCHS";"";"Chart start ";""
"2023-08-18 10:32:09.789";"1692379929789";"675912";"2023-08-18";"10:32:09";"SLCS";"";"Light Curve start ";""
"2023-08-18 10:32:11.185";"1692379931185";"677308";"2023-08-18";"10:32:11";"FO";"1";"9";"21";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"21";"-"
"2023-08-18 10:32:31.174";"1692379951174";"697297";"2023-08-18";"10:32:31";"F";"2";"9";"20";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"21";"-"
"2023-08-18 10:32:47.954";"1692379967954";"714077";"2023-08-18";"10:32:47";"SLCE";"";"Light Curve end ";""
"2023-08-18 10:33:48.756";"1692380028756";"774879";"2023-08-18";"10:33:48";"SLCS";"";"Light Curve start ";""
"2023-08-18 10:33:48.756";"1692380028756";"774879";"2023-08-18";"10:33:48";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 68.909 ) ";""
"2023-08-18 10:33:48.756";"1692380028756";"774879";"2023-08-18";"10:33:48";"REG2";"";"#1: alpha: 0.168, ETRm: 65.951, Ik: 392.258 ";""
"2023-08-18 10:33:50.147";"1692380030147";"776270";"2023-08-18";"10:33:50";"FO";"3";"122";"506";"0";"0.759";"0.0";"-";"-";"-";"-";"-";"-";"-";"122";"506";"0.759"
"2023-08-18 10:34:10.135";"1692380050135";"796258";"2023-08-18";"10:34:10";"F";"4";"190";"350";"65";"0.457";"12.5";"110";"0.667";"0.375";"0.386";"0.446";"0.375";"0.168";"122";"506";"0.759"
