"2023-08-18";"13:46:02";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 13:20:16.783";"1692390016783";"0";"2023-08-18";"13:20:16";"SCHS";"";"Chart start ";""
"2023-08-18 13:31:09.119";"1692390669119";"652336";"2023-08-18";"13:31:09";"SLCS";"";"Light Curve start ";""
"2023-08-18 13:31:09.119";"1692390669119";"652336";"2023-08-18";"13:31:09";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.015, ETRmPot: 27.619 ) ";""
"2023-08-18 13:31:09.119";"1692390669119";"652336";"2023-08-18";"13:31:09";"REG2";"";"#1: alpha: 0.099, ETRm: 42.493, Ik: 431.041 ";""
"2023-08-18 13:31:10.522";"1692390670522";"653739";"2023-08-18";"13:31:10";"FO";"1";"223";"643";"0";"0.653";"0.0";"-";"-";"-";"-";"-";"-";"-";"223";"643";"0.653"
"2023-08-18 13:31:30.505";"1692390690505";"673722";"2023-08-18";"13:31:30";"F";"2";"202";"276";"65";"0.268";"7.3";"153";"0.602";"0.707";"0.456";"1.330";"0.314";"0.418";"223";"643";"0.653"
"2023-08-18 13:31:50.503";"1692390710503";"693720";"2023-08-18";"13:31:50";"F";"3";"179";"235";"90";"0.238";"9.0";"139";"0.583";"0.771";"0.453";"1.736";"0.278";"0.484";"223";"643";"0.653"
"2023-08-18 13:32:10.492";"1692390730492";"713709";"2023-08-18";"13:32:10";"F";"4";"168";"237";"125";"0.291";"15.3";"140";"0.711";"0.769";"0.593";"1.713";"0.261";"0.448";"223";"643";"0.653"
"2023-08-18 13:32:30.476";"1692390750476";"733693";"2023-08-18";"13:32:30";"F";"5";"166";"214";"190";"0.224";"17.9";"132";"0.585";"0.805";"0.465";"2.005";"0.258";"0.518";"223";"643";"0.653"
"2023-08-18 13:32:50.467";"1692390770467";"753684";"2023-08-18";"13:32:50";"F";"6";"166";"205";"285";"0.190";"22.7";"128";"0.506";"0.817";"0.390";"2.137";"0.258";"0.552";"223";"643";"0.653"
"2023-08-18 13:33:10.458";"1692390790458";"773675";"2023-08-18";"13:33:10";"F";"7";"167";"204";"420";"0.181";"31.9";"128";"0.487";"0.819";"0.373";"2.152";"0.260";"0.559";"223";"643";"0.653"
"2023-08-18 13:33:30.438";"1692390810438";"793655";"2023-08-18";"13:33:30";"F";"8";"171";"198";"625";"0.136";"35.7";"125";"0.370";"0.826";"0.270";"2.247";"0.266";"0.598";"223";"643";"0.653"
