"2023-08-18";"12:18:29";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 11:54:43.039";"1692384883039";"0";"2023-08-18";"11:54:43";"SCHS";"";"Chart start ";""
"2023-08-18 12:06:23.265";"1692385583265";"700226";"2023-08-18";"12:06:23";"SLCS";"";"Light Curve start ";""
"2023-08-18 12:06:23.265";"1692385583265";"700226";"2023-08-18";"12:06:23";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.009, ETRmPot: 56.194 ) ";""
"2023-08-18 12:06:23.265";"1692385583265";"700226";"2023-08-18";"12:06:23";"REG2";"";"#1: alpha: 0.162, ETRm: 61.018, Ik: 376.448 ";""
"2023-08-18 12:06:24.664";"1692385584664";"701625";"2023-08-18";"12:06:24";"FO";"1";"223";"748";"0";"0.702";"0.0";"-";"-";"-";"-";"-";"-";"-";"223";"748";"0.702"
"2023-08-18 12:06:44.646";"1692385604646";"721607";"2023-08-18";"12:06:44";"F";"2";"253";"460";"65";"0.450";"12.3";"188";"0.761";"0.482";"0.565";"0.626";"0.338";"0.212";"223";"748";"0.702"
"2023-08-18 12:07:04.635";"1692385624635";"741596";"2023-08-18";"12:07:04";"F";"3";"247";"420";"90";"0.412";"15.6";"181";"0.724";"0.545";"0.531";"0.781";"0.330";"0.258";"223";"748";"0.702"
"2023-08-18 12:07:24.629";"1692385644629";"761590";"2023-08-18";"12:07:24";"F";"4";"241";"401";"125";"0.399";"20.9";"177";"0.714";"0.573";"0.524";"0.865";"0.322";"0.279";"223";"748";"0.702"
"2023-08-18 12:07:44.620";"1692385664620";"781581";"2023-08-18";"12:07:44";"F";"5";"231";"362";"190";"0.362";"28.9";"169";"0.679";"0.632";"0.497";"1.066";"0.309";"0.329";"223";"748";"0.702"
"2023-08-18 12:08:04.601";"1692385684601";"801562";"2023-08-18";"12:08:04";"F";"6";"228";"334";"285";"0.317";"37.9";"163";"0.620";"0.674";"0.443";"1.240";"0.305";"0.378";"223";"748";"0.702"
"2023-08-18 12:08:24.596";"1692385704596";"821557";"2023-08-18";"12:08:24";"F";"7";"231";"316";"420";"0.269";"47.5";"158";"0.538";"0.699";"0.368";"1.367";"0.309";"0.422";"223";"748";"0.702"
"2023-08-18 12:08:44.585";"1692385724585";"841546";"2023-08-18";"12:08:44";"F";"8";"238";"302";"625";"0.212";"55.7";"155";"0.435";"0.720";"0.283";"1.477";"0.318";"0.470";"223";"748";"0.702"
"2023-08-18 12:09:04.573";"1692385744573";"861534";"2023-08-18";"12:09:04";"F";"9";"240";"292";"820";"0.178";"61.3";"152";"0.371";"0.733";"0.235";"1.562";"0.321";"0.501";"223";"748";"0.702"
"2023-08-18 12:09:07.767";"1692385747767";"864728";"2023-08-18";"12:09:07";"SLCE";"";"Light Curve end ";""
"2023-08-18 12:10:49.361";"1692385849361";"966322";"2023-08-18";"12:10:49";"SLCS";"";"Light Curve start ";""
"2023-08-18 12:10:49.361";"1692385849361";"966322";"2023-08-18";"12:10:49";"REG1";"";"#1: alpha: 0.147, ETRm: 55.753, Ik: 378.307   ( beta: 1.273, ETRmPot: 1384.600 ) ";""
"2023-08-18 12:10:49.361";"1692385849361";"966322";"2023-08-18";"12:10:49";"REG2";"";"#1: alpha: 0.128, ETRm: 56.727, Ik: 442.384 ";""
"2023-08-18 12:10:50.757";"1692385850757";"967718";"2023-08-18";"12:10:50";"FO";"10";"175";"570";"0";"0.693";"0.0";"-";"-";"-";"-";"-";"-";"-";"175";"570";"0.693"
"2023-08-18 12:11:10.738";"1692385870738";"987699";"2023-08-18";"12:11:10";"F";"11";"214";"326";"65";"0.344";"9.4";"142";"0.609";"0.534";"0.404";"0.748";"0.375";"0.281";"175";"570";"0.693"
"2023-08-18 12:11:30.727";"1692385890727";"1007688";"2023-08-18";"12:11:30";"F";"12";"180";"263";"90";"0.316";"11.9";"129";"0.619";"0.661";"0.444";"1.167";"0.316";"0.368";"175";"570";"0.693"
"2023-08-18 12:11:50.715";"1692385910715";"1027676";"2023-08-18";"12:11:50";"F";"13";"160";"231";"125";"0.307";"16.1";"121";"0.645";"0.722";"0.488";"1.468";"0.281";"0.412";"175";"570";"0.693"
"2023-08-18 12:12:10.710";"1692385930710";"1047671";"2023-08-18";"12:12:10";"F";"14";"144";"201";"190";"0.284";"22.7";"112";"0.640";"0.775";"0.498";"1.836";"0.253";"0.463";"175";"570";"0.693"
"2023-08-18 12:12:30.696";"1692385950696";"1067657";"2023-08-18";"12:12:30";"F";"15";"135";"181";"285";"0.254";"30.4";"105";"0.605";"0.808";"0.471";"2.149";"0.237";"0.509";"175";"570";"0.693"
