"2024-04-16";"17:28:12";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 14:50:10.625";"1692395410625";"0";"2023-08-18";"14:50:10";"SCHS";"";"Chart start ";""
"2023-08-18 15:02:15.894";"1692396135894";"725269";"2023-08-18";"15:02:15";"SLCS";"";"Light Curve start ";""
"2023-08-18 15:02:15.894";"1692396135894";"725269";"2023-08-18";"15:02:15";"REG1";"";"#1: alpha: 0.160, ETRm: 59.275, Ik: 371.345   ( beta: 0.007, ETRmPot: 70.848 ) ";" "
"2023-08-18 15:02:15.894";"1692396135894";"725269";"2023-08-18";"15:02:15";"REG2";"";"#1: alpha: 0.134, ETRm: 56.437, Ik: 421.740 ";" "
"2023-08-18 15:02:17.295";"1692396137295";"726670";"2023-08-18";"15:02:17";"FO";"1";"168";"432";"0";"0.611";"0.0";"-";"-";"-";"-";"-";"-";"-";"168";"432";"0.611"
"2023-08-18 15:02:37.283";"1692396157283";"746658";"2023-08-18";"15:02:37";"F";"2";"150";"235";"65";"0.362";"9.9";"127";"0.787";"0.591";"0.666";"0.838";"0.347";"0.291";"168";"432";"0.611"
"2023-08-18 15:02:57.276";"1692396177276";"766651";"2023-08-18";"15:02:57";"F";"3";"139";"209";"90";"0.335";"12.7";"119";"0.778";"0.659";"0.666";"1.067";"0.322";"0.343";"168";"432";"0.611"
"2023-08-18 15:03:17.265";"1692396197265";"786640";"2023-08-18";"15:03:17";"F";"4";"133";"196";"125";"0.321";"16.9";"114";"0.768";"0.689";"0.658";"1.204";"0.308";"0.371";"168";"432";"0.611"
"2023-08-18 15:03:37.255";"1692396217255";"806630";"2023-08-18";"15:03:37";"F";"5";"127";"183";"190";"0.306";"24.4";"110";"0.767";"0.723";"0.664";"1.361";"0.294";"0.400";"168";"432";"0.611"
