"2022-08-10";"11:52:43";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-08-10 11:32:53.152";"1660156373152";"0";"2022-08-10";"11:32:53";"SCHS";"";"Chart start ";""
"2022-08-10 11:38:32.554";"1660156712554";"339402";"2022-08-10";"11:38:32";"SLCS";"";"Light Curve start ";""
"2022-08-10 11:38:32.554";"1660156712554";"339402";"2022-08-10";"11:38:32";"REG1";"";"#1: alpha: 0.123, ETRm: 68.079, Ik: 552.332   ( beta: 0.681, ETRmPot: 1113.739 ) ";""
"2022-08-10 11:38:32.554";"1660156712554";"339402";"2022-08-10";"11:38:32";"REG2";"";"#1: alpha: 0.109, ETRm: 66.484, Ik: 608.067 ";""
"2022-08-10 11:38:33.948";"1660156713948";"340796";"2022-08-10";"11:38:33";"FO";"1";"150";"359";"0";"-";"0.582";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"150";"359";"0.582"
"2022-08-10 11:38:53.932";"1660156733932";"360780";"2022-08-10";"11:38:53";"F";"2";"140";"204";"65";"-";"0.314";"8.6";"114";"0.84";"0.711";"0.569";"0.579";"0.760";"0.390";"0.296";"150";"359";"0.582"
"2022-08-10 11:39:13.924";"1660156753924";"380772";"2022-08-10";"11:39:13";"F";"3";"120";"168";"90";"-";"0.286";"10.8";"102";"0.84";"0.727";"0.684";"0.618";"1.137";"0.334";"0.380";"150";"359";"0.582"
"2022-08-10 11:39:33.905";"1660156773905";"400753";"2022-08-10";"11:39:33";"F";"4";"113";"155";"125";"-";"0.271";"14.2";"97";"0.84";"0.724";"0.722";"0.621";"1.316";"0.315";"0.414";"150";"359";"0.582"
"2022-08-10 11:39:53.902";"1660156793902";"420750";"2022-08-10";"11:39:53";"F";"5";"109";"146";"190";"-";"0.253";"20.2";"93";"0.84";"0.698";"0.746";"0.596";"1.459";"0.304";"0.443";"150";"359";"0.582"
"2022-08-10 11:40:13.890";"1660156813890";"440738";"2022-08-10";"11:40:13";"F";"6";"106";"137";"285";"-";"0.226";"27.1";"89";"0.84";"0.646";"0.770";"0.542";"1.620";"0.295";"0.479";"150";"359";"0.582"
"2022-08-10 11:40:33.877";"1660156833877";"460725";"2022-08-10";"11:40:33";"F";"7";"103";"132";"420";"-";"0.220";"38.8";"87";"0.84";"0.644";"0.785";"0.544";"1.720";"0.287";"0.493";"150";"359";"0.582"
"2022-08-10 11:40:53.867";"1660156853867";"480715";"2022-08-10";"11:40:53";"F";"8";"100";"126";"625";"-";"0.206";"54.1";"85";"0.84";"0.634";"0.804";"0.539";"1.849";"0.279";"0.515";"150";"359";"0.582"
