"2022-09-08";"11:26:08";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-09-08 11:00:21.918";"1662660021918";"0";"2022-09-08";"11:00:21";"SCHS";"";"Chart start ";""
"2022-09-08 11:02:47.807";"1662660167807";"145889";"2022-09-08";"11:02:47";"SLCS";"";"Light Curve start ";""
"2022-09-08 11:02:47.807";"1662660167807";"145889";"2022-09-08";"11:02:47";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 26.115 ) ";""
"2022-09-08 11:02:47.807";"1662660167807";"145889";"2022-09-08";"11:02:47";"REG2";"";"#1: alpha: 0.095, ETRm: 29.378, Ik: 308.206 ";""
"2022-09-08 11:02:49.196";"1662660169196";"147278";"2022-09-08";"11:02:49";"FO";"1";"245";"896";"0";"-";"0.727";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"245";"896";"0.727"
"2022-09-08 11:03:09.179";"1662660189179";"167261";"2022-09-08";"11:03:09";"F";"2";"319";"441";"65";"-";"0.277";"7.6";"191";"0.84";"0.488";"0.616";"0.292";"1.032";"0.356";"0.367";"245";"896";"0.727"
"2022-09-08 11:03:29.174";"1662660209174";"187256";"2022-09-08";"11:03:29";"F";"3";"295";"390";"90";"-";"0.244";"9.2";"181";"0.84";"0.455";"0.679";"0.279";"1.297";"0.329";"0.427";"245";"896";"0.727"
"2022-09-08 11:03:49.156";"1662660229156";"207238";"2022-09-08";"11:03:49";"F";"4";"286";"370";"125";"-";"0.227";"11.9";"176";"0.84";"0.433";"0.702";"0.266";"1.422";"0.319";"0.454";"245";"896";"0.727"
"2022-09-08 11:04:09.147";"1662660249147";"227229";"2022-09-08";"11:04:09";"F";"5";"287";"358";"190";"-";"0.198";"15.8";"174";"0.84";"0.386";"0.717";"0.234";"1.503";"0.320";"0.482";"245";"896";"0.727"
"2022-09-08 11:04:29.134";"1662660269134";"247216";"2022-09-08";"11:04:29";"F";"6";"293";"354";"285";"-";"0.172";"20.6";"173";"0.84";"0.337";"0.722";"0.199";"1.531";"0.327";"0.501";"245";"896";"0.727"
"2022-09-08 11:04:49.131";"1662660289131";"267213";"2022-09-08";"11:04:49";"F";"7";"297";"346";"420";"-";"0.142";"25.0";"171";"0.84";"0.280";"0.731";"0.161";"1.590";"0.331";"0.527";"245";"896";"0.727"
"2022-09-08 11:05:09.119";"1662660309119";"287201";"2022-09-08";"11:05:09";"F";"8";"295";"330";"625";"-";"0.106";"27.8";"167";"0.84";"0.215";"0.750";"0.122";"1.715";"0.329";"0.565";"245";"896";"0.727"
"2022-09-08 11:05:29.101";"1662660329101";"307183";"2022-09-08";"11:05:29";"F";"9";"281";"308";"820";"-";"0.088";"30.3";"161";"0.84";"0.184";"0.774";"0.105";"1.909";"0.314";"0.598";"245";"896";"0.727"
"2022-09-08 11:05:32.439";"1662660332439";"310521";"2022-09-08";"11:05:32";"SLCE";"";"Light Curve end ";""
"2022-09-08 11:10:16.141";"1662660616141";"594223";"2022-09-08";"11:10:16";"SLCS";"";"Light Curve start ";""
"2022-09-08 11:10:16.141";"1662660616141";"594223";"2022-09-08";"11:10:16";"REG1";"";"#1: alpha: 0.173, ETRm: 70.712, Ik: 409.676   ( beta: 0.816, ETRmPot: 1003.515 ) ";""
"2022-09-08 11:10:16.141";"1662660616141";"594223";"2022-09-08";"11:10:16";"REG2";"";"#1: alpha: 0.152, ETRm: 71.191, Ik: 469.777 ";""
"2022-09-08 11:10:17.528";"1662660617528";"595610";"2022-09-08";"11:10:17";"FO";"10";"224";"955";"0";"-";"0.765";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"224";"955";"0.765"
"2022-09-08 11:10:37.514";"1662660637514";"615596";"2022-09-08";"11:10:37";"F";"11";"273";"438";"65";"-";"0.377";"10.3";"175";"0.84";"0.627";"0.640";"0.402";"1.180";"0.286";"0.337";"224";"955";"0.765"
"2022-09-08 11:10:57.506";"1662660657506";"635588";"2022-09-08";"11:10:57";"F";"12";"258";"397";"90";"-";"0.350";"13.2";"168";"0.84";"0.607";"0.687";"0.395";"1.406";"0.270";"0.380";"224";"955";"0.765"
"2022-09-08 11:11:17.493";"1662660677493";"655575";"2022-09-08";"11:11:17";"F";"13";"252";"391";"125";"-";"0.355";"18.6";"167";"0.84";"0.621";"0.694";"0.412";"1.442";"0.264";"0.381";"224";"955";"0.765"
"2022-09-08 11:11:37.479";"1662660697479";"675561";"2022-09-08";"11:11:37";"F";"14";"249";"380";"190";"-";"0.345";"27.5";"165";"0.84";"0.609";"0.706";"0.404";"1.513";"0.261";"0.394";"224";"955";"0.765"
"2022-09-08 11:11:57.468";"1662660717468";"695550";"2022-09-08";"11:11:57";"F";"15";"237";"352";"285";"-";"0.327";"39.1";"160";"0.84";"0.599";"0.737";"0.404";"1.713";"0.248";"0.425";"224";"955";"0.765"
"2022-09-08 11:12:17.457";"1662660737457";"715539";"2022-09-08";"11:12:17";"F";"16";"227";"319";"420";"-";"0.288";"50.8";"153";"0.84";"0.554";"0.773";"0.373";"1.994";"0.238";"0.474";"224";"955";"0.765"
"2022-09-08 11:12:37.444";"1662660757444";"735526";"2022-09-08";"11:12:37";"F";"17";"205";"266";"625";"-";"0.229";"60.1";"139";"0.84";"0.480";"0.826";"0.325";"2.590";"0.215";"0.556";"224";"955";"0.765"
"2022-09-08 11:12:57.432";"1662660777432";"755514";"2022-09-08";"11:12:57";"F";"18";"199";"248";"820";"-";"0.198";"68.2";"134";"0.84";"0.430";"0.844";"0.290";"2.851";"0.208";"0.594";"224";"955";"0.765"
"2022-09-08 11:13:00.560";"1662660780560";"758642";"2022-09-08";"11:13:00";"SLCE";"";"Light Curve end ";""
"2022-09-08 11:20:14.318";"1662661214318";"1192400";"2022-09-08";"11:20:14";"SLCS";"";"Light Curve start ";""
"2022-09-08 11:20:14.318";"1662661214318";"1192400";"2022-09-08";"11:20:14";"REG1";"";"#1: Error: Not enough measures for calculating regression data ";""
"2022-09-08 11:20:14.318";"1662661214318";"1192400";"2022-09-08";"11:20:14";"REG2";"";"#1: Error: Not enough measures for calculating regression data ";""
"2022-09-08 11:20:15.701";"1662661215701";"1193783";"2022-09-08";"11:20:15";"FO";"19";"230";"865";"0";"-";"0.734";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"230";"865";"0.734"
"2022-09-08 11:20:35.691";"1662661235691";"1213773";"2022-09-08";"11:20:35";"F";"20";"3";"6";"65";"-";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"230";"865";"0.734"
"2022-09-08 11:20:38.916";"1662661238916";"1216998";"2022-09-08";"11:20:38";"SLCE";"";"Light Curve end ";""
"2022-09-08 11:21:18.959";"1662661278959";"1257041";"2022-09-08";"11:21:18";"SLCS";"";"Light Curve start ";""
"2022-09-08 11:21:18.959";"1662661278959";"1257041";"2022-09-08";"11:21:18";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.013, ETRmPot: 32.328 ) ";""
"2022-09-08 11:21:18.959";"1662661278959";"1257041";"2022-09-08";"11:21:18";"REG2";"";"#1: alpha: 0.105, ETRm: 43.513, Ik: 412.788 ";""
"2022-09-08 11:21:20.354";"1662661280354";"1258436";"2022-09-08";"11:21:20";"FO";"21";"279";"1169";"0";"-";"0.761";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"279";"1169";"0.761"
"2022-09-08 11:21:40.343";"1662661300343";"1278425";"2022-09-08";"11:21:40";"F";"22";"352";"524";"65";"-";"0.328";"9.0";"216";"0.84";"0.558";"0.654";"0.342";"1.231";"0.301";"0.371";"279";"1169";"0.761"
"2022-09-08 11:22:00.324";"1662661320324";"1298406";"2022-09-08";"11:22:00";"F";"23";"316";"440";"90";"-";"0.282";"10.7";"200";"0.84";"0.517";"0.730";"0.327";"1.657";"0.270";"0.448";"279";"1169";"0.761"
"2022-09-08 11:22:20.313";"1662661340313";"1318395";"2022-09-08";"11:22:20";"F";"24";"288";"392";"125";"-";"0.265";"13.9";"189";"0.84";"0.512";"0.772";"0.336";"1.982";"0.246";"0.489";"279";"1169";"0.761"
"2022-09-08 11:22:40.305";"1662661360305";"1338387";"2022-09-08";"11:22:40";"F";"25";"266";"348";"190";"-";"0.236";"18.8";"178";"0.84";"0.482";"0.809";"0.323";"2.359";"0.228";"0.536";"279";"1169";"0.761"
"2022-09-08 11:23:00.290";"1662661380290";"1358372";"2022-09-08";"11:23:00";"F";"26";"253";"320";"285";"-";"0.209";"25.0";"171";"0.84";"0.450";"0.833";"0.304";"2.653";"0.216";"0.575";"279";"1169";"0.761"
"2022-09-08 11:23:20.287";"1662661400287";"1378369";"2022-09-08";"11:23:20";"F";"27";"248";"304";"420";"-";"0.184";"32.5";"166";"0.84";"0.406";"0.845";"0.272";"2.845";"0.212";"0.604";"279";"1169";"0.761"
"2022-09-08 11:23:40.275";"1662661420275";"1398357";"2022-09-08";"11:23:40";"F";"28";"251";"294";"625";"-";"0.146";"38.3";"163";"0.84";"0.328";"0.853";"0.213";"2.976";"0.215";"0.639";"279";"1169";"0.761"
"2022-09-08 11:24:00.259";"1662661440259";"1418341";"2022-09-08";"11:24:00";"F";"29";"250";"286";"820";"-";"0.126";"43.4";"161";"0.84";"0.288";"0.860";"0.185";"3.087";"0.214";"0.660";"279";"1169";"0.761"
"2022-09-08 11:24:04.094";"1662661444094";"1422176";"2022-09-08";"11:24:04";"SLCE";"";"Light Curve end ";""
