"2022-09-08";"13:11:22";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-09-08 12:57:11.323";"1662667031323";"0";"2022-09-08";"12:57:11";"SCHS";"";"Chart start ";""
"2022-09-08 12:59:21.032";"1662667161032";"129709";"2022-09-08";"12:59:21";"SLCS";"";"Light Curve start ";""
"2022-09-08 12:59:21.032";"1662667161032";"129709";"2022-09-08";"12:59:21";"REG1";"";"#1: alpha: 0.056, ETRm: 17.745, Ik: 316.592   ( beta: 0.055, ETRmPot: 69.899 ) ";""
"2022-09-08 12:59:21.032";"1662667161032";"129709";"2022-09-08";"12:59:21";"REG2";"";"#1: alpha: 0.049, ETRm: 17.958, Ik: 367.480 ";""
"2022-09-08 12:59:22.428";"1662667162428";"131105";"2022-09-08";"12:59:22";"FO";"1";"142";"184";"0";"-";"0.228";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"142";"184";"0.228"
"2022-09-08 12:59:42.412";"1662667182412";"151089";"2022-09-08";"12:59:42";"F";"2";"99";"110";"65";"-";"0.100";"2.7";"93";"0.84";"0.647";"0.595";"0.608";"0.673";"0.538";"0.362";"142";"184";"0.228"
"2022-09-08 13:00:02.397";"1662667202397";"171074";"2022-09-08";"13:00:02";"F";"3";"94";"106";"90";"-";"0.113";"4.3";"91";"0.84";"0.800";"0.643";"0.774";"0.736";"0.511";"0.376";"142";"184";"0.228"
"2022-09-08 13:00:22.386";"1662667222386";"191063";"2022-09-08";"13:00:22";"F";"4";"94";"106";"125";"-";"0.113";"5.9";"91";"0.84";"0.800";"0.643";"0.774";"0.736";"0.511";"0.376";"142";"184";"0.228"
"2022-09-08 13:00:42.376";"1662667242376";"211053";"2022-09-08";"13:00:42";"F";"5";"93";"104";"190";"-";"0.106";"8.5";"89";"0.84";"0.733";"0.643";"0.701";"0.769";"0.505";"0.389";"142";"184";"0.228"
"2022-09-08 13:01:02.368";"1662667262368";"231045";"2022-09-08";"13:01:02";"F";"6";"86";"96";"285";"-";"0.104";"12.4";"83";"0.84";"0.769";"0.690";"0.742";"0.917";"0.467";"0.429";"142";"184";"0.228"
"2022-09-08 13:01:22.354";"1662667282354";"251031";"2022-09-08";"13:01:22";"F";"7";"80";"87";"420";"-";"0.080";"14.1";"76";"0.84";"0.636";"0.738";"0.604";"1.115";"0.435";"0.485";"142";"184";"0.228"
"2022-09-08 13:01:42.346";"1662667302346";"271023";"2022-09-08";"13:01:42";"F";"8";"75";"80";"625";"-";"0.063";"16.5";"71";"0.84";"0.556";"0.786";"0.526";"1.300";"0.408";"0.529";"142";"184";"0.228"
"2022-09-08 13:02:02.335";"1662667322335";"291012";"2022-09-08";"13:02:02";"F";"9";"73";"77";"820";"-";"0.052";"17.9";"69";"0.84";"0.500";"0.810";"0.473";"1.390";"0.397";"0.551";"142";"184";"0.228"
"2022-09-08 13:02:05.391";"1662667325391";"294068";"2022-09-08";"13:02:05";"SLCE";"";"Light Curve end ";""
"2022-09-08 13:03:22.176";"1662667402176";"370853";"2022-09-08";"13:03:22";"SLCS";"";"Light Curve start ";""
"2022-09-08 13:03:22.176";"1662667402176";"370853";"2022-09-08";"13:03:22";"REG1";"";"#1: alpha: 0.103, ETRm: 43.986, Ik: 426.472   ( beta: 0.801, ETRmPot: 987.914 ) ";""
"2022-09-08 13:03:22.176";"1662667402176";"370853";"2022-09-08";"13:03:22";"REG2";"";"#1: alpha: 0.090, ETRm: 44.372, Ik: 491.725 ";""
"2022-09-08 13:03:23.562";"1662667403562";"372239";"2022-09-08";"13:03:23";"FO";"10";"144";"289";"0";"-";"0.502";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"144";"289";"0.502"
"2022-09-08 13:03:43.558";"1662667423558";"392235";"2022-09-08";"13:03:43";"F";"11";"102";"128";"65";"-";"0.203";"5.5";"89";"0.84";"0.667";"0.731";"0.582";"1.258";"0.353";"0.444";"144";"289";"0.502"
"2022-09-08 13:04:03.548";"1662667443548";"412225";"2022-09-08";"13:04:03";"F";"12";"92";"117";"90";"-";"0.214";"8.1";"83";"0.84";"0.735";"0.766";"0.663";"1.470";"0.318";"0.468";"144";"289";"0.502"
"2022-09-08 13:04:23.537";"1662667463537";"432214";"2022-09-08";"13:04:23";"F";"13";"92";"118";"125";"-";"0.220";"11.6";"84";"0.84";"0.765";"0.766";"0.698";"1.449";"0.318";"0.462";"144";"289";"0.502"
"2022-09-08 13:04:43.521";"1662667483521";"452198";"2022-09-08";"13:04:43";"F";"14";"92";"117";"190";"-";"0.214";"17.1";"83";"0.84";"0.735";"0.766";"0.663";"1.470";"0.318";"0.468";"144";"289";"0.502"
"2022-09-08 13:05:03.505";"1662667503505";"472182";"2022-09-08";"13:05:03";"F";"15";"91";"111";"285";"-";"0.180";"21.5";"80";"0.84";"0.645";"0.786";"0.567";"1.604";"0.315";"0.505";"144";"289";"0.502"
"2022-09-08 13:05:23.495";"1662667523495";"492172";"2022-09-08";"13:05:23";"F";"16";"88";"107";"420";"-";"0.178";"31.4";"78";"0.84";"0.655";"0.800";"0.581";"1.701";"0.304";"0.518";"144";"289";"0.502"
"2022-09-08 13:05:43.491";"1662667543491";"512168";"2022-09-08";"13:05:43";"F";"17";"88";"103";"625";"-";"0.146";"38.3";"76";"0.84";"0.556";"0.814";"0.480";"1.806";"0.304";"0.550";"144";"289";"0.502"
"2022-09-08 13:06:03.491";"1662667563491";"532168";"2022-09-08";"13:06:03";"F";"18";"89";"101";"820";"-";"0.119";"41.0";"75";"0.84";"0.462";"0.821";"0.389";"1.861";"0.308";"0.573";"144";"289";"0.502"
"2022-09-08 13:06:07.167";"1662667567167";"535844";"2022-09-08";"13:06:07";"SLCE";"";"Light Curve end ";""
"2022-09-08 13:07:04.148";"1662667624148";"592825";"2022-09-08";"13:07:04";"SLCS";"";"Light Curve start ";""
"2022-09-08 13:07:04.148";"1662667624148";"592825";"2022-09-08";"13:07:04";"REG1";"";"#1: alpha: 0.084, ETRm: 35.939, Ik: 428.069   ( beta: 0.467, ETRmPot: 591.478 ) ";""
"2022-09-08 13:07:04.148";"1662667624148";"592825";"2022-09-08";"13:07:04";"REG2";"";"#1: alpha: 0.074, ETRm: 36.176, Ik: 491.847 ";""
"2022-09-08 13:07:05.542";"1662667625542";"594219";"2022-09-08";"13:07:05";"FO";"19";"232";"488";"0";"-";"0.525";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"232";"488";"0.525"
"2022-09-08 13:07:25.529";"1662667645529";"614206";"2022-09-08";"13:07:25";"F";"20";"148";"186";"65";"-";"0.204";"5.6";"131";"0.84";"0.691";"0.785";"0.612";"1.624";"0.303";"0.493";"232";"488";"0.525"
"2022-09-08 13:07:45.514";"1662667665514";"634191";"2022-09-08";"13:07:45";"F";"21";"136";"166";"90";"-";"0.181";"6.8";"121";"0.84";"0.667";"0.824";"0.593";"1.940";"0.279";"0.540";"232";"488";"0.525"
"2022-09-08 13:08:05.506";"1662667685506";"654183";"2022-09-08";"13:08:05";"F";"22";"129";"155";"125";"-";"0.168";"8.8";"115";"0.84";"0.650";"0.844";"0.579";"2.148";"0.264";"0.568";"232";"488";"0.525"
"2022-09-08 13:08:25.498";"1662667705498";"674175";"2022-09-08";"13:08:25";"F";"23";"123";"149";"190";"-";"0.174";"13.9";"111";"0.84";"0.684";"0.852";"0.617";"2.275";"0.252";"0.574";"232";"488";"0.525"
"2022-09-08 13:08:45.484";"1662667725484";"694161";"2022-09-08";"13:08:45";"F";"24";"122";"145";"285";"-";"0.159";"19.0";"109";"0.84";"0.639";"0.859";"0.571";"2.366";"0.250";"0.591";"232";"488";"0.525"
"2022-09-08 13:09:05.470";"1662667745470";"714147";"2022-09-08";"13:09:05";"F";"25";"121";"140";"420";"-";"0.136";"24.0";"106";"0.84";"0.559";"0.867";"0.490";"2.486";"0.248";"0.616";"232";"488";"0.525"
"2022-09-08 13:09:25.463";"1662667765463";"734140";"2022-09-08";"13:09:25";"F";"26";"119";"135";"625";"-";"0.119";"31.2";"103";"0.84";"0.500";"0.875";"0.433";"2.615";"0.244";"0.637";"232";"488";"0.525"
"2022-09-08 13:09:45.445";"1662667785445";"754122";"2022-09-08";"13:09:45";"F";"27";"120";"133";"820";"-";"0.098";"33.8";"102";"0.84";"0.419";"0.879";"0.356";"2.669";"0.246";"0.656";"232";"488";"0.525"
"2022-09-08 13:09:48.651";"1662667788651";"757328";"2022-09-08";"13:09:48";"SLCE";"";"Light Curve end ";""
