"2023-09-21";"15:05:59";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-09-21 14:51:21.613";"1695333081613";"0";"2023-09-21";"14:51:21";"SCHS";"";"Chart start ";""
"2023-09-21 14:54:22.538";"1695333262538";"180925";"2023-09-21";"14:54:22";"SLCS";"";"Light Curve start ";""
"2023-09-21 14:54:22.538";"1695333262538";"180925";"2023-09-21";"14:54:22";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 45.736 ) ";""
"2023-09-21 14:54:22.538";"1695333262538";"180925";"2023-09-21";"14:54:22";"REG2";"";"#1: alpha: 0.137, ETRm: 44.608, Ik: 326.634 ";""
"2023-09-21 14:54:23.938";"1695333263938";"182325";"2023-09-21";"14:54:23";"FO";"1";"211";"938";"0";"0.775";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"211";"938";"0.775"
"2023-09-21 14:54:43.930";"1695333283930";"202317";"2023-09-21";"14:54:43";"F";"2";"282";"467";"65";"0.396";"10.8";"172";"0.84";"0.627";"0.594";"0.382";"1.009";"0.301";"0.303";"211";"938";"0.775"
"2023-09-21 14:55:03.909";"1695333303909";"222296";"2023-09-21";"14:55:03";"F";"3";"244";"373";"90";"0.346";"13.1";"157";"0.84";"0.597";"0.703";"0.384";"1.515";"0.260";"0.394";"211";"938";"0.775"
"2023-09-21 14:55:23.903";"1695333323903";"242290";"2023-09-21";"14:55:23";"F";"4";"232";"343";"125";"0.324";"17.0";"152";"0.84";"0.581";"0.737";"0.381";"1.735";"0.247";"0.429";"211";"938";"0.775"
"2023-09-21 14:55:43.910";"1695333343910";"262297";"2023-09-21";"14:55:43";"F";"5";"225";"320";"190";"0.297";"23.7";"147";"0.84";"0.549";"0.762";"0.359";"1.931";"0.240";"0.463";"211";"938";"0.775"
"2023-09-21 14:56:03.903";"1695333363903";"282290";"2023-09-21";"14:56:03";"F";"6";"221";"295";"285";"0.251";"30.0";"142";"0.84";"0.484";"0.790";"0.311";"2.180";"0.236";"0.513";"211";"938";"0.775"
"2023-09-21 14:56:23.892";"1695333383892";"302279";"2023-09-21";"14:56:23";"F";"7";"219";"276";"420";"0.207";"36.5";"137";"0.84";"0.410";"0.809";"0.256";"2.399";"0.233";"0.560";"211";"938";"0.775"
