"2022-09-23";"12:02:18";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-09-23 11:22:00.255";"1663957320255";"0";"2022-09-23";"11:22:00";"SCHS";"";"Chart start ";""
"2022-09-23 11:35:35.966";"1663958135966";"815711";"2022-09-23";"11:35:35";"SLCS";"";"Light Curve start ";""
"2022-09-23 11:35:35.966";"1663958135966";"815711";"2022-09-23";"11:35:35";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 27.719 ) ";""
"2022-09-23 11:35:35.966";"1663958135966";"815711";"2022-09-23";"11:35:35";"REG2";"";"#1: alpha: 0.091, ETRm: 31.070, Ik: 340.310 ";""
"2022-09-23 11:35:37.351";"1663958137351";"817096";"2022-09-23";"11:35:37";"FO";"1";"307";"1130";"0";"0.728";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"307";"1130";"0.728"
"2022-09-23 11:35:57.347";"1663958157347";"837092";"2022-09-23";"11:35:57";"F";"2";"385";"527";"65";"0.269";"7.3";"234";"0.84";"0.485";"0.644";"0.295";"1.144";"0.341";"0.390";"307";"1130";"0.728"
"2022-09-23 11:36:17.335";"1663958177335";"857080";"2022-09-23";"11:36:17";"F";"3";"322";"423";"90";"0.239";"9.0";"211";"0.84";"0.476";"0.742";"0.312";"1.671";"0.285";"0.476";"307";"1130";"0.728"
"2022-09-23 11:36:37.317";"1663958197317";"877062";"2022-09-23";"11:36:37";"F";"4";"294";"377";"125";"0.220";"11.6";"199";"0.84";"0.466";"0.784";"0.315";"1.997";"0.260";"0.520";"307";"1130";"0.728"
"2022-09-23 11:36:57.306";"1663958217306";"897051";"2022-09-23";"11:36:57";"F";"5";"281";"351";"190";"0.199";"15.9";"192";"0.84";"0.440";"0.807";"0.301";"2.219";"0.249";"0.552";"307";"1130";"0.728"
"2022-09-23 11:37:17.297";"1663958237297";"917042";"2022-09-23";"11:37:17";"F";"6";"275";"332";"285";"0.172";"20.6";"186";"0.84";"0.390";"0.823";"0.264";"2.404";"0.243";"0.585";"307";"1130";"0.728"
"2022-09-23 11:37:37.284";"1663958257284";"937029";"2022-09-23";"11:37:37";"F";"7";"273";"317";"420";"0.139";"24.5";"181";"0.84";"0.324";"0.835";"0.215";"2.565";"0.242";"0.619";"307";"1130";"0.728"
"2022-09-23 11:37:57.273";"1663958277273";"957018";"2022-09-23";"11:37:57";"F";"8";"273";"308";"625";"0.114";"29.9";"178";"0.84";"0.269";"0.842";"0.175";"2.669";"0.242";"0.644";"307";"1130";"0.728"
"2022-09-23 11:38:17.269";"1663958297269";"977014";"2022-09-23";"11:38:17";"F";"9";"271";"298";"820";"0.091";"31.3";"175";"0.84";"0.220";"0.851";"0.142";"2.792";"0.240";"0.669";"307";"1130";"0.728"
"2022-09-23 11:38:20.466";"1663958300466";"980211";"2022-09-23";"11:38:20";"SLCE";"";"Light Curve end ";""
"2022-09-23 11:39:44.496";"1663958384496";"1064241";"2022-09-23";"11:39:44";"SLCS";"";"Light Curve start ";""
"2022-09-23 11:39:44.496";"1663958384496";"1064241";"2022-09-23";"11:39:44";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 37.874 ) ";""
"2022-09-23 11:39:44.496";"1663958384496";"1064241";"2022-09-23";"11:39:44";"REG2";"";"#1: alpha: 0.110, ETRm: 45.349, Ik: 413.754 ";""
"2022-09-23 11:39:45.894";"1663958385894";"1065639";"2022-09-23";"11:39:45";"FO";"10";"212";"686";"0";"0.691";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"212";"686";"0.691"
"2022-09-23 11:40:05.907";"1663958405907";"1085652";"2022-09-23";"11:40:05";"F";"11";"213";"299";"65";"0.288";"7.9";"151";"0.84";"0.581";"0.688";"0.412";"1.294";"0.310";"0.402";"212";"686";"0.691"
"2022-09-23 11:40:25.893";"1663958425893";"1105638";"2022-09-23";"11:40:25";"F";"12";"177";"245";"90";"0.278";"10.5";"136";"0.84";"0.624";"0.770";"0.479";"1.800";"0.258";"0.464";"212";"686";"0.691"
"2022-09-23 11:40:45.880";"1663958445880";"1125625";"2022-09-23";"11:40:45";"F";"13";"156";"215";"125";"0.274";"14.4";"126";"0.84";"0.663";"0.812";"0.536";"2.191";"0.227";"0.499";"212";"686";"0.691"
"2022-09-23 11:41:05.874";"1663958465874";"1145619";"2022-09-23";"11:41:05";"F";"14";"140";"187";"190";"0.251";"20.0";"116";"0.84";"0.662";"0.850";"0.549";"2.668";"0.204";"0.545";"212";"686";"0.691"
"2022-09-23 11:41:25.857";"1663958485857";"1165602";"2022-09-23";"11:41:25";"F";"15";"130";"168";"285";"0.226";"27.1";"109";"0.84";"0.644";"0.876";"0.540";"3.083";"0.190";"0.584";"212";"686";"0.691"
"2022-09-23 11:41:45.852";"1663958505852";"1185597";"2022-09-23";"11:41:45";"F";"16";"126";"155";"420";"0.187";"33.0";"103";"0.84";"0.558";"0.890";"0.456";"3.426";"0.184";"0.629";"212";"686";"0.691"
"2022-09-23 11:42:05.835";"1663958525835";"1205580";"2022-09-23";"11:42:05";"F";"17";"122";"144";"625";"0.153";"40.2";"98";"0.84";"0.478";"0.903";"0.384";"3.764";"0.178";"0.669";"212";"686";"0.691"
"2022-09-23 11:42:25.830";"1663958545830";"1225575";"2022-09-23";"11:42:25";"F";"18";"119";"137";"820";"0.131";"45.1";"95";"0.84";"0.429";"0.911";"0.342";"4.007";"0.173";"0.696";"212";"686";"0.691"
"2022-09-23 11:42:29.683";"1663958549683";"1229428";"2022-09-23";"11:42:29";"SLCE";"";"Light Curve end ";""
