"2022-09-23";"10:58:21";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-09-23 10:40:07.685";"1663954807685";"0";"2022-09-23";"10:40:07";"SCHS";"";"Chart start ";""
"2022-09-23 10:42:42.521";"1663954962521";"154836";"2022-09-23";"10:42:42";"SLCS";"";"Light Curve start ";""
"2022-09-23 10:42:43.914";"1663954963914";"156229";"2022-09-23";"10:42:43";"FO";"1";"0";"20";"0";"-";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"0";"20";"-"
"2022-09-23 10:42:50.289";"1663954970289";"162604";"2022-09-23";"10:42:50";"SLCE";"";"Light Curve end ";""
"2022-09-23 10:42:53.625";"1663954973625";"165940";"2022-09-23";"10:42:53";"SLCS";"";"Light Curve start ";""
"2022-09-23 10:42:53.625";"1663954973625";"165940";"2022-09-23";"10:42:53";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 13.772 ) ";""
"2022-09-23 10:42:53.625";"1663954973625";"165940";"2022-09-23";"10:42:53";"REG2";"";"#1: alpha: 0.084, ETRm: 17.864, Ik: 212.245 ";""
"2022-09-23 10:42:55.013";"1663954975013";"167328";"2022-09-23";"10:42:55";"FO";"2";"403";"1065";"0";"-";"0.622";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"403";"1065";"0.622"
"2022-09-23 10:43:15.005";"1663954995005";"187320";"2022-09-23";"10:43:15";"F";"3";"554";"764";"65";"-";"0.275";"7.5";"351";"0.84";"0.508";"0.376";"0.322";"0.394";"0.520";"0.205";"403";"1065";"0.622"
"2022-09-23 10:43:34.999";"1663955014999";"207314";"2022-09-23";"10:43:34";"F";"4";"468";"595";"90";"-";"0.213";"8.1";"310";"0.84";"0.446";"0.569";"0.295";"0.790";"0.439";"0.348";"403";"1065";"0.622"
"2022-09-23 10:43:54.981";"1663955034981";"227296";"2022-09-23";"10:43:54";"F";"5";"427";"520";"125";"-";"0.179";"9.4";"289";"0.84";"0.403";"0.651";"0.273";"1.048";"0.401";"0.420";"403";"1065";"0.622"
"2022-09-23 10:44:14.973";"1663955054973";"247288";"2022-09-23";"10:44:14";"F";"6";"408";"480";"190";"-";"0.150";"12.0";"276";"0.84";"0.353";"0.692";"0.239";"1.219";"0.383";"0.467";"403";"1065";"0.622"
"2022-09-23 10:44:34.960";"1663955074960";"267275";"2022-09-23";"10:44:34";"F";"7";"400";"453";"285";"-";"0.117";"14.0";"267";"0.84";"0.285";"0.719";"0.190";"1.351";"0.376";"0.507";"403";"1065";"0.622"
"2022-09-23 10:44:54.947";"1663955094947";"287262";"2022-09-23";"10:44:54";"F";"8";"398";"439";"420";"-";"0.093";"16.4";"262";"0.84";"0.232";"0.733";"0.153";"1.426";"0.374";"0.533";"403";"1065";"0.622"
