"2022-09-23";"12:59:56";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-09-23 12:28:35.082";"1663961315082";"0";"2022-09-23";"12:28:35";"SCHS";"";"Chart start ";""
"2022-09-23 12:42:35.426";"1663962155426";"840344";"2022-09-23";"12:42:35";"SLCS";"";"Light Curve start ";""
"2022-09-23 12:42:35.426";"1663962155426";"840344";"2022-09-23";"12:42:35";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.015, ETRmPot: 24.559 ) ";""
"2022-09-23 12:42:35.426";"1663962155426";"840344";"2022-09-23";"12:42:35";"REG2";"";"#1: alpha: 0.083, ETRm: 40.116, Ik: 485.460 ";""
"2022-09-23 12:42:36.828";"1663962156828";"841746";"2022-09-23";"12:42:36";"FO";"1";"171";"314";"0";"0.455";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"171";"314";"0.455"
"2022-09-23 12:42:56.809";"1663962176809";"861727";"2022-09-23";"12:42:56";"F";"2";"120";"148";"65";"0.189";"5.2";"106";"0.84";"0.667";"0.706";"0.589";"1.122";"0.382";"0.429";"171";"314";"0.455"
"2022-09-23 12:43:16.797";"1663962196797";"881715";"2022-09-23";"12:43:16";"F";"3";"98";"124";"90";"0.210";"7.9";"93";"0.84";"0.839";"0.783";"0.796";"1.532";"0.312";"0.478";"171";"314";"0.455"
"2022-09-23 12:43:36.787";"1663962216787";"901705";"2022-09-23";"12:43:36";"F";"4";"94";"118";"125";"0.203";"10.7";"90";"0.84";"0.857";"0.804";"0.821";"1.661";"0.299";"0.498";"171";"314";"0.455"
"2022-09-23 12:43:56.773";"1663962236773";"921691";"2022-09-23";"12:43:56";"F";"5";"91";"114";"190";"0.202";"16.1";"87";"0.84";"0.852";"0.811";"0.815";"1.754";"0.290";"0.508";"171";"314";"0.455"
"2022-09-23 12:44:16.763";"1663962256763";"941681";"2022-09-23";"12:44:16";"F";"6";"91";"112";"285";"0.188";"22.5";"86";"0.84";"0.808";"0.818";"0.764";"1.804";"0.290";"0.522";"171";"314";"0.455"
"2022-09-23 12:44:36.758";"1663962276758";"961676";"2022-09-23";"12:44:36";"F";"7";"93";"109";"420";"0.147";"25.9";"84";"0.84";"0.640";"0.825";"0.578";"1.881";"0.296";"0.557";"171";"314";"0.455"
"2022-09-23 12:44:56.741";"1663962296741";"981659";"2022-09-23";"12:44:56";"F";"8";"92";"105";"625";"0.124";"32.6";"82";"0.84";"0.565";"0.839";"0.504";"1.990";"0.293";"0.583";"171";"314";"0.455"
