"2023-10-06";"12:41:49";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-10-06 12:29:47.156";"1696620587156";"0";"2023-10-06";"12:29:47";"SCHS";"";"Chart start ";""
"2023-10-06 12:31:08.323";"1696620668323";"81167";"2023-10-06";"12:31:08";"SLCS";"";"Light Curve start ";""
"2023-10-06 12:31:08.323";"1696620668323";"81167";"2023-10-06";"12:31:08";"REG1";"";"#1: alpha: 0.078, ETRm: 16.865, Ik: 216.605   ( beta: 0.754, ETRmPot: 466.737 ) ";""
"2023-10-06 12:31:08.323";"1696620668323";"81167";"2023-10-06";"12:31:08";"REG2";"";"#1: alpha: 0.068, ETRm: 16.637, Ik: 244.072 ";""
"2023-10-06 12:31:09.721";"1696620669721";"82565";"2023-10-06";"12:31:09";"FO";"1";"314";"567";"0";"0.446";"0.0";"0.84";"-";"-";"-";"-";"-";"-";"314";"567";"0.446"
"2023-10-06 12:31:29.718";"1696620689718";"102562";"2023-10-06";"12:31:29";"F";"2";"380";"477";"65";"0.203";"5.5";"0.84";"0.503";"0.237";"0.376";"0.189";"0.670";"0.127";"314";"567";"0.446"
"2023-10-06 12:31:49.707";"1696620709707";"122551";"2023-10-06";"12:31:49";"F";"3";"369";"442";"90";"0.165";"6.2";"0.84";"0.427";"0.324";"0.314";"0.283";"0.651";"0.184";"314";"567";"0.446"
"2023-10-06 12:32:09.697";"1696620729697";"142541";"2023-10-06";"12:32:09";"F";"4";"361";"422";"125";"0.145";"7.6";"0.84";"0.386";"0.375";"0.282";"0.344";"0.637";"0.218";"314";"567";"0.446"
"2023-10-06 12:32:29.677";"1696620749677";"162521";"2023-10-06";"12:32:29";"F";"5";"355";"407";"190";"0.128";"10.2";"0.84";"0.349";"0.411";"0.254";"0.393";"0.626";"0.246";"314";"567";"0.446"
"2023-10-06 12:32:49.668";"1696620769668";"182512";"2023-10-06";"12:32:49";"F";"6";"348";"390";"285";"0.108";"12.9";"0.84";"0.302";"0.451";"0.218";"0.454";"0.614";"0.278";"314";"567";"0.446"
"2023-10-06 12:33:09.654";"1696620789654";"202498";"2023-10-06";"12:33:09";"F";"7";"340";"376";"420";"0.096";"16.9";"0.84";"0.275";"0.482";"0.198";"0.508";"0.600";"0.304";"314";"567";"0.446"
"2023-10-06 12:33:29.645";"1696620809645";"222489";"2023-10-06";"12:33:29";"F";"8";"330";"353";"625";"0.065";"17.1";"0.84";"0.195";"0.534";"0.139";"0.606";"0.582";"0.353";"314";"567";"0.446"
"2023-10-06 12:33:49.635";"1696620829635";"242479";"2023-10-06";"12:33:49";"F";"9";"318";"333";"820";"0.045";"15.5";"0.84";"0.140";"0.577";"0.099";"0.703";"0.561";"0.394";"314";"567";"0.446"
"2023-10-06 12:33:53.389";"1696620833389";"246233";"2023-10-06";"12:33:53";"SLCE";"";"Light Curve end ";""
"2023-10-06 12:34:57.997";"1696620897997";"310841";"2023-10-06";"12:34:57";"SLCS";"";"Light Curve start ";""
"2023-10-06 12:34:57.997";"1696620897997";"310841";"2023-10-06";"12:34:57";"REG1";"";"#1: alpha: 0.070, ETRm: 63.447, Ik: 903.761   ( beta: 0.224, ETRmPot: 634.640 ) ";""
"2023-10-06 12:34:57.997";"1696620897997";"310841";"2023-10-06";"12:34:57";"REG2";"";"#1: alpha: 0.065, ETRm: 54.090, Ik: 831.926 ";""
"2023-10-06 12:34:59.390";"1696620899390";"312234";"2023-10-06";"12:34:59";"FO";"10";"135";"247";"0";"0.453";"0.0";"0.84";"-";"-";"-";"-";"-";"-";"135";"247";"0.453"
"2023-10-06 12:35:19.382";"1696620919382";"332226";"2023-10-06";"12:35:19";"F";"11";"112";"135";"65";"0.170";"4.6";"0.84";"0.548";"0.625";"0.455";"0.830";"0.453";"0.377";"135";"247";"0.453"
"2023-10-06 12:35:39.371";"1696620939371";"352215";"2023-10-06";"12:35:39";"F";"12";"94";"109";"90";"0.138";"5.2";"0.84";"0.517";"0.741";"0.440";"1.266";"0.381";"0.481";"135";"247";"0.453"
"2023-10-06 12:35:59.357";"1696620959357";"372201";"2023-10-06";"12:35:59";"F";"13";"86";"101";"125";"0.149";"7.8";"0.84";"0.577";"0.768";"0.503";"1.446";"0.348";"0.503";"135";"247";"0.453"
"2023-10-06 12:36:19.350";"1696620979350";"392194";"2023-10-06";"12:36:19";"F";"14";"81";"96";"190";"0.156";"12.4";"0.84";"0.652";"0.795";"0.588";"1.573";"0.328";"0.516";"135";"247";"0.453"
"2023-10-06 12:36:39.337";"1696620999337";"412181";"2023-10-06";"12:36:39";"F";"15";"79";"92";"285";"0.141";"16.9";"0.84";"0.591";"0.804";"0.524";"1.685";"0.320";"0.539";"135";"247";"0.453"
"2023-10-06 12:36:59.321";"1696621019321";"432165";"2023-10-06";"12:36:59";"F";"16";"77";"89";"420";"0.135";"23.8";"0.84";"0.600";"0.821";"0.538";"1.775";"0.312";"0.553";"135";"247";"0.453"
"2023-10-06 12:37:19.318";"1696621039318";"452162";"2023-10-06";"12:37:19";"F";"17";"77";"90";"625";"0.144";"37.8";"0.84";"0.619";"0.812";"0.555";"1.744";"0.312";"0.544";"135";"247";"0.453"
"2023-10-06 12:37:39.303";"1696621059303";"472147";"2023-10-06";"12:37:39";"F";"18";"78";"88";"820";"0.114";"39.3";"0.84";"0.500";"0.821";"0.436";"1.807";"0.316";"0.570";"135";"247";"0.453"
"2023-10-06 12:37:43.131";"1696621063131";"475975";"2023-10-06";"12:37:43";"SLCE";"";"Light Curve end ";""
"2023-10-06 12:38:39.391";"1696621119391";"532235";"2023-10-06";"12:38:39";"SLCS";"";"Light Curve start ";""
"2023-10-06 12:38:39.391";"1696621119391";"532235";"2023-10-06";"12:38:39";"REG1";"";"#1: alpha: 0.200, ETRm: 56.466, Ik: 282.005   ( beta: 0.021, ETRmPot: 80.106 ) ";""
"2023-10-06 12:38:39.391";"1696621119391";"532235";"2023-10-06";"12:38:39";"REG2";"";"#1: alpha: 0.168, ETRm: 56.178, Ik: 335.196 ";""
"2023-10-06 12:38:40.803";"1696621120803";"533647";"2023-10-06";"12:38:40";"FO";"19";"226";"843";"0";"0.732";"0.0";"0.84";"-";"-";"-";"-";"-";"-";"226";"843";"0.732"
"2023-10-06 12:39:00.810";"1696621140810";"553654";"2023-10-06";"12:39:00";"F";"20";"481";"816";"65";"0.411";"11.2";"0.84";"0.566";"0.041";"0.264";"0.033";"0.571";"0.018";"226";"843";"0.732"
"2023-10-06 12:39:20.794";"1696621160794";"573638";"2023-10-06";"12:39:20";"F";"21";"454";"763";"90";"0.405";"15.3";"0.84";"0.569";"0.120";"0.276";"0.105";"0.539";"0.056";"226";"843";"0.732"
"2023-10-06 12:39:40.782";"1696621180782";"593626";"2023-10-06";"12:39:40";"F";"22";"401";"663";"125";"0.395";"20.7";"0.84";"0.580";"0.267";"0.305";"0.271";"0.476";"0.129";"226";"843";"0.732"
"2023-10-06 12:40:00.774";"1696621200774";"613618";"2023-10-06";"12:40:00";"F";"23";"330";"520";"190";"0.365";"29.1";"0.84";"0.583";"0.472";"0.343";"0.621";"0.391";"0.244";"226";"843";"0.732"
"2023-10-06 12:40:20.766";"1696621220766";"633610";"2023-10-06";"12:40:20";"F";"24";"278";"409";"285";"0.320";"38.3";"0.84";"0.562";"0.622";"0.356";"1.061";"0.330";"0.350";"226";"843";"0.732"
"2023-10-06 12:40:40.751";"1696621240751";"653595";"2023-10-06";"12:40:40";"F";"25";"245";"334";"420";"0.266";"46.9";"0.84";"0.511";"0.718";"0.334";"1.524";"0.291";"0.443";"226";"843";"0.732"
"2023-10-06 12:41:00.738";"1696621260738";"673582";"2023-10-06";"12:41:00";"F";"26";"226";"283";"625";"0.201";"52.8";"0.84";"0.422";"0.781";"0.276";"1.979";"0.268";"0.531";"226";"843";"0.732"
"2023-10-06 12:41:20.729";"1696621280729";"693573";"2023-10-06";"12:41:20";"F";"27";"214";"256";"820";"0.164";"56.5";"0.84";"0.362";"0.812";"0.237";"2.293";"0.254";"0.582";"226";"843";"0.732"
"2023-10-06 12:41:23.829";"1696621283829";"696673";"2023-10-06";"12:41:23";"SLCE";"";"Light Curve end ";""
