"2022-10-06";"11:45:17";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-10-06 11:23:11.503";"1665080591503";"0";"2022-10-06";"11:23:11";"SCHS";"";"Chart start ";""
"2022-10-06 11:27:48.771";"1665080868771";"277268";"2022-10-06";"11:27:48";"SLCS";"";"Light Curve start ";""
"2022-10-06 11:27:48.771";"1665080868771";"277268";"2022-10-06";"11:27:48";"REG1";"";"#1: alpha: 0.211, ETRm: 40.611, Ik: 192.038   ( beta: 0.012, ETRmPot: 50.813 ) ";""
"2022-10-06 11:27:48.771";"1665080868771";"277268";"2022-10-06";"11:27:48";"REG2";"";"#1: alpha: 0.173, ETRm: 40.293, Ik: 233.205 ";""
"2022-10-06 11:27:50.161";"1665080870161";"278658";"2022-10-06";"11:27:50";"FO";"1";"273";"1352";"0";"-";"0.798";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"273";"1352";"0.798"
"2022-10-06 11:28:10.154";"1665080890154";"298651";"2022-10-06";"11:28:10";"F";"2";"471";"843";"65";"-";"0.441";"12.0";"243";"0.84";"0.620";"0.444";"0.320";"0.604";"0.348";"0.211";"273";"1352";"0.798"
"2022-10-06 11:28:30.146";"1665080910146";"318643";"2022-10-06";"11:28:30";"F";"3";"428";"711";"90";"-";"0.398";"15.0";"231";"0.84";"0.590";"0.555";"0.318";"0.902";"0.317";"0.285";"273";"1352";"0.798"
"2022-10-06 11:28:50.134";"1665080930134";"338631";"2022-10-06";"11:28:50";"F";"4";"408";"657";"125";"-";"0.379";"19.9";"225";"0.84";"0.576";"0.600";"0.318";"1.058";"0.302";"0.319";"273";"1352";"0.798"
"2022-10-06 11:29:10.124";"1665080950124";"358621";"2022-10-06";"11:29:10";"F";"5";"382";"576";"190";"-";"0.337";"26.9";"215";"0.84";"0.537";"0.665";"0.302";"1.347";"0.283";"0.380";"273";"1352";"0.798"
"2022-10-06 11:29:30.106";"1665080970106";"378603";"2022-10-06";"11:29:30";"F";"6";"346";"477";"285";"-";"0.275";"32.9";"199";"0.84";"0.471";"0.742";"0.271";"1.834";"0.256";"0.469";"273";"1352";"0.798"
"2022-10-06 11:29:50.099";"1665080990099";"398596";"2022-10-06";"11:29:50";"F";"7";"324";"414";"420";"-";"0.217";"38.3";"187";"0.84";"0.396";"0.790";"0.229";"2.266";"0.240";"0.543";"273";"1352";"0.798"
"2022-10-06 11:30:10.086";"1665081010086";"418583";"2022-10-06";"11:30:10";"F";"8";"308";"363";"625";"-";"0.152";"39.9";"176";"0.84";"0.294";"0.827";"0.168";"2.725";"0.228";"0.620";"273";"1352";"0.798"
"2022-10-06 11:30:30.074";"1665081030074";"438571";"2022-10-06";"11:30:30";"F";"9";"291";"330";"820";"-";"0.118";"40.6";"168";"0.84";"0.241";"0.850";"0.139";"3.097";"0.215";"0.667";"273";"1352";"0.798"
"2022-10-06 11:30:33.868";"1665081033868";"442365";"2022-10-06";"11:30:33";"SLCE";"";"Light Curve end ";""
"2022-10-06 11:31:43.079";"1665081103079";"511576";"2022-10-06";"11:31:43";"SLCS";"";"Light Curve start ";""
"2022-10-06 11:31:43.079";"1665081103079";"511576";"2022-10-06";"11:31:43";"REG1";"";"#1: alpha: 0.092, ETRm: 31.696, Ik: 345.455   ( beta: 1.100, ETRmPot: 1075.277 ) ";""
"2022-10-06 11:31:43.079";"1665081103079";"511576";"2022-10-06";"11:31:43";"REG2";"";"#1: alpha: 0.080, ETRm: 32.333, Ik: 405.843 ";""
"2022-10-06 11:31:44.473";"1665081104473";"512970";"2022-10-06";"11:31:44";"FO";"10";"200";"589";"0";"-";"0.660";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"200";"589";"0.660"
"2022-10-06 11:32:04.462";"1665081124462";"532959";"2022-10-06";"11:32:04";"F";"11";"179";"222";"65";"-";"0.194";"5.3";"128";"0.84";"0.457";"0.758";"0.327";"1.653";"0.304";"0.502";"200";"589";"0.660"
"2022-10-06 11:32:24.450";"1665081144450";"552947";"2022-10-06";"11:32:24";"F";"12";"150";"186";"90";"-";"0.194";"7.3";"115";"0.84";"0.507";"0.817";"0.389";"2.167";"0.255";"0.551";"200";"589";"0.660"
"2022-10-06 11:32:44.433";"1665081164433";"572930";"2022-10-06";"11:32:44";"F";"13";"140";"171";"125";"-";"0.181";"9.5";"109";"0.84";"0.500";"0.841";"0.389";"2.444";"0.238";"0.581";"200";"589";"0.660"
"2022-10-06 11:33:04.421";"1665081184421";"592918";"2022-10-06";"11:33:04";"F";"14";"133";"163";"190";"-";"0.184";"14.7";"106";"0.84";"0.526";"0.853";"0.419";"2.613";"0.226";"0.590";"200";"589";"0.660"
"2022-10-06 11:33:24.409";"1665081204409";"612906";"2022-10-06";"11:33:24";"F";"15";"129";"154";"285";"-";"0.162";"19.4";"102";"0.84";"0.481";"0.866";"0.380";"2.825";"0.219";"0.619";"200";"589";"0.660"
"2022-10-06 11:33:44.400";"1665081224400";"632897";"2022-10-06";"11:33:44";"F";"16";"125";"145";"420";"-";"0.138";"24.3";"98";"0.84";"0.426";"0.879";"0.334";"3.062";"0.212";"0.650";"200";"589";"0.660"
"2022-10-06 11:34:04.387";"1665081244387";"652884";"2022-10-06";"11:34:04";"F";"17";"123";"139";"625";"-";"0.115";"30.2";"95";"0.84";"0.364";"0.887";"0.281";"3.237";"0.209";"0.676";"200";"589";"0.660"
"2022-10-06 11:34:24.383";"1665081264383";"672880";"2022-10-06";"11:34:24";"F";"18";"122";"134";"820";"-";"0.090";"31.0";"93";"0.84";"0.293";"0.895";"0.223";"3.396";"0.207";"0.703";"200";"589";"0.660"
"2022-10-06 11:34:27.649";"1665081267649";"676146";"2022-10-06";"11:34:27";"SLCE";"";"Light Curve end ";""
"2022-10-06 11:37:13.750";"1665081433750";"842247";"2022-10-06";"11:37:13";"SLCS";"";"Light Curve start ";""
"2022-10-06 11:37:13.750";"1665081433750";"842247";"2022-10-06";"11:37:13";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 29.832 ) ";""
"2022-10-06 11:37:13.750";"1665081433750";"842247";"2022-10-06";"11:37:13";"REG2";"";"#1: alpha: 0.116, ETRm: 33.849, Ik: 290.582 ";""
"2022-10-06 11:37:15.151";"1665081435151";"843648";"2022-10-06";"11:37:15";"FO";"19";"302";"1043";"0";"-";"0.710";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"302";"1043";"0.710"
"2022-10-06 11:37:35.133";"1665081455133";"863630";"2022-10-06";"11:37:35";"F";"20";"419";"616";"65";"-";"0.320";"8.7";"252";"0.84";"0.541";"0.509";"0.325";"0.693";"0.402";"0.278";"302";"1043";"0.710"
