"2023-10-25";"13:03:13";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-10-25 12:44:44.289";"1698263084289";"0";"2023-10-25";"12:44:44";"SCHS";"";"Chart start ";""
"2023-10-25 12:51:25.011";"1698263485011";"400722";"2023-10-25";"12:51:25";"SLCS";"";"Light Curve start ";""
"2023-10-25 12:51:25.011";"1698263485011";"400722";"2023-10-25";"12:51:25";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 34.846 ) ";""
"2023-10-25 12:51:25.011";"1698263485011";"400722";"2023-10-25";"12:51:25";"REG2";"";"#1: alpha: 0.197, ETRm: 41.428, Ik: 210.687 ";""
"2023-10-25 12:51:26.398";"1698263486398";"402109";"2023-10-25";"12:51:26";"FO";"1";"166";"895";"0";"0.815";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"166";"895";"0.815"
"2023-10-25 12:51:46.385";"1698263506385";"422096";"2023-10-25";"12:51:46";"F";"2";"350";"808";"65";"0.567";"15.5";"163";"0.84";"0.710";"0.115";"0.331";"0.108";"0.391";"0.042";"166";"895";"0.815"
"2023-10-25 12:52:06.378";"1698263526378";"442089";"2023-10-25";"12:52:06";"F";"3";"334";"655";"90";"0.490";"18.5";"155";"0.84";"0.642";"0.314";"0.298";"0.366";"0.373";"0.137";"166";"895";"0.815"
"2023-10-25 12:52:26.368";"1698263546368";"462079";"2023-10-25";"12:52:26";"F";"4";"313";"543";"125";"0.424";"22.3";"148";"0.84";"0.582";"0.458";"0.275";"0.648";"0.350";"0.226";"166";"895";"0.815"
"2023-10-25 12:52:46.352";"1698263566352";"482063";"2023-10-25";"12:52:46";"F";"5";"301";"465";"190";"0.353";"28.2";"142";"0.84";"0.508";"0.557";"0.240";"0.925";"0.336";"0.311";"166";"895";"0.815"
"2023-10-25 12:53:06.342";"1698263586342";"502053";"2023-10-25";"12:53:06";"F";"6";"296";"413";"285";"0.283";"33.9";"136";"0.84";"0.422";"0.620";"0.194";"1.167";"0.331";"0.386";"166";"895";"0.815"
"2023-10-25 12:53:26.334";"1698263606334";"522045";"2023-10-25";"12:53:26";"F";"7";"294";"375";"420";"0.216";"38.1";"132";"0.84";"0.333";"0.667";"0.150";"1.387";"0.328";"0.456";"166";"895";"0.815"
"2023-10-25 12:53:46.345";"1698263626345";"542056";"2023-10-25";"12:53:46";"F";"8";"293";"349";"625";"0.160";"42.0";"129";"0.84";"0.255";"0.698";"0.112";"1.564";"0.327";"0.513";"166";"895";"0.815"
"2023-10-25 12:54:06.329";"1698263646329";"562040";"2023-10-25";"12:54:06";"F";"9";"288";"330";"820";"0.127";"43.7";"126";"0.84";"0.206";"0.720";"0.090";"1.712";"0.322";"0.551";"166";"895";"0.815"
"2023-10-25 12:54:09.738";"1698263649738";"565449";"2023-10-25";"12:54:09";"SLCE";"";"Light Curve end ";""
"2023-10-25 12:56:00.150";"1698263760150";"675861";"2023-10-25";"12:56:00";"SLCS";"";"Light Curve start ";""
"2023-10-25 12:56:00.150";"1698263760150";"675861";"2023-10-25";"12:56:00";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.016, ETRmPot: 27.263 ) ";""
"2023-10-25 12:56:00.150";"1698263760150";"675861";"2023-10-25";"12:56:00";"REG2";"";"#1: alpha: 0.125, ETRm: 41.970, Ik: 336.938 ";""
"2023-10-25 12:56:01.542";"1698263761542";"677253";"2023-10-25";"12:56:01";"FO";"10";"135";"369";"0";"0.634";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"135";"369";"0.634"
"2023-10-25 12:56:21.527";"1698263781527";"697238";"2023-10-25";"12:56:21";"F";"11";"185";"307";"65";"0.397";"10.8";"126";"0.84";"0.674";"0.226";"0.459";"0.202";"0.501";"0.102";"135";"369";"0.634"
"2023-10-25 12:56:41.524";"1698263801524";"717235";"2023-10-25";"12:56:41";"F";"12";"157";"238";"90";"0.340";"12.9";"112";"0.84";"0.643";"0.462";"0.459";"0.550";"0.425";"0.235";"135";"369";"0.634"
"2023-10-25 12:57:01.507";"1698263821507";"737218";"2023-10-25";"12:57:01";"F";"13";"142";"206";"125";"0.311";"16.3";"105";"0.84";"0.634";"0.568";"0.469";"0.791";"0.385";"0.304";"135";"369";"0.634"
"2023-10-25 12:57:21.494";"1698263841494";"757205";"2023-10-25";"12:57:21";"F";"14";"135";"184";"190";"0.266";"21.2";"99";"0.84";"0.576";"0.637";"0.422";"1.005";"0.366";"0.368";"135";"369";"0.634"
"2023-10-25 12:57:41.489";"1698263861489";"777200";"2023-10-25";"12:57:41";"F";"15";"127";"165";"285";"0.230";"27.5";"93";"0.84";"0.528";"0.692";"0.387";"1.236";"0.344";"0.426";"135";"369";"0.634"
"2023-10-25 12:58:01.473";"1698263881473";"797184";"2023-10-25";"12:58:01";"F";"16";"122";"151";"420";"0.192";"33.9";"88";"0.84";"0.460";"0.731";"0.332";"1.444";"0.331";"0.477";"135";"369";"0.634"
"2023-10-25 12:58:21.469";"1698263901469";"817180";"2023-10-25";"12:58:21";"F";"17";"119";"139";"625";"0.144";"37.8";"84";"0.84";"0.364";"0.765";"0.257";"1.655";"0.322";"0.534";"135";"369";"0.634"
"2023-10-25 12:58:41.453";"1698263921453";"837164";"2023-10-25";"12:58:41";"F";"18";"115";"132";"820";"0.129";"44.4";"81";"0.84";"0.333";"0.782";"0.235";"1.795";"0.312";"0.559";"135";"369";"0.634"
"2023-10-25 12:58:44.996";"1698263924996";"840707";"2023-10-25";"12:58:44";"SLCE";"";"Light Curve end ";""
"2023-10-25 12:59:53.069";"1698263993069";"908780";"2023-10-25";"12:59:53";"SLCS";"";"Light Curve start ";""
