,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
leaf_lk,lightdark,Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,,,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,D,1,7:42:12,3/3/26,Manual gsw+F,LI-COR Default,,001,,,2.31254,2.618143,1.227936,4.313309,0.988516,0.836622,1.342432,0.353916,8.208613,9.698942,13.171425,0.441786,7.5,PSF-00232_20260303074212_042,0,0,0,398.494354,1193.053345,0.665988,0.5,0.8,0.036088,1,72.06,60.99,11.61,11.28,11.28,101.92,126.6,-13.2,110.5,0,4.032,7:41:19,3/3/26,-0.39,1,-0.018,0.009,-0.017,0.658,1.302,2.121,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,994.39502,25,-139.883698,992.21991,992.612732,-0.392822,2.501851,2.526393,1.398529,0.578898,0.466941,-0.001291,0.053003,0.107184,398.494354,0.000642,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303074212_042,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
2,D,1,8:20:23,3/3/26,Manual gsw+F,LI-COR Default,,001,,,1.346052,2.545243,0.880434,3.550094,0.959759,0.82865,1.366116,0.406357,8.128742,9.414874,13.401083,0.441786,7.5,PSF-00232_20260303082023_a11,0,0,0,97.406029,409.411682,0.762083,0.5,0.8,0.493619,1,69.19,59.74,11.78,11.55,11.55,101.94,120.8,-13.3,111,2,4.021,8:19:36,3/3/26,-0.47,1,-0.009,-0.003,-0.002,0.041,-0.038,-0.08,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,409.411682,25,5.281641,411.133301,416.979797,-5.846497,2.50005,2.522511,1.353439,0.578813,0.463795,-0.000337,0.199637,0.108421,97.406029,0.000666,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303082023_a11,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
3,L,2,8:30:04,3/3/26,Manual gsw+F,LI-COR Default,,002,,,0.705166,2.276461,0.538392,1.972731,1.019938,0.933598,1.388994,0.369056,9.15957,10.006653,13.627472,0.441786,7.5,PSF-00232_20260303083004_eb1,0,0,0,99.579689,321.449524,0.690217,0.5,0.8,29.133963,1,69.78,63.87,12.57,11.8,11.8,101.93,101.9,-12.2,112,106,4.009,8:19:36,3/3/26,-0.47,1,-0.003,-0.004,-0.007,-0.275,-1.82,-2.175,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,321.449524,25,0.359123,322.283508,321.964111,0.319397,2.505616,2.523121,1.212179,0.580606,0.449221,-0.006165,0.248788,0.195044,99.579689,0.000633,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303083004_eb1,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
4,L,3,8:33:26,3/3/26,Manual gsw+F,LI-COR Default,,003,,,0.45022,2.207945,0.373965,1.471393,1.01566,0.948394,1.411886,0.396227,9.305507,9.965509,13.853229,0.441786,7.5,PSF-00232_20260303083326_777,0,0,0,88.508965,359.346283,0.753694,0.5,0.8,23.269045,1,68.45,63.92,12.8,12.05,12.05,101.92,97.5,-12.4,112.7,77,3.999,8:33:05,3/3/26,-0.85,1,-0.003,-0.006,-0.005,0.008,0.261,-1.081,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,356.870056,25,-1.454628,357.64325,357.261932,0.381317,2.505612,2.521757,1.180959,0.580348,0.445094,-0.006035,0.262351,0.171416,88.508965,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303083326_777,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
5,D,4,8:38:57,3/3/26,Manual gsw+F,LI-COR Default,,004,,,0.323935,2.102097,0.280681,1.257415,1.023499,0.961981,1.474396,0.450897,9.440584,10.044302,14.46926,0.441786,7.5,PSF-00232_20260303083857_a69,0,0,0,82.202194,293.896179,0.720302,0.5,0.8,57.706047,1,67.66,63.6,13.1,12.71,12.71,101.9,91.1,-13.8,115.1,200,3.997,8:33:05,3/3/26,-0.85,1,-0.001,0.004,0.007,0.193,0.178,-1.295,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,289.082062,25,-3.150485,290.436737,289.381836,1.054901,2.505089,2.520597,1.135691,0.578008,0.439867,-0.002296,0.282649,0.274042,82.202194,0.000633,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303083857_a69,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
6,L,5,8:40:59,3/3/26,Manual gsw+F,LI-COR Default,,005,,,0.298128,2.081361,0.260775,1.139048,1.027827,0.971338,1.467534,0.439707,9.530885,10.085168,14.399623,0.441786,7.5,PSF-00232_20260303084059_8a6,0,0,0,101.812363,425.171265,0.760538,0.5,0.8,0.501362,1,67.32,63.62,13.24,12.63,12.63,101.91,89.9,-13.6,115.1,2,3.988,8:33:05,3/3/26,-0.85,1,0,0.004,0.001,0.276,0.637,1.413,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,425.171265,25,1.987871,425.852173,428.019714,-2.167542,2.505078,2.520079,1.127205,0.578271,0.437339,-0.004572,0.289656,0.108445,101.812363,0.00064,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303084059_8a6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
7,L,6,8:46:51,3/3/26,Manual gsw+F,LI-COR Default,,006,,,0.152666,1.967461,0.141673,0.701324,1.026346,0.988849,1.524591,0.498245,9.701756,10.06964,14.958003,0.441786,7.5,PSF-00232_20260303084651_acc,0,0,0,97.775459,345.704041,0.71717,0.5,0.8,36.295235,1,64.97,62.6,13.76,13.22,13.22,101.92,83.4,-13.5,116.2,127,3.978,8:45:54,3/3/26,-0.69,1,-0.001,-0.002,-0.003,-0.07,0.229,0.183,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,340.680969,25,-3.339115,341.095459,340.919403,0.176056,2.503516,2.516471,1.082598,0.578398,0.42825,-0.004059,0.307982,0.212549,97.775459,0.000628,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303084651_acc,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
8,L,7,8:53:12,3/3/26,Manual gsw+F,LI-COR Default,,007,,,0.114421,1.892313,0.107897,0.675875,1.051759,1.013749,1.681764,0.630004,9.944494,10.317361,16.497465,0.441786,7.5,PSF-00232_20260303085312_fc6,0,0,0,111.735825,160.813797,0.305185,0.5,0.8,82.413422,1,65.2,62.84,14.09,14.73,14.73,101.94,79.3,-12.8,116.2,675,3.973,8:45:54,3/3/26,-0.69,1,0,0.002,0.004,-0.144,-0.498,-1.13,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,158.379074,25,-1.673185,158.171295,158.416275,-0.24498,2.503767,2.5167,1.054864,0.579598,0.422716,0.008463,0.326266,0.66989,112.225769,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303085312_fc6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
