flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303083004_eb1,08:30:04,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,321.449524,99.579689,0.690217,112.210686

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,188.985580,6978.810547,1
0.010000,255.772583,6978.810547,1
0.020000,278.012756,6978.810547,1
0.030000,291.534302,6978.810547,1
0.040000,300.893799,6978.810547,1
0.050000,307.223450,6978.810547,1
0.060000,311.424133,6978.810547,1
0.070000,314.168213,6978.810547,1
0.080000,315.966370,6978.810547,1
0.090000,317.158356,6978.810547,1
0.100000,318.004852,6978.810547,1
0.110000,318.553101,6978.810547,1
0.120000,318.988678,6978.810547,1
0.130000,319.330566,6978.810547,1
0.140000,319.579132,6978.810547,1
0.150000,319.804443,6978.810547,1
0.160000,319.993958,6978.810547,1
0.170000,320.167419,6978.810547,1
0.180000,320.336945,6978.810547,1
0.190000,320.471405,6978.810547,1
0.200000,320.634125,6978.810547,1
0.210000,320.731049,6978.810547,1
0.220000,320.845123,6978.810547,1
0.230000,320.967438,6978.810547,1
0.240000,321.059692,6978.810547,1
0.250000,321.148743,6978.810547,1
0.260000,321.231354,6978.810547,1
0.270000,321.310394,6978.810547,1
0.280000,321.376923,6978.810547,1
0.290000,321.449524,6978.810547,1
0.300000,321.529999,6920.658203,2
0.310000,321.571472,6862.506348,2
0.320000,321.621185,6804.354004,2
0.330000,321.680908,6746.202148,2
0.340000,321.707367,6688.049805,2
0.350000,321.743134,6629.897949,2
0.360000,321.788544,6571.745605,2
0.370000,321.802490,6513.593750,2
0.380000,321.826111,6455.441406,2
0.390000,321.842896,6397.289551,2
0.400000,321.865784,6339.137207,2
0.410000,321.855072,6280.985352,2
0.420000,321.880463,6222.833008,2
0.430000,321.889404,6164.681152,2
0.440000,321.904053,6106.528809,2
0.450000,321.900482,6048.376953,2
0.460000,321.912994,5990.225098,2
0.470000,321.897980,5932.072754,2
0.480000,321.896912,5873.920898,2
0.490000,321.890106,5815.768555,2
0.500000,321.914795,5757.616699,2
0.510000,321.893677,5699.464355,2
0.520000,321.867950,5641.312500,2
0.530000,321.878662,5583.160156,2
0.540000,321.847900,5525.008301,2
0.550000,321.822510,5466.855957,2
0.560000,321.804291,5408.704102,2
0.570000,321.813599,5350.551758,2
0.580000,321.790710,5292.399902,2
0.590000,321.743500,5234.247559,2
0.600000,321.805359,6978.810547,3
0.610000,322.040314,6978.810547,3
0.620000,322.140442,6978.810547,3
0.630000,322.192322,6978.810547,3
0.640000,322.205902,6978.810547,3
0.650000,322.231659,6978.810547,3
0.660000,322.235596,6978.810547,3
0.670000,322.248108,6978.810547,3
0.680000,322.273865,6978.810547,3
0.690000,322.256317,6978.810547,3
0.700000,322.283508,6978.810547,3
0.710000,322.242035,6978.810547,3
0.720000,322.264191,6978.810547,3
0.730000,322.263489,6978.810547,3
0.740000,322.253113,6978.810547,3
0.750000,322.255981,6978.810547,3
0.760000,322.258118,6978.810547,3
0.770000,322.265625,6978.810547,3
0.780000,322.264191,6978.810547,3
0.790000,322.260986,6978.810547,3
0.800000,322.269928,6978.810547,3
0.810000,322.270996,6978.810547,3
0.820000,322.250977,6978.810547,3
0.830000,322.269196,6978.810547,3
0.839999,322.249176,6978.810547,3
0.849999,322.255615,6978.810547,3
0.859999,322.262756,6978.810547,3
0.869999,322.260986,6978.810547,3
0.879999,322.260620,6978.810547,3
0.889999,322.259186,6978.810547,3
